review_policy,model,feature_set,mode,flip_threshold,release_threshold,scope,n,original_review_n,original_review_rate,auto_flip_n,auto_release_n,auto_action_n,auto_action_rate,remaining_review_n,remaining_review_rate,auto_action_error_n,auto_action_error_rate,rescued_n,hurt_n,accuracy,balanced_accuracy,f1,auc,fn,fp,selection_status
v118_review_or_control,tabular_logreg_c1,tabular,agree_release_only,0.95,0.95,old_data,285,217,0.7614035087719299,0,196,196,0.6877192982456141,21,0.07368421052631578,0,0.0,0,0,1.0,1.0,1.0,,0,0,lowest_internal_auto_error_rate
v118_review_or_control,tabular_logreg_c1,tabular,agree_release_only,0.95,0.95,third_batch,306,248,0.8104575163398693,0,135,135,0.4411764705882353,113,0.369281045751634,4,0.02962962962962963,0,0,0.9836601307189542,0.977243031358885,0.9693251533742331,,3,2,lowest_internal_auto_error_rate
v118_review_or_control,tabular_logreg_c1,tabular,agree_release_only,0.95,0.95,strict_external,108,94,0.8703703703703703,0,90,90,0.8333333333333334,4,0.037037037037037035,0,0.0,0,0,1.0,1.0,1.0,,0,0,lowest_internal_auto_error_rate
v118_review_or_control,tabular_logreg_c1,tabular,agree_release_only,0.95,0.95,all_domains,699,559,0.7997138769670958,0,421,421,0.6022889842632332,138,0.19742489270386265,4,0.009501187648456057,0,0,0.9928469241773963,0.9921134421134421,0.9907235621521335,,3,2,lowest_internal_auto_error_rate
v118_review_or_control,tabular_logreg_c1,tabular,flip_then_agree_release,0.5,0.95,old_data,285,217,0.7614035087719299,0,196,196,0.6877192982456141,21,0.07368421052631578,0,0.0,0,0,1.0,1.0,1.0,,0,0,lowest_internal_auto_error_rate
v118_review_or_control,tabular_logreg_c1,tabular,flip_then_agree_release,0.5,0.95,third_batch,306,248,0.8104575163398693,0,135,135,0.4411764705882353,113,0.369281045751634,4,0.02962962962962963,0,0,0.9836601307189542,0.977243031358885,0.9693251533742331,,3,2,lowest_internal_auto_error_rate
v118_review_or_control,tabular_logreg_c1,tabular,flip_then_agree_release,0.5,0.95,strict_external,108,94,0.8703703703703703,0,90,90,0.8333333333333334,4,0.037037037037037035,0,0.0,0,0,1.0,1.0,1.0,,0,0,lowest_internal_auto_error_rate
v118_review_or_control,tabular_logreg_c1,tabular,flip_then_agree_release,0.5,0.95,all_domains,699,559,0.7997138769670958,0,421,421,0.6022889842632332,138,0.19742489270386265,4,0.009501187648456057,0,0,0.9928469241773963,0.9921134421134421,0.9907235621521335,,3,2,lowest_internal_auto_error_rate
v161_final_review_or_reject,tabular_logreg_c1,tabular,agree_release_only,0.95,0.95,old_data,285,158,0.5543859649122806,0,121,121,0.4245614035087719,37,0.12982456140350876,0,0.0,0,0,1.0,1.0,1.0,,0,0,lowest_internal_auto_error_rate
v161_final_review_or_reject,tabular_logreg_c1,tabular,agree_release_only,0.95,0.95,third_batch,306,170,0.5555555555555556,0,103,103,0.3366013071895425,67,0.21895424836601307,2,0.019417475728155338,0,0,0.9901960784313726,0.9894381533101045,0.9818181818181818,,1,2,lowest_internal_auto_error_rate
v161_final_review_or_reject,tabular_logreg_c1,tabular,agree_release_only,0.95,0.95,strict_external,108,74,0.6851851851851852,0,64,64,0.5925925925925926,10,0.09259259259259259,0,0.0,0,0,1.0,1.0,1.0,,0,0,lowest_internal_auto_error_rate
