review_policy,model,flip_risk_threshold,scope,n,original_review_rate,auto_flip_n,auto_flip_rate,remaining_review_n,remaining_review_rate,rescued_n,hurt_n,auto_flip_error_n,accuracy,balanced_accuracy,f1,auc,fn,fp,selection_status,internal_auto_flip_n,internal_rescued_n,internal_hurt_n,internal_remaining_review_n
v118_review_or_control,enriched_logreg_c1,0.9,old_data,285,0.7614035087719299,9,0.031578947368421054,208,0.7298245614035088,0,9,9,0.968421052631579,0.9680851063829787,0.967032967032967,0.6456855791962175,9,0,best_internal_net_rescue,21,0,21,444
v118_review_or_control,enriched_logreg_c1,0.9,third_batch,306,0.8104575163398693,12,0.0392156862745098,236,0.7712418300653595,0,12,12,0.9575163398692811,0.9361933797909407,0.9182389937106918,0.7367160278745644,9,4,best_internal_net_rescue,21,0,21,444
v118_review_or_control,enriched_logreg_c1,0.9,strict_external,108,0.8703703703703703,1,0.009259259259259259,93,0.8611111111111112,0,1,1,0.9907407407407407,0.9893617021276595,0.989247311827957,0.6794558772235788,1,0,best_internal_net_rescue,21,0,21,444
v118_review_or_control,enriched_logreg_c1,0.9,all_domains,699,0.7997138769670958,22,0.031473533619456366,537,0.7682403433476395,0,22,22,0.9670958512160229,0.9601528101528101,0.9561904761904761,0.6739532072865406,19,4,best_internal_net_rescue,21,0,21,444
v118_review_or_control,enriched_logreg_c03,0.9,old_data,285,0.7614035087719299,10,0.03508771929824561,207,0.7263157894736842,0,10,10,0.9649122807017544,0.9645390070921986,0.9632352941176471,0.6444542947202521,10,0,best_internal_net_rescue,26,0,26,439
v118_review_or_control,enriched_logreg_c03,0.9,third_batch,306,0.8104575163398693,16,0.05228758169934641,232,0.7581699346405228,0,16,16,0.9444444444444444,0.9156685540069687,0.89171974522293,0.7361171602787456,12,5,best_internal_net_rescue,26,0,26,439
v118_review_or_control,enriched_logreg_c03,0.9,strict_external,108,0.8703703703703703,1,0.009259259259259259,93,0.8611111111111112,0,1,1,0.9907407407407407,0.9893617021276595,0.989247311827957,0.6791070805720265,1,0,best_internal_net_rescue,26,0,26,439
v118_review_or_control,enriched_logreg_c03,0.9,all_domains,699,0.7997138769670958,27,0.03862660944206009,532,0.7610872675250357,0,27,27,0.9599427753934192,0.9515799015799016,0.946360153256705,0.6731330397997064,23,5,best_internal_net_rescue,26,0,26,439
v118_review_or_control,enriched_extra_trees_d4,0.6,old_data,285,0.7614035087719299,26,0.0912280701754386,191,0.6701754385964912,0,26,26,0.9087719298245615,0.9078014184397163,0.8984375,0.6071710007880221,26,0,best_internal_net_rescue,74,1,73,391
v118_review_or_control,enriched_extra_trees_d4,0.6,third_batch,306,0.8104575163398693,48,0.1568627450980392,200,0.6535947712418301,1,47,47,0.8431372549019608,0.769163763066202,0.6756756756756757,0.7765679442508711,32,16,best_internal_net_rescue,74,1,73,391
v118_review_or_control,enriched_extra_trees_d4,0.6,strict_external,108,0.8703703703703703,15,0.1388888888888889,79,0.7314814814814815,0,15,15,0.8611111111111112,0.8428671084757586,0.8148148148148148,0.6372514823857691,14,1,best_internal_net_rescue,74,1,73,391
v118_review_or_control,enriched_extra_trees_d4,0.6,all_domains,699,0.7997138769670958,89,0.12732474964234622,470,0.6723891273247496,1,88,88,0.8726752503576538,0.8468531468531468,0.8164948453608247,0.6676508676508677,72,17,best_internal_net_rescue,74,1,73,391
v118_review_or_control,enriched_hgb_l2,0.8,old_data,285,0.7614035087719299,2,0.007017543859649123,215,0.7543859649122807,0,2,2,0.9929824561403509,0.9929078014184397,0.9928571428571429,0.43971631205673756,2,0,best_internal_net_rescue,4,0,4,461
v118_review_or_control,enriched_hgb_l2,0.8,third_batch,306,0.8104575163398693,2,0.006535947712418301,246,0.803921568627451,0,2,2,0.9901960784313726,0.9855727351916377,0.9815950920245399,0.7441746515679443,2,1,best_internal_net_rescue,4,0,4,461
v118_review_or_control,enriched_hgb_l2,0.8,strict_external,108,0.8703703703703703,1,0.009259259259259259,93,0.8611111111111112,0,1,1,0.9907407407407407,0.9893617021276595,0.989247311827957,0.7600279037321243,1,0,best_internal_net_rescue,4,0,4,461
v118_review_or_control,enriched_hgb_l2,0.8,all_domains,699,0.7997138769670958,5,0.00715307582260372,554,0.7925608011444921,0,5,5,0.9914163090128756,0.9895752395752395,0.9888059701492538,0.5918501251834585,5,1,best_internal_net_rescue,4,0,4,461
v161_final_review_or_reject,enriched_logreg_c1,0.9,old_data,285,0.5543859649122806,9,0.031578947368421054,149,0.5228070175438596,0,9,9,0.968421052631579,0.9680851063829787,0.967032967032967,0.6456855791962175,9,0,best_internal_net_rescue,20,0,20,308
v161_final_review_or_reject,enriched_logreg_c1,0.9,third_batch,306,0.5555555555555556,11,0.03594771241830065,159,0.5196078431372549,0,11,11,0.9607843137254902,0.9422909407665505,0.925,0.7367160278745644,8,4,best_internal_net_rescue,20,0,20,308
v161_final_review_or_reject,enriched_logreg_c1,0.9,strict_external,108,0.6851851851851852,1,0.009259259259259259,73,0.6759259259259259,0,1,1,0.9907407407407407,0.9893617021276595,0.989247311827957,0.6794558772235788,1,0,best_internal_net_rescue,20,0,20,308
v161_final_review_or_reject,enriched_logreg_c1,0.9,all_domains,699,0.575107296137339,21,0.030042918454935622,381,0.5450643776824035,0,21,21,0.9685264663805436,0.9620046620046621,0.9581749049429658,0.6739532072865406,18,4,best_internal_net_rescue,20,0,20,308
v161_final_review_or_reject,enriched_logreg_c03,0.9,old_data,285,0.5543859649122806,10,0.03508771929824561,148,0.519298245614035,0,10,10,0.9649122807017544,0.9645390070921986,0.9632352941176471,0.6444542947202521,10,0,best_internal_net_rescue,24,0,24,304
v161_final_review_or_reject,enriched_logreg_c03,0.9,third_batch,306,0.5555555555555556,14,0.0457516339869281,156,0.5098039215686274,0,14,14,0.9509803921568627,0.9278636759581882,0.9056603773584906,0.7361171602787456,10,5,best_internal_net_rescue,24,0,24,304
v161_final_review_or_reject,enriched_logreg_c03,0.9,strict_external,108,0.6851851851851852,1,0.009259259259259259,73,0.6759259259259259,0,1,1,0.9907407407407407,0.9893617021276595,0.989247311827957,0.6791070805720265,1,0,best_internal_net_rescue,24,0,24,304
v161_final_review_or_reject,enriched_logreg_c03,0.9,all_domains,699,0.575107296137339,25,0.0357653791130186,377,0.5393419170243204,0,25,25,0.9628040057224606,0.9552836052836053,0.950381679389313,0.6731330397997064,21,5,best_internal_net_rescue,24,0,24,304
v161_final_review_or_reject,enriched_extra_trees_d4,0.6,old_data,285,0.5543859649122806,21,0.07368421052631578,137,0.4807017543859649,0,21,21,0.9263157894736842,0.925531914893617,0.9195402298850575,0.6071710007880221,21,0,best_internal_net_rescue,59,1,58,269
v161_final_review_or_reject,enriched_extra_trees_d4,0.6,third_batch,306,0.5555555555555556,38,0.12418300653594772,132,0.43137254901960786,1,37,37,0.8758169934640523,0.8301393728222997,0.759493670886076,0.7765679442508711,22,16,best_internal_net_rescue,59,1,58,269
v161_final_review_or_reject,enriched_extra_trees_d4,0.6,strict_external,108,0.6851851851851852,14,0.12962962962962962,60,0.5555555555555556,0,14,14,0.8703703703703703,0.8535054063480991,0.8292682926829268,0.6372514823857691,13,1,best_internal_net_rescue,59,1,58,269
v161_final_review_or_reject,enriched_extra_trees_d4,0.6,all_domains,699,0.575107296137339,73,0.1044349070100143,329,0.47067238912732473,1,72,72,0.8955650929899857,0.8764827764827765,0.8542914171656687,0.6676508676508677,56,17,best_internal_net_rescue,59,1,58,269
v161_final_review_or_reject,enriched_hgb_l2,0.8,old_data,285,0.5543859649122806,2,0.007017543859649123,156,0.5473684210526316,0,2,2,0.9929824561403509,0.9929078014184397,0.9928571428571429,0.43971631205673756,2,0,best_internal_net_rescue,3,0,3,325
v161_final_review_or_reject,enriched_hgb_l2,0.8,third_batch,306,0.5555555555555556,1,0.0032679738562091504,169,0.5522875816993464,0,1,1,0.9934640522875817,0.9916702961672474,0.9878048780487805,0.7441746515679443,1,1,best_internal_net_rescue,3,0,3,325
v161_final_review_or_reject,enriched_hgb_l2,0.8,strict_external,108,0.6851851851851852,1,0.009259259259259259,73,0.6759259259259259,0,1,1,0.9907407407407407,0.9893617021276595,0.989247311827957,0.7600279037321243,1,0,best_internal_net_rescue,3,0,3,325
v161_final_review_or_reject,enriched_hgb_l2,0.8,all_domains,699,0.575107296137339,4,0.005722460658082976,398,0.5693848354792561,0,4,4,0.9928469241773963,0.9914270914270914,0.9906890130353817,0.5918501251834585,4,1,best_internal_net_rescue,3,0,3,325
