workflow,scope,n,auto_release_n,auto_release_rate,additional_image_release_n,final_review_n,final_review_rate,released_error_n,additional_released_error_n,accuracy,balanced_accuracy,f1,auc,fn,fp
v161_safe_release,old_data,285,59,0.20701754385964913,0,158,0.5543859649122806,0,0,1.0,1.0,1.0,0.8737687155240348,0,0
v161_safe_release,third_batch,306,78,0.2549019607843137,0,170,0.5555555555555556,0,0,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0
v161_safe_release,strict_external,108,20,0.18518518518518517,0,74,0.6851851851851852,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v161_safe_release,all_domains,699,157,0.2246065808297568,0,402,0.575107296137339,0,0,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0
v178_union_v118_review_or_control_tabular_logreg_c1_t0.50,old_data,285,217,0.7614035087719299,158,0,0.0,1,1,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1
v178_union_v118_review_or_control_tabular_logreg_c1_t0.50,third_batch,306,248,0.8104575163398693,170,0,0.0,8,8,0.9705882352941176,0.9528527874564461,0.9433962264150944,0.818270905923345,7,2
v178_union_v118_review_or_control_tabular_logreg_c1_t0.50,strict_external,108,94,0.8703703703703703,74,0,0.0,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v118_review_or_control_tabular_logreg_c1_t0.50,all_domains,699,559,0.7997138769670958,402,0,0.0,9,9,0.9856938483547926,0.9835405335405336,0.9813432835820896,0.8353017353017353,7,3
v178_union_v118_review_or_control_tabular_logreg_c1_t0.55,old_data,285,217,0.7614035087719299,158,0,0.0,1,1,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1
v178_union_v118_review_or_control_tabular_logreg_c1_t0.55,third_batch,306,248,0.8104575163398693,170,0,0.0,8,8,0.9705882352941176,0.9528527874564461,0.9433962264150944,0.818270905923345,7,2
v178_union_v118_review_or_control_tabular_logreg_c1_t0.55,strict_external,108,94,0.8703703703703703,74,0,0.0,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v118_review_or_control_tabular_logreg_c1_t0.55,all_domains,699,559,0.7997138769670958,402,0,0.0,9,9,0.9856938483547926,0.9835405335405336,0.9813432835820896,0.8353017353017353,7,3
v178_union_v118_review_or_control_tabular_logreg_c1_t0.60,old_data,285,217,0.7614035087719299,158,0,0.0,1,1,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1
v178_union_v118_review_or_control_tabular_logreg_c1_t0.60,third_batch,306,248,0.8104575163398693,170,0,0.0,8,8,0.9705882352941176,0.9528527874564461,0.9433962264150944,0.818270905923345,7,2
v178_union_v118_review_or_control_tabular_logreg_c1_t0.60,strict_external,108,94,0.8703703703703703,74,0,0.0,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v118_review_or_control_tabular_logreg_c1_t0.60,all_domains,699,559,0.7997138769670958,402,0,0.0,9,9,0.9856938483547926,0.9835405335405336,0.9813432835820896,0.8353017353017353,7,3
v178_union_v118_review_or_control_tabular_logreg_c1_t0.65,old_data,285,217,0.7614035087719299,158,0,0.0,1,1,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1
v178_union_v118_review_or_control_tabular_logreg_c1_t0.65,third_batch,306,247,0.8071895424836601,169,1,0.0032679738562091504,8,8,0.9705882352941176,0.9528527874564461,0.9433962264150944,0.818270905923345,7,2
v178_union_v118_review_or_control_tabular_logreg_c1_t0.65,strict_external,108,94,0.8703703703703703,74,0,0.0,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v118_review_or_control_tabular_logreg_c1_t0.65,all_domains,699,558,0.7982832618025751,401,1,0.001430615164520744,9,9,0.9856938483547926,0.9835405335405336,0.9813432835820896,0.8353017353017353,7,3
v178_union_v118_review_or_control_tabular_logreg_c1_t0.70,old_data,285,217,0.7614035087719299,158,0,0.0,1,1,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1
v178_union_v118_review_or_control_tabular_logreg_c1_t0.70,third_batch,306,247,0.8071895424836601,169,1,0.0032679738562091504,8,8,0.9705882352941176,0.9528527874564461,0.9433962264150944,0.818270905923345,7,2
v178_union_v118_review_or_control_tabular_logreg_c1_t0.70,strict_external,108,94,0.8703703703703703,74,0,0.0,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v118_review_or_control_tabular_logreg_c1_t0.70,all_domains,699,558,0.7982832618025751,401,1,0.001430615164520744,9,9,0.9856938483547926,0.9835405335405336,0.9813432835820896,0.8353017353017353,7,3
v178_union_v118_review_or_control_tabular_logreg_c1_t0.75,old_data,285,217,0.7614035087719299,158,0,0.0,1,1,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1
v178_union_v118_review_or_control_tabular_logreg_c1_t0.75,third_batch,306,247,0.8071895424836601,169,1,0.0032679738562091504,8,8,0.9705882352941176,0.9528527874564461,0.9433962264150944,0.818270905923345,7,2
v178_union_v118_review_or_control_tabular_logreg_c1_t0.75,strict_external,108,94,0.8703703703703703,74,0,0.0,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v118_review_or_control_tabular_logreg_c1_t0.75,all_domains,699,558,0.7982832618025751,401,1,0.001430615164520744,9,9,0.9856938483547926,0.9835405335405336,0.9813432835820896,0.8353017353017353,7,3
v178_union_v118_review_or_control_tabular_logreg_c1_t0.80,old_data,285,217,0.7614035087719299,158,0,0.0,1,1,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1
v178_union_v118_review_or_control_tabular_logreg_c1_t0.80,third_batch,306,247,0.8071895424836601,169,1,0.0032679738562091504,8,8,0.9705882352941176,0.9528527874564461,0.9433962264150944,0.818270905923345,7,2
v178_union_v118_review_or_control_tabular_logreg_c1_t0.80,strict_external,108,94,0.8703703703703703,74,0,0.0,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v118_review_or_control_tabular_logreg_c1_t0.80,all_domains,699,558,0.7982832618025751,401,1,0.001430615164520744,9,9,0.9856938483547926,0.9835405335405336,0.9813432835820896,0.8353017353017353,7,3
v178_union_v118_review_or_control_tabular_logreg_c1_t0.85,old_data,285,217,0.7614035087719299,158,0,0.0,1,1,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1
v178_union_v118_review_or_control_tabular_logreg_c1_t0.85,third_batch,306,243,0.7941176470588235,165,5,0.016339869281045753,7,7,0.9738562091503268,0.9589503484320558,0.95,0.818270905923345,6,2
v178_union_v118_review_or_control_tabular_logreg_c1_t0.85,strict_external,108,94,0.8703703703703703,74,0,0.0,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v118_review_or_control_tabular_logreg_c1_t0.85,all_domains,699,554,0.7925608011444921,397,5,0.00715307582260372,8,8,0.9871244635193133,0.9853923853923854,0.9832402234636871,0.8353017353017353,6,3
v178_union_v118_review_or_control_tabular_logreg_c1_t0.90,old_data,285,216,0.7578947368421053,157,1,0.0035087719298245615,1,1,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1
v178_union_v118_review_or_control_tabular_logreg_c1_t0.90,third_batch,306,231,0.7549019607843137,153,17,0.05555555555555555,5,5,0.9803921568627451,0.9711454703832753,0.9629629629629629,0.818270905923345,4,2
v178_union_v118_review_or_control_tabular_logreg_c1_t0.90,strict_external,108,94,0.8703703703703703,74,0,0.0,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v118_review_or_control_tabular_logreg_c1_t0.90,all_domains,699,541,0.7739628040057225,384,18,0.02575107296137339,6,6,0.9899856938483548,0.9890960890960891,0.987012987012987,0.8353017353017353,4,3
v178_union_v118_review_or_control_tabular_logreg_c1_t0.95,old_data,285,205,0.7192982456140351,146,12,0.042105263157894736,0,0,1.0,1.0,1.0,0.8737687155240348,0,0
v178_union_v118_review_or_control_tabular_logreg_c1_t0.95,third_batch,306,192,0.6274509803921569,114,56,0.1830065359477124,4,4,0.9836601307189542,0.977243031358885,0.9693251533742331,0.818270905923345,3,2
v178_union_v118_review_or_control_tabular_logreg_c1_t0.95,strict_external,108,93,0.8611111111111112,73,1,0.009259259259259259,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v118_review_or_control_tabular_logreg_c1_t0.95,all_domains,699,490,0.7010014306151645,333,69,0.09871244635193133,4,4,0.9928469241773963,0.9921134421134421,0.9907235621521335,0.8353017353017353,3,2
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.50,old_data,285,217,0.7614035087719299,158,0,0.0,1,1,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.50,third_batch,306,248,0.8104575163398693,170,0,0.0,8,8,0.9705882352941176,0.9528527874564461,0.9433962264150944,0.818270905923345,7,2
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.50,strict_external,108,94,0.8703703703703703,74,0,0.0,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.50,all_domains,699,559,0.7997138769670958,402,0,0.0,9,9,0.9856938483547926,0.9835405335405336,0.9813432835820896,0.8353017353017353,7,3
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.55,old_data,285,217,0.7614035087719299,158,0,0.0,1,1,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.55,third_batch,306,248,0.8104575163398693,170,0,0.0,8,8,0.9705882352941176,0.9528527874564461,0.9433962264150944,0.818270905923345,7,2
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.55,strict_external,108,94,0.8703703703703703,74,0,0.0,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.55,all_domains,699,559,0.7997138769670958,402,0,0.0,9,9,0.9856938483547926,0.9835405335405336,0.9813432835820896,0.8353017353017353,7,3
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.60,old_data,285,217,0.7614035087719299,158,0,0.0,1,1,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1
