workflow,scope,n,release_n,released_error_n,final_review_n,final_review_rate,accuracy,balanced_accuracy,f1,auc,fn,fp
v161_safe_release_fixed,internal_old_third,591,137,0,328,0.5549915397631133,0.9983079526226735,0.9977578475336323,0.9977528089887641,0.860011698186781,1,0
v161_safe_release_fixed,old_data,285,59,0,158,0.5543859649122806,1.0,1.0,1.0,0.8737687155240348,0,0
v161_safe_release_fixed,third_batch,306,78,0,170,0.5555555555555556,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0
v161_safe_release_fixed,strict_external,108,20,0,74,0.6851851851851852,1.0,1.0,1.0,0.67317753749564,0,0
v161_safe_release_fixed,all_domains,699,157,0,402,0.575107296137339,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0
v182_stable_fixed_image_agreement_union,internal_old_third,591,147,0,318,0.5380710659898477,0.9983079526226735,0.9977578475336323,0.9977528089887641,0.860011698186781,1,0
v182_stable_fixed_image_agreement_union,old_data,285,63,0,154,0.5403508771929825,1.0,1.0,1.0,0.8737687155240348,0,0
v182_stable_fixed_image_agreement_union,third_batch,306,84,0,164,0.5359477124183006,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0
v182_stable_fixed_image_agreement_union,strict_external,108,20,0,74,0.6851851851851852,1.0,1.0,1.0,0.67317753749564,0,0
v182_stable_fixed_image_agreement_union,all_domains,699,167,0,392,0.5608011444921316,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0
