workflow,scope,n,auto_decision_n,auto_decision_rate,review_or_reject_n,review_or_reject_rate,accuracy,balanced_accuracy,f1,auc,fn,fp,note
fixed_v118_high_safety,old_data,285,68,0.23859649122807017,217,0.7614035087719299,1.0,1.0,1.0,0.8737687155240348,0,0,all domains use v118 high-safety review
fixed_v118_high_safety,third_batch,306,58,0.1895424836601307,248,0.8104575163398693,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0,all domains use v118 high-safety review
fixed_v118_high_safety,strict_external,108,14,0.12962962962962962,94,0.8703703703703703,1.0,1.0,1.0,0.67317753749564,0,0,all domains use v118 high-safety review
fixed_v118_high_safety,all_domains,699,140,0.20028612303290416,559,0.7997138769670958,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0,all domains use v118 high-safety review
fixed_v182_stable_release,old_data,285,131,0.45964912280701753,154,0.5403508771929825,1.0,1.0,1.0,0.8737687155240348,0,0,all domains use v182 stable fixed release
fixed_v182_stable_release,third_batch,306,142,0.46405228758169936,164,0.5359477124183006,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0,all domains use v182 stable fixed release
fixed_v182_stable_release,strict_external,108,34,0.3148148148148148,74,0.6851851851851852,1.0,1.0,1.0,0.67317753749564,0,0,all domains use v182 stable fixed release
fixed_v182_stable_release,all_domains,699,307,0.43919885550786836,392,0.5608011444921316,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0,all domains use v182 stable fixed release
unlabeled_shift_adaptive_v182_to_v118,old_data,285,131,0.45964912280701753,154,0.5403508771929825,1.0,1.0,1.0,0.8737687155240348,0,0,old/third use v182; severe-shift strict_external uses v118
unlabeled_shift_adaptive_v182_to_v118,third_batch,306,142,0.46405228758169936,164,0.5359477124183006,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0,old/third use v182; severe-shift strict_external uses v118
unlabeled_shift_adaptive_v182_to_v118,strict_external,108,14,0.12962962962962962,94,0.8703703703703703,1.0,1.0,1.0,0.67317753749564,0,0,old/third use v182; severe-shift strict_external uses v118
unlabeled_shift_adaptive_v182_to_v118,all_domains,699,287,0.4105865522174535,412,0.5894134477825465,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0,old/third use v182; severe-shift strict_external uses v118
