workflow,scope,n,additional_sentinel_review_n,additional_sentinel_clean_review_n,sentinel_rescued_error_n,sentinel_rescued_fn_n,review_or_reject_n,review_or_reject_rate,auto_decision_n,auto_error_n,accuracy,balanced_accuracy,f1,auc,fn,fp
v185_adaptive_baseline,old_data,285,0,0,0,0,154,0.22031473533619456,131,0,1.0,1.0,1.0,0.8737687155240348,0,0
v185_adaptive_baseline,third_batch,306,0,0,0,0,164,0.23462088698140202,142,1,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0
v185_adaptive_baseline,strict_external,108,0,0,0,0,94,0.13447782546494993,14,0,1.0,1.0,1.0,0.67317753749564,0,0
v185_adaptive_baseline,all_domains,699,0,0,0,0,412,0.5894134477825465,287,1,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0
v190_nested_fn_sentinel,old_data,285,1,1,0,0,155,0.2217453505007153,130,0,1.0,1.0,1.0,0.8737687155240348,0,0
v190_nested_fn_sentinel,third_batch,306,1,1,0,0,165,0.23605150214592274,141,1,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0
v190_nested_fn_sentinel,strict_external,108,0,0,0,0,94,0.13447782546494993,14,0,1.0,1.0,1.0,0.67317753749564,0,0
v190_nested_fn_sentinel,all_domains,699,2,2,0,0,414,0.592274678111588,285,1,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0
v190_fullfit_oracle_style_sentinel,old_data,285,2,2,0,0,156,0.22317596566523606,129,0,1.0,1.0,1.0,0.8737687155240348,0,0
v190_fullfit_oracle_style_sentinel,third_batch,306,1,0,1,1,165,0.23605150214592274,141,0,1.0,1.0,1.0,0.818270905923345,0,0
v190_fullfit_oracle_style_sentinel,strict_external,108,0,0,0,0,94,0.13447782546494993,14,0,1.0,1.0,1.0,0.67317753749564,0,0
v190_fullfit_oracle_style_sentinel,all_domains,699,3,2,1,1,415,0.5937052932761088,284,0,1.0,1.0,1.0,0.8353017353017353,0,0
