group,policy,total_n,auto_n,review_n,retake_n,auto_coverage,review_rate,retake_rate,auto_low_n,auto_high_n,auto_low_high_miss_rate,auto_high_ppv,review_error_rate_main,retake_error_rate_main,high_total,high_auto_low_missed,high_auto_high,high_review_or_retake,high_risk_not_auto_low_rate,auto_n_metric,auto_accuracy,auto_balanced_accuracy,auto_f1,auto_auc,auto_sensitivity_high,auto_specificity_low,auto_tn,auto_fp,auto_fn,auto_tp
external_all,forced_main_all,108,108,0,0,1.0,0.0,0.0,73,35,0.3424657534246575,0.6285714285714286,,,47,25,22,0,0.46808510638297873,108,0.6481481481481481,0.627485176142309,0.5365853658536586,,0.46808510638297873,0.7868852459016393,48,13,25,22
external_all,consensus_all3,108,59,49,0,0.5462962962962963,0.4537037037037037,0.0,28,31,0.21428571428571427,0.7096774193548387,0.46938775510204084,,47,6,22,19,0.8723404255319149,59,0.7457627118644068,0.7476958525345623,0.7457627118644068,,0.7857142857142857,0.7096774193548387,22,9,6,22
external_all,consensus_162_103,108,67,41,0,0.6203703703703703,0.37962962962962965,0.0,36,31,0.25,0.7096774193548387,0.4878048780487805,,47,9,22,16,0.8085106382978723,67,0.7313432835820896,0.7298387096774194,0.7096774193548387,,0.7096774193548387,0.75,27,9,9,22
external_all,consensus_162_107,108,64,44,0,0.5925925925925926,0.4074074074074074,0.0,30,34,0.26666666666666666,0.6470588235294118,0.4090909090909091,,47,8,22,17,0.8297872340425532,64,0.6875,0.6901960784313725,0.6875,,0.7333333333333333,0.6470588235294118,22,12,8,22
external_all,v1_guard_plain_acc90_miss10,108,27,81,0,0.25,0.75,0.0,19,8,0.3157894736842105,0.375,0.3333333333333333,,47,6,3,38,0.8723404255319149,27,0.5925925925925926,0.5277777777777778,0.35294117647058826,,0.3333333333333333,0.7222222222222222,13,5,6,3
external_all,v1_guard_plain_acc92_miss10,108,21,87,0,0.19444444444444445,0.8055555555555556,0.0,14,7,0.35714285714285715,0.42857142857142855,0.3333333333333333,,47,5,3,39,0.8936170212765957,21,0.5714285714285714,0.5336538461538461,0.4,,0.375,0.6923076923076923,9,4,5,3
external_all,v1_guard_plain_acc95_miss10,108,20,88,0,0.18518518518518517,0.8148148148148148,0.0,13,7,0.3076923076923077,0.42857142857142855,0.3409090909090909,,47,4,3,40,0.9148936170212766,20,0.6,0.5604395604395604,0.42857142857142855,,0.42857142857142855,0.6923076923076923,9,4,4,3
external_all,v1_guard_balanced_acc90_miss10,108,38,70,0,0.35185185185185186,0.6481481481481481,0.0,28,10,0.32142857142857145,0.4,0.32857142857142857,,47,9,4,34,0.8085106382978723,38,0.6052631578947368,0.5338461538461539,0.34782608695652173,,0.3076923076923077,0.76,19,6,9,4
external_all,v1_guard_margin_agree_acc90_miss10,108,89,19,0,0.8240740740740741,0.17592592592592593,0.0,59,30,0.3389830508474576,0.6666666666666666,0.42105263157894735,,47,20,20,7,0.574468085106383,89,0.6629213483146067,0.6479591836734694,0.5714285714285714,,0.5,0.7959183673469388,39,10,20,20
external_all,quality_v1_guard_plain_acc90_miss10,108,21,66,21,0.19444444444444445,0.6111111111111112,0.19444444444444445,15,6,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.38095238095238093,47,4,2,41,0.9148936170212766,21,0.6190476190476191,0.5333333333333333,0.3333333333333333,,0.3333333333333333,0.7333333333333333,11,4,4,2
external_all,quality_v1_guard_plain_acc92_miss10,108,16,71,21,0.14814814814814814,0.6574074074074074,0.19444444444444445,11,5,0.2727272727272727,0.4,0.3380281690140845,0.38095238095238093,47,3,2,42,0.9361702127659575,16,0.625,0.5636363636363637,0.4,,0.4,0.7272727272727273,8,3,3,2
external_all,quality_v1_guard_plain_acc95_miss10,108,15,72,21,0.1388888888888889,0.6666666666666666,0.19444444444444445,10,5,0.2,0.4,0.3472222222222222,0.38095238095238093,47,2,2,43,0.9574468085106383,15,0.6666666666666666,0.6136363636363636,0.4444444444444444,,0.5,0.7272727272727273,8,3,2,2
external_all,quality_v1_guard_balanced_acc90_miss10,108,29,58,21,0.26851851851851855,0.5370370370370371,0.19444444444444445,21,8,0.2857142857142857,0.375,0.3275862068965517,0.38095238095238093,47,6,3,38,0.8723404255319149,29,0.6206896551724138,0.5416666666666666,0.35294117647058826,,0.3333333333333333,0.75,15,5,6,3
external_all,quality_v1_guard_margin_agree_acc90_miss10,108,64,23,21,0.5925925925925926,0.21296296296296297,0.19444444444444445,42,22,0.30952380952380953,0.6363636363636364,0.391304347826087,0.38095238095238093,47,13,14,20,0.723404255319149,64,0.671875,0.6511511511511512,0.5714285714285714,,0.5185185185185185,0.7837837837837838,29,8,13,14
external_strict,forced_main_all,105,105,0,0,1.0,0.0,0.0,70,35,0.35714285714285715,0.6285714285714286,,,47,25,22,0,0.46808510638297873,105,0.638095238095238,0.621973587674248,0.5365853658536586,,0.46808510638297873,0.7758620689655172,45,13,25,22
external_strict,consensus_all3,105,57,48,0,0.5428571428571428,0.45714285714285713,0.0,26,31,0.23076923076923078,0.7096774193548387,0.4791666666666667,,47,6,22,19,0.8723404255319149,57,0.7368421052631579,0.7376847290640394,0.7457627118644068,,0.7857142857142857,0.6896551724137931,20,9,6,22
external_strict,consensus_162_103,105,65,40,0,0.6190476190476191,0.38095238095238093,0.0,34,31,0.2647058823529412,0.7096774193548387,0.5,,47,9,22,16,0.8085106382978723,65,0.7230769230769231,0.7224857685009488,0.7096774193548387,,0.7096774193548387,0.7352941176470589,25,9,9,22
