model,objective,threshold,split,auc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp
logistic_balanced,bacc,0.47499999999999976,development_oof,0.8895983622538508,0.8663282571912013,0.8537909436537336,0.8026905829596412,0.904891304347826,0.8364485981308412,0.8192219679633868,333,35,44,179
logistic_balanced,bacc,0.47499999999999976,external_strict_frozen,0.6096965469131497,0.6111111111111112,0.5946982908964074,0.46808510638297873,0.7213114754098361,0.5641025641025641,0.5116279069767442,44,17,25,22
logistic_balanced,bacc,0.47499999999999976,development_oof:old,0.9384357762017337,0.9192982456140351,0.9191784869976359,0.9078014184397163,0.9305555555555556,0.927536231884058,0.9175627240143368,134,10,13,128
logistic_balanced,bacc,0.47499999999999976,development_oof:third,0.7946428571428571,0.8169934640522876,0.7551720383275261,0.6219512195121951,0.8883928571428571,0.6710526315789473,0.6455696202531646,199,25,31,51
logistic_balanced,domain_worst_bacc,0.47499999999999976,development_oof,0.8895983622538508,0.8663282571912013,0.8537909436537336,0.8026905829596412,0.904891304347826,0.8364485981308412,0.8192219679633868,333,35,44,179
logistic_balanced,domain_worst_bacc,0.47499999999999976,external_strict_frozen,0.6096965469131497,0.6111111111111112,0.5946982908964074,0.46808510638297873,0.7213114754098361,0.5641025641025641,0.5116279069767442,44,17,25,22
logistic_balanced,domain_worst_bacc,0.47499999999999976,development_oof:old,0.9384357762017337,0.9192982456140351,0.9191784869976359,0.9078014184397163,0.9305555555555556,0.927536231884058,0.9175627240143368,134,10,13,128
logistic_balanced,domain_worst_bacc,0.47499999999999976,development_oof:third,0.7946428571428571,0.8169934640522876,0.7551720383275261,0.6219512195121951,0.8883928571428571,0.6710526315789473,0.6455696202531646,199,25,31,51
logistic_balanced,sensitivity90,0.18999999999999995,development_oof,0.8895983622538508,0.727580372250423,0.7618139500877364,0.9013452914798207,0.6222826086956522,0.5911764705882353,0.714031971580817,229,139,22,201
logistic_balanced,sensitivity90,0.18999999999999995,external_strict_frozen,0.6096965469131497,0.5462962962962963,0.5544122776421346,0.6170212765957447,0.4918032786885246,0.48333333333333334,0.5420560747663552,30,31,18,29
logistic_balanced,sensitivity90,0.18999999999999995,development_oof:old,0.9384357762017337,0.775438596491228,0.7772606382978724,0.950354609929078,0.6041666666666666,0.7015706806282722,0.8072289156626506,87,57,7,134
logistic_balanced,sensitivity90,0.18999999999999995,development_oof:third,0.7946428571428571,0.6830065359477124,0.7255008710801394,0.8170731707317073,0.6339285714285714,0.44966442953020136,0.5800865800865801,142,82,15,67
logistic_domain_weighted,bacc,0.6149999999999998,development_oof,0.8879167479040748,0.8697123519458545,0.8538579645155,0.7892376681614349,0.9184782608695652,0.8543689320388349,0.8205128205128204,338,30,47,176
logistic_domain_weighted,bacc,0.6149999999999998,external_strict_frozen,0.5894663411231251,0.6296296296296297,0.6037670038367632,0.40425531914893614,0.8032786885245902,0.6129032258064516,0.48717948717948717,49,12,28,19
