n,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,model,threshold,roc_auc,average_precision,objective
108,0.3611111111111111,0.3996071584460934,0.4827586206896552,0.31645569620253167,0.20588235294117646,0.28865979381443296,25,54,15,14,heuristic_nonpass_status,,,,
108,0.3611111111111111,0.3996071584460934,0.4827586206896552,0.31645569620253167,0.20588235294117646,0.28865979381443296,25,54,15,14,heuristic_score_lt_100,,,,
108,0.6388888888888888,0.567656045395024,0.41379310344827586,0.7215189873417721,0.35294117647058826,0.38095238095238093,57,22,17,12,heuristic_score_lt_92,,,,
108,0.7314814814814815,0.7400698384984723,0.7586206896551724,0.7215189873417721,0.5,0.6027397260273972,57,22,7,22,quality_logistic,0.4999999999999998,0.7730248799650807,0.5890683022031278,f1
108,0.7314814814814815,0.7400698384984723,0.7586206896551724,0.7215189873417721,0.5,0.6027397260273972,57,22,7,22,quality_logistic,0.4999999999999998,0.7730248799650807,0.5890683022031278,balanced
108,0.5092592592592593,0.642732431252728,0.9310344827586207,0.35443037974683544,0.34615384615384615,0.5046728971962617,28,51,2,27,quality_logistic,0.3099999999999999,0.7730248799650807,0.5890683022031278,recall90
108,0.7129629629629629,0.7710606721955477,0.896551724137931,0.6455696202531646,0.48148148148148145,0.6265060240963856,51,28,3,26,quality_rf,0.36999999999999983,0.8109995635093845,0.5484393182770461,f1
108,0.7129629629629629,0.7710606721955477,0.896551724137931,0.6455696202531646,0.48148148148148145,0.6265060240963856,51,28,3,26,quality_rf,0.36999999999999983,0.8109995635093845,0.5484393182770461,balanced
108,0.6944444444444444,0.7693147097337407,0.9310344827586207,0.6075949367088608,0.46551724137931033,0.6206896551724138,48,31,2,27,quality_rf,0.33999999999999986,0.8109995635093845,0.5484393182770461,recall90
108,0.6574074074074074,0.7439982540375382,0.9310344827586207,0.5569620253164557,0.43548387096774194,0.5934065934065935,44,35,2,27,quality_extra_trees,0.3999999999999998,0.7826276735050196,0.4896002638775417,f1
108,0.6296296296296297,0.7468354430379747,1.0,0.4936708860759494,0.42028985507246375,0.5918367346938774,39,40,0,29,quality_extra_trees,0.38999999999999985,0.7826276735050196,0.4896002638775417,balanced
108,0.6574074074074074,0.7439982540375382,0.9310344827586207,0.5569620253164557,0.43548387096774194,0.5934065934065935,44,35,2,27,quality_extra_trees,0.3999999999999998,0.7826276735050196,0.4896002638775417,recall90
