quality_model,quality_objective,policy,n,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,review_n,review_rate,quality_review_n,safety_trigger_n,union_quality_safety_n
heuristic_nonpass_status,heuristic,quality_review_else_main,108,0.8611111111111112,0.8501918381583538,0.7659574468085106,0.9344262295081968,0.9,0.8275862068965516,57,4,11,36,68,0.6296296296296297,68,14,75
heuristic_nonpass_status,heuristic,quality_review_else_safety_switch,108,0.8703703703703703,0.8681548657132891,0.851063829787234,0.8852459016393442,0.851063829787234,0.8510638297872339,54,7,7,40,68,0.6296296296296297,68,14,75
heuristic_nonpass_status,heuristic,quality_or_safety_review_else_main,108,0.8981481481481481,0.8927450296477154,0.851063829787234,0.9344262295081968,0.9090909090909091,0.8791208791208791,57,4,7,40,75,0.6944444444444444,68,14,75
heuristic_score_lt_100,heuristic,quality_review_else_main,108,0.8611111111111112,0.8501918381583538,0.7659574468085106,0.9344262295081968,0.9,0.8275862068965516,57,4,11,36,68,0.6296296296296297,68,14,75
heuristic_score_lt_100,heuristic,quality_review_else_safety_switch,108,0.8703703703703703,0.8681548657132891,0.851063829787234,0.8852459016393442,0.851063829787234,0.8510638297872339,54,7,7,40,68,0.6296296296296297,68,14,75
heuristic_score_lt_100,heuristic,quality_or_safety_review_else_main,108,0.8981481481481481,0.8927450296477154,0.851063829787234,0.9344262295081968,0.9090909090909091,0.8791208791208791,57,4,7,40,75,0.6944444444444444,68,14,75
heuristic_score_lt_92,heuristic,quality_review_else_main,108,0.7407407407407407,0.7241018486222532,0.5957446808510638,0.8524590163934426,0.7567567567567568,0.6666666666666666,52,9,19,28,34,0.3148148148148148,34,14,45
heuristic_score_lt_92,heuristic,quality_review_else_safety_switch,108,0.7685185185185185,0.7657830484827346,0.7446808510638298,0.7868852459016393,0.7291666666666666,0.7368421052631579,48,13,12,35,34,0.3148148148148148,34,14,45
heuristic_score_lt_92,heuristic,quality_or_safety_review_else_main,108,0.8055555555555556,0.7985699337286362,0.7446808510638298,0.8524590163934426,0.7954545454545454,0.7692307692307692,52,9,12,35,45,0.4166666666666667,34,14,45
quality_logistic,f1,quality_review_else_main,108,0.7685185185185185,0.7535751656784095,0.6382978723404256,0.8688524590163934,0.7894736842105263,0.7058823529411764,53,8,17,30,44,0.4074074074074074,44,14,57
quality_logistic,f1,quality_review_else_safety_switch,108,0.8148148148148148,0.8165329612835717,0.8297872340425532,0.8032786885245902,0.7647058823529411,0.7959183673469387,49,12,8,39,44,0.4074074074074074,44,14,57
quality_logistic,f1,quality_or_safety_review_else_main,108,0.8518518518518519,0.8493198465294733,0.8297872340425532,0.8688524590163934,0.8297872340425532,0.8297872340425532,53,8,8,39,57,0.5277777777777778,44,14,57
quality_logistic,balanced,quality_review_else_main,108,0.7685185185185185,0.7535751656784095,0.6382978723404256,0.8688524590163934,0.7894736842105263,0.7058823529411764,53,8,17,30,44,0.4074074074074074,44,14,57
quality_logistic,balanced,quality_review_else_safety_switch,108,0.8148148148148148,0.8165329612835717,0.8297872340425532,0.8032786885245902,0.7647058823529411,0.7959183673469387,49,12,8,39,44,0.4074074074074074,44,14,57
quality_logistic,balanced,quality_or_safety_review_else_main,108,0.8518518518518519,0.8493198465294733,0.8297872340425532,0.8688524590163934,0.8297872340425532,0.8297872340425532,53,8,8,39,57,0.5277777777777778,44,14,57
quality_logistic,recall90,quality_review_else_main,108,0.9074074074074074,0.9033833275200558,0.8723404255319149,0.9344262295081968,0.9111111111111111,0.891304347826087,57,4,6,41,78,0.7222222222222222,78,14,82
quality_logistic,recall90,quality_review_else_safety_switch,108,0.9074074074074074,0.9082664806417858,0.9148936170212766,0.9016393442622951,0.8775510204081632,0.8958333333333333,55,6,4,43,78,0.7222222222222222,78,14,82
quality_logistic,recall90,quality_or_safety_review_else_main,108,0.9259259259259259,0.9246599232647367,0.9148936170212766,0.9344262295081968,0.9148936170212766,0.9148936170212766,57,4,4,43,82,0.7592592592592593,78,14,82
quality_rf,f1,quality_review_else_main,108,0.8148148148148148,0.8043250784792466,0.723404255319149,0.8852459016393442,0.8292682926829268,0.7727272727272727,54,7,13,34,54,0.5,54,14,62
quality_rf,f1,quality_review_else_safety_switch,108,0.8518518518518519,0.8517614230903383,0.851063829787234,0.8524590163934426,0.8163265306122449,0.8333333333333334,52,9,7,40,54,0.5,54,14,62
quality_rf,f1,quality_or_safety_review_else_main,108,0.8703703703703703,0.8681548657132891,0.851063829787234,0.8852459016393442,0.851063829787234,0.8510638297872339,54,7,7,40,62,0.5740740740740741,54,14,62
quality_rf,balanced,quality_review_else_main,108,0.8148148148148148,0.8043250784792466,0.723404255319149,0.8852459016393442,0.8292682926829268,0.7727272727272727,54,7,13,34,54,0.5,54,14,62
quality_rf,balanced,quality_review_else_safety_switch,108,0.8518518518518519,0.8517614230903383,0.851063829787234,0.8524590163934426,0.8163265306122449,0.8333333333333334,52,9,7,40,54,0.5,54,14,62
quality_rf,balanced,quality_or_safety_review_else_main,108,0.8703703703703703,0.8681548657132891,0.851063829787234,0.8852459016393442,0.851063829787234,0.8510638297872339,54,7,7,40,62,0.5740740740740741,54,14,62
quality_rf,recall90,quality_review_else_main,108,0.8148148148148148,0.8043250784792466,0.723404255319149,0.8852459016393442,0.8292682926829268,0.7727272727272727,54,7,13,34,58,0.5370370370370371,58,14,66
