analysis,feature,value,wrong_rate,relative_wrong_rate,n,acc,bacc,tn,fp,fn,tp,fn_rate_high,fp_rate_low
development,third_split,adapt72,0.2916666666666667,2.329391891891892,72,0.7083333333333334,0.6964285714285714,18,10,11,33,0.25,0.35714285714285715
development,brightness_mean_quartile,Q3,0.22857142857142856,1.8254826254826255,105,0.7714285714285715,0.7619047619047619,51,12,12,30,0.2857142857142857,0.19047619047619047
development,task_l6_label,B2,0.2247191011235955,1.7947160643789857,89,0.7752808988764045,,0,0,20,69,0.2247191011235955,
development,red_tissue_ratio_quartile,Q1_low,0.19811320754716982,1.5822284548699646,106,0.8018867924528302,0.73300515705579,69,10,11,16,0.4074074074074074,0.12658227848101267
development,saturation_mean_quartile,Q3,0.19047619047619047,1.5212355212355213,105,0.8095238095238095,0.791335453100159,58,10,10,27,0.2702702702702703,0.14705882352941177
development,task_l7_label,high_risk_group,0.18385650224215247,1.4683674706096232,223,0.8161434977578476,,0,0,41,182,0.18385650224215247,
development,core_agree_all,0,0.18095238095238095,1.4451737451737452,210,0.819047619047619,0.818048422597212,96,20,18,76,0.19148936170212766,0.1724137931034483
development,core_agree_count,2,0.18095238095238095,1.4451737451737452,210,0.819047619047619,0.818048422597212,96,20,18,76,0.19148936170212766,0.1724137931034483
development,file_kb_quartile,Q3,0.18095238095238095,1.4451737451737452,105,0.819047619047619,0.7685265911072363,66,8,11,20,0.3548387096774194,0.10810810810810811
development,border_blue_ratio_quartile,Q2,0.1792452830188679,1.4315400305966344,106,0.8207547169811321,0.8154929577464789,59,12,7,28,0.2,0.16901408450704225
development,task_l6_label,TC,0.17272727272727273,1.3794840294840296,110,0.8272727272727273,,0,0,19,91,0.17272727272727273,
development,subject_area_proxy_quartile,Q3,0.17142857142857143,1.369111969111969,105,0.8285714285714286,0.7832125603864735,64,5,13,23,0.3611111111111111,0.07246376811594203
development,domain,third,0.16993464052287582,1.3571807101218867,306,0.8300653594771242,0.7718314459930313,201,23,29,53,0.35365853658536583,0.10267857142857142
development,view_type_final,unlabeled_third,0.16993464052287582,1.3571807101218867,306,0.8300653594771242,0.7718314459930313,201,23,29,53,0.35365853658536583,0.10267857142857142
development,file_kb_quartile,Q2,0.16981132075471697,1.3561958184599694,106,0.8301886792452831,0.8202288667404947,55,8,10,33,0.23255813953488372,0.12698412698412698
development,border_blue_ratio_quartile,Q1_low,0.16981132075471697,1.3561958184599694,106,0.8301886792452831,0.7972222222222223,63,7,11,25,0.3055555555555556,0.1
development,contrast_std_quartile,Q2,0.16037735849056603,1.2808516063233044,106,0.839622641509434,0.8227554179566563,60,8,9,29,0.23684210526315788,0.11764705882352941
development,saturation_mean_quartile,Q1_low,0.1509433962264151,1.2055073941866394,106,0.8490566037735849,0.8339208773991382,61,8,8,29,0.21621621621621623,0.11594202898550725
development,saturation_mean_quartile,Q2,0.1509433962264151,1.2055073941866394,106,0.8490566037735849,0.8058608058608059,70,8,8,20,0.2857142857142857,0.10256410256410256
development,subject_area_proxy_quartile,Q1_low,0.1509433962264151,1.2055073941866394,106,0.8490566037735849,0.827653740697219,62,7,9,28,0.24324324324324326,0.10144927536231885
development,contrast_std_quartile,Q1_low,0.14150943396226415,1.1301631820499745,106,0.8584905660377359,0.7967901234567901,74,7,8,17,0.32,0.08641975308641975
development,contrast_std_quartile,Q4_high,0.14150943396226415,1.1301631820499745,106,0.8584905660377359,0.8321428571428571,64,6,9,27,0.25,0.08571428571428572
development,red_tissue_ratio_quartile,Q2,0.14150943396226415,1.1301631820499745,106,0.8584905660377359,0.8365709459459459,66,8,7,25,0.21875,0.10810810810810811
development,third_split,holdout234,0.13247863247863248,1.0580388080388081,234,0.8675213675213675,0.7299946294307196,183,13,18,20,0.47368421052631576,0.0663265306122449
development,file_kb_quartile,Q1_low,0.1320754716981132,1.0548189699133095,106,0.8679245283018868,0.837280701754386,69,7,7,23,0.23333333333333334,0.09210526315789473
development,brightness_mean_quartile,Q1_low,0.1320754716981132,1.0548189699133095,106,0.8679245283018868,0.8138771683075481,73,6,8,19,0.2962962962962963,0.0759493670886076
development,subject_area_proxy_quartile,Q4_high,0.1320754716981132,1.0548189699133095,106,0.8679245283018868,0.8562091503267973,64,8,6,28,0.17647058823529413,0.1111111111111111
development,red_tissue_ratio_quartile,Q4_high,0.1320754716981132,1.0548189699133095,106,0.8679245283018868,0.8619791666666667,57,7,7,35,0.16666666666666666,0.109375
development,view_type_final,mixed,0.13043478260869565,1.0417156286721505,23,0.8695652173913043,0.9285714285714286,2,0,3,18,0.14285714285714285,0.0
development,view_type_final,cut_surface,0.12903225806451613,1.0305143853530951,31,0.8709677419354839,0.8785714285714286,9,1,3,18,0.14285714285714285,0.1
