analysis,feature,value,wrong_rate,relative_wrong_rate,n,acc,bacc,tn,fp,fn,tp,fn_rate_high,fp_rate_low
external_diagnostic_only,task_l6_label,B2,0.6428571428571429,1.8270676691729324,28,0.35714285714285715,,0,0,18,10,0.6428571428571429,
external_diagnostic_only,lap_var_quartile,Q3,0.5769230769230769,1.6396761133603237,26,0.4230769230769231,0.4107142857142857,8,6,9,3,0.75,0.42857142857142855
external_diagnostic_only,task_l7_label,high_risk_group,0.5319148936170213,1.5117581187010078,47,0.46808510638297873,,0,0,25,22,0.5319148936170213,
external_diagnostic_only,core_agree_all,0,0.46938775510204084,1.3340494092373791,49,0.5306122448979592,0.43333333333333335,26,4,19,0,1.0,0.13333333333333333
external_diagnostic_only,core_agree_count,2,0.46938775510204084,1.3340494092373791,49,0.5306122448979592,0.43333333333333335,26,4,19,0,1.0,0.13333333333333333
external_diagnostic_only,fg_ratio_quartile,Q3,0.46153846153846156,1.311740890688259,26,0.5384615384615384,0.49375,11,5,7,3,0.7,0.3125
external_diagnostic_only,fg_ratio_quartile,Q2,0.4444444444444444,1.263157894736842,27,0.5555555555555556,0.5576923076923077,8,5,7,7,0.5,0.38461538461538464
external_diagnostic_only,manual_quality_status_v1,reject_retake,0.38095238095238093,1.0827067669172932,21,0.6190476190476191,0.5480769230769231,11,2,6,2,0.75,0.15384615384615385
external_diagnostic_only,manual_quality_status_v1,borderline_review,0.375,1.0657894736842104,8,0.625,0.5833333333333333,1,1,2,4,0.3333333333333333,0.5
external_diagnostic_only,bbox_area_ratio_quartile,Q1_low,0.37037037037037035,1.0526315789473684,27,0.6296296296296297,0.65,10,2,8,7,0.5333333333333333,0.16666666666666666
external_diagnostic_only,bbox_area_ratio_quartile,Q2,0.37037037037037035,1.0526315789473684,27,0.6296296296296297,0.6416666666666666,9,3,7,8,0.4666666666666667,0.25
external_diagnostic_only,bbox_area_ratio_quartile,Q4_high,0.37037037037037035,1.0526315789473684,27,0.6296296296296297,0.5555555555555556,14,4,6,3,0.6666666666666666,0.2222222222222222
external_diagnostic_only,source_folder,胸腺癌,0.35185185185185186,1.0,108,0.6481481481481481,0.627485176142309,48,13,25,22,0.5319148936170213,0.21311475409836064
external_diagnostic_only,manual_quality_status_v1,pass_readable,0.34177215189873417,0.9713524317121918,79,0.6582278481012658,0.6337285902503293,36,10,17,16,0.5151515151515151,0.21739130434782608
external_diagnostic_only,fg_ratio_quartile,Q1_low,0.3333333333333333,0.9473684210526315,27,0.6666666666666666,0.6730769230769231,11,2,7,7,0.5,0.15384615384615385
external_diagnostic_only,bbox_area_ratio_quartile,Q3,0.3076923076923077,0.8744939271255061,26,0.6923076923076923,0.6090225563909775,15,4,4,3,0.5714285714285714,0.21052631578947367
external_diagnostic_only,task_l6_label,B3,0.3,0.8526315789473684,10,0.7,,0,0,3,7,0.3,
external_diagnostic_only,lap_var_quartile,Q1_low,0.2962962962962963,0.8421052631578947,27,0.7037037037037037,0.5833333333333333,17,1,7,2,0.7777777777777778,0.05555555555555555
external_diagnostic_only,lap_var_quartile,Q4_high,0.2962962962962963,0.8421052631578947,27,0.7037037037037037,0.7083333333333333,9,3,5,10,0.3333333333333333,0.25
external_diagnostic_only,task_l6_label,AB,0.28205128205128205,0.8016194331983806,39,0.717948717948718,,28,11,0,0,,0.28205128205128205
external_diagnostic_only,lap_var_quartile,Q2,0.25925925925925924,0.7368421052631579,27,0.7407407407407407,0.7117647058823529,14,3,4,6,0.4,0.17647058823529413
external_diagnostic_only,core_agree_all,1,0.2542372881355932,0.7225691347011596,59,0.7457627118644068,0.7476958525345623,22,9,6,22,0.21428571428571427,0.2903225806451613
external_diagnostic_only,core_agree_count,3,0.2542372881355932,0.7225691347011596,59,0.7457627118644068,0.7476958525345623,22,9,6,22,0.21428571428571427,0.2903225806451613
external_diagnostic_only,task_l7_label,low_risk_group,0.21311475409836064,0.6056945642795513,61,0.7868852459016393,,48,13,0,0,,0.21311475409836064
external_diagnostic_only,task_l6_label,TC,0.2,0.5684210526315789,5,0.8,,0,0,1,4,0.2,
external_diagnostic_only,fg_ratio_quartile,Q4_high,0.18518518518518517,0.5263157894736842,27,0.8148148148148148,0.7236842105263157,18,1,4,4,0.5,0.05263157894736842
external_diagnostic_only,task_l6_label,A,0.125,0.35526315789473684,8,0.875,,7,1,0,0,,0.125
external_diagnostic_only,task_l6_label,B1,0.09090909090909091,0.2583732057416268,11,0.9090909090909091,,10,1,0,0,,0.09090909090909091
