router,reviewer,budget,review_n,review_rate,external_accuracy,external_balanced_accuracy,external_sensitivity,external_specificity,external_precision,external_f1,external_tn,external_fp,external_fn,external_tp,rescued_n,harmed_n,net_rescue_n,p2_errors_enter_review_n,p2_errors_missed_n
none,P2_auto_baseline,0.0,0,0.0,0.7037037037037037,0.7010812696198117,0.6808510638297872,0.7213114754098361,0.6530612244897959,0.6666666666666666,44,17,15,32,,,,,
none,review_logistic_c025_all_cases,1.0,108,1.0,0.5648148148148148,0.5,0.0,1.0,0.0,0.0,61,0,47,0,,,,,
v30_hard_logistic,review_logistic_c025,0.5,54,0.5,0.7129629629629629,0.6799790722009069,0.425531914893617,0.9344262295081968,0.8333333333333334,0.5633802816901409,57,4,27,20,13.0,12.0,1.0,22.0,10.0
v30_hard_logistic,review_logistic_c025,0.6,65,0.6018518518518519,0.6944444444444444,0.653819323334496,0.3404255319148936,0.9672131147540983,0.8888888888888888,0.4923076923076923,59,2,31,16,15.0,16.0,-1.0,25.0,7.0
v30_hard_logistic,review_logistic_c025,0.75,81,0.75,0.6388888888888888,0.5875479595395884,0.19148936170212766,0.9836065573770492,0.9,0.3157894736842105,60,1,38,9,16.0,23.0,-7.0,28.0,4.0
none,review_logistic_c1_all_cases,1.0,108,1.0,0.5648148148148148,0.5,0.0,1.0,0.0,0.0,61,0,47,0,,,,,
v30_hard_logistic,review_logistic_c1,0.5,54,0.5,0.7129629629629629,0.6799790722009069,0.425531914893617,0.9344262295081968,0.8333333333333334,0.5633802816901409,57,4,27,20,13.0,12.0,1.0,22.0,10.0
v30_hard_logistic,review_logistic_c1,0.6,65,0.6018518518518519,0.6944444444444444,0.653819323334496,0.3404255319148936,0.9672131147540983,0.8888888888888888,0.4923076923076923,59,2,31,16,15.0,16.0,-1.0,25.0,7.0
v30_hard_logistic,review_logistic_c1,0.75,81,0.75,0.6388888888888888,0.5875479595395884,0.19148936170212766,0.9836065573770492,0.9,0.3157894736842105,60,1,38,9,16.0,23.0,-7.0,28.0,4.0
none,review_rf_all_cases,1.0,108,1.0,0.6481481481481481,0.627485176142309,0.46808510638297873,0.7868852459016393,0.6285714285714286,0.5365853658536586,48,13,25,22,,,,,
v30_hard_logistic,review_rf,0.5,54,0.5,0.6944444444444444,0.6806766655040112,0.574468085106383,0.7868852459016393,0.675,0.6206896551724138,48,13,20,27,4.0,5.0,-1.0,22.0,10.0
v30_hard_logistic,review_rf,0.6,65,0.6018518518518519,0.6944444444444444,0.6806766655040112,0.574468085106383,0.7868852459016393,0.675,0.6206896551724138,48,13,20,27,4.0,5.0,-1.0,25.0,7.0
v30_hard_logistic,review_rf,0.75,81,0.75,0.6666666666666666,0.6487617718869898,0.5106382978723404,0.7868852459016393,0.6486486486486487,0.5714285714285715,48,13,23,24,4.0,8.0,-4.0,28.0,4.0
none,review_extra_trees_all_cases,1.0,108,1.0,0.6481481481481481,0.627485176142309,0.46808510638297873,0.7868852459016393,0.6285714285714286,0.5365853658536586,48,13,25,22,,,,,
v30_hard_logistic,review_extra_trees,0.5,54,0.5,0.6944444444444444,0.6806766655040112,0.574468085106383,0.7868852459016393,0.675,0.6206896551724138,48,13,20,27,4.0,5.0,-1.0,22.0,10.0
v30_hard_logistic,review_extra_trees,0.6,65,0.6018518518518519,0.6944444444444444,0.6806766655040112,0.574468085106383,0.7868852459016393,0.675,0.6206896551724138,48,13,20,27,4.0,5.0,-1.0,25.0,7.0
v30_hard_logistic,review_extra_trees,0.75,81,0.75,0.6666666666666666,0.6487617718869898,0.5106382978723404,0.7868852459016393,0.6486486486486487,0.5714285714285715,48,13,23,24,4.0,8.0,-4.0,28.0,4.0
none,review_gbdt_all_cases,1.0,108,1.0,0.6388888888888888,0.6119637251482386,0.40425531914893614,0.819672131147541,0.6333333333333333,0.49350649350649345,50,11,28,19,,,,,
v30_hard_logistic,review_gbdt,0.5,54,0.5,0.7037037037037037,0.6864318102546216,0.5531914893617021,0.819672131147541,0.7027027027027027,0.6190476190476191,50,11,21,26,6.0,6.0,0.0,22.0,10.0
v30_hard_logistic,review_gbdt,0.6,65,0.6018518518518519,0.7037037037037037,0.6864318102546216,0.5531914893617021,0.819672131147541,0.7027027027027027,0.6190476190476191,50,11,21,26,6.0,6.0,0.0,25.0,7.0
v30_hard_logistic,review_gbdt,0.75,81,0.75,0.6759259259259259,0.6545169166376003,0.48936170212765956,0.819672131147541,0.6764705882352942,0.5679012345679013,50,11,24,23,6.0,9.0,-3.0,28.0,4.0
