target_dev_bacc,group_col,group_value,n,review_n,review_rate,p2_wrong_n,captured_p2_wrong_n,missed_p2_wrong_n,capture_rate,review_precision_vs_p2_error
0.85,task_l6_label,A,8,0,0.0,3,0,3,0.0,
0.85,task_l6_label,AB,39,0,0.0,12,0,12,0.0,
0.85,task_l6_label,B1,11,0,0.0,2,0,2,0.0,
0.85,task_l6_label,B1_B2_mixed,1,0,0.0,0,0,0,,
0.85,task_l6_label,B2,28,1,0.03571428571428571,12,0,12,0.0,0.0
0.85,task_l6_label,B2_B3_mixed,3,0,0.0,2,0,2,0.0,
0.85,task_l6_label,B3,10,0,0.0,0,0,0,,
0.85,task_l6_label,MNT_assumed_low,3,0,0.0,0,0,0,,
0.85,task_l6_label,TC,5,0,0.0,1,0,1,0.0,
0.88,task_l6_label,A,8,2,0.25,3,2,1,0.6666666666666666,1.0
0.88,task_l6_label,AB,39,1,0.02564102564102564,12,0,12,0.0,0.0
0.88,task_l6_label,B1,11,0,0.0,2,0,2,0.0,
0.88,task_l6_label,B1_B2_mixed,1,0,0.0,0,0,0,,
0.88,task_l6_label,B2,28,4,0.14285714285714285,12,0,12,0.0,0.0
0.88,task_l6_label,B2_B3_mixed,3,0,0.0,2,0,2,0.0,
0.88,task_l6_label,B3,10,0,0.0,0,0,0,,
0.88,task_l6_label,MNT_assumed_low,3,1,0.3333333333333333,0,0,0,,0.0
0.88,task_l6_label,TC,5,0,0.0,1,0,1,0.0,
0.9,task_l6_label,A,8,2,0.25,3,2,1,0.6666666666666666,1.0
0.9,task_l6_label,AB,39,5,0.1282051282051282,12,2,10,0.16666666666666666,0.4
0.9,task_l6_label,B1,11,2,0.18181818181818182,2,1,1,0.5,0.5
0.9,task_l6_label,B1_B2_mixed,1,0,0.0,0,0,0,,
0.9,task_l6_label,B2,28,6,0.21428571428571427,12,1,11,0.08333333333333333,0.16666666666666666
0.9,task_l6_label,B2_B3_mixed,3,0,0.0,2,0,2,0.0,
0.9,task_l6_label,B3,10,1,0.1,0,0,0,,0.0
0.9,task_l6_label,MNT_assumed_low,3,1,0.3333333333333333,0,0,0,,0.0
0.9,task_l6_label,TC,5,0,0.0,1,0,1,0.0,
0.92,task_l6_label,A,8,3,0.375,3,3,0,1.0,1.0
0.92,task_l6_label,AB,39,12,0.3076923076923077,12,6,6,0.5,0.5
0.92,task_l6_label,B1,11,2,0.18181818181818182,2,1,1,0.5,0.5
0.92,task_l6_label,B1_B2_mixed,1,0,0.0,0,0,0,,
0.92,task_l6_label,B2,28,9,0.32142857142857145,12,3,9,0.25,0.3333333333333333
0.92,task_l6_label,B2_B3_mixed,3,1,0.3333333333333333,2,1,1,0.5,1.0
0.92,task_l6_label,B3,10,2,0.2,0,0,0,,0.0
0.92,task_l6_label,MNT_assumed_low,3,2,0.6666666666666666,0,0,0,,0.0
0.92,task_l6_label,TC,5,0,0.0,1,0,1,0.0,
0.95,task_l6_label,A,8,4,0.5,3,3,0,1.0,0.75
0.95,task_l6_label,AB,39,22,0.5641025641025641,12,9,3,0.75,0.4090909090909091
0.95,task_l6_label,B1,11,4,0.36363636363636365,2,1,1,0.5,0.25
0.95,task_l6_label,B1_B2_mixed,1,0,0.0,0,0,0,,
0.95,task_l6_label,B2,28,14,0.5,12,8,4,0.6666666666666666,0.5714285714285714
0.95,task_l6_label,B2_B3_mixed,3,2,0.6666666666666666,2,1,1,0.5,0.5
0.95,task_l6_label,B3,10,4,0.4,0,0,0,,0.0
0.95,task_l6_label,MNT_assumed_low,3,2,0.6666666666666666,0,0,0,,0.0
0.95,task_l6_label,TC,5,1,0.2,1,0,1,0.0,0.0
0.97,task_l6_label,A,8,4,0.5,3,3,0,1.0,0.75
0.97,task_l6_label,AB,39,27,0.6923076923076923,12,11,1,0.9166666666666666,0.4074074074074074
0.97,task_l6_label,B1,11,5,0.45454545454545453,2,1,1,0.5,0.2
0.97,task_l6_label,B1_B2_mixed,1,0,0.0,0,0,0,,
0.97,task_l6_label,B2,28,17,0.6071428571428571,12,8,4,0.6666666666666666,0.47058823529411764
0.97,task_l6_label,B2_B3_mixed,3,3,1.0,2,2,0,1.0,0.6666666666666666
0.97,task_l6_label,B3,10,4,0.4,0,0,0,,0.0
0.97,task_l6_label,MNT_assumed_low,3,2,0.6666666666666666,0,0,0,,0.0
0.97,task_l6_label,TC,5,2,0.4,1,0,1,0.0,0.0
0.85,quality_status,borderline,66,0,0.0,18,0,18,0.0,
0.85,quality_status,pass,40,1,0.025,14,0,14,0.0,0.0
0.85,quality_status,reject,1,0,0.0,0,0,0,,
0.85,quality_status,,1,0,0.0,0,0,0,,
0.88,quality_status,borderline,66,0,0.0,18,0,18,0.0,
0.88,quality_status,pass,40,8,0.2,14,2,12,0.14285714285714285,0.25
0.88,quality_status,reject,1,0,0.0,0,0,0,,
0.88,quality_status,,1,0,0.0,0,0,0,,
0.9,quality_status,borderline,66,4,0.06060606060606061,18,2,16,0.1111111111111111,0.5
0.9,quality_status,pass,40,13,0.325,14,4,10,0.2857142857142857,0.3076923076923077
0.9,quality_status,reject,1,0,0.0,0,0,0,,
0.9,quality_status,,1,0,0.0,0,0,0,,
0.92,quality_status,borderline,66,17,0.25757575757575757,18,9,9,0.5,0.5294117647058824
0.92,quality_status,pass,40,14,0.35,14,5,9,0.35714285714285715,0.35714285714285715
0.92,quality_status,reject,1,0,0.0,0,0,0,,
0.92,quality_status,,1,0,0.0,0,0,0,,
0.95,quality_status,borderline,66,28,0.42424242424242425,18,12,6,0.6666666666666666,0.42857142857142855
