ranker,auc_bacc_over_review_0_80,max_external_bacc,min_review_for_bacc90,min_review_for_bacc93,min_review_for_bacc95
learned_hard_gate,0.8547403898410947,0.9705266829438437,0.4537037037037037,0.6018518518518519,0.7222222222222222
safety_trigger_first,0.8333309674645728,0.9508196721311475,0.5462962962962963,0.7037037037037037,0.7962962962962963
low_core_mean,0.8313700002433465,0.9262295081967213,0.6296296296296297,,
model_prob_std,0.8202348699312951,0.9483780955702825,0.6296296296296297,0.75,
model_prob_range,0.8199955792052303,0.9401813742588071,0.6296296296296297,0.75,
low_robust_margin,0.8081375069962121,0.9213463550749913,0.6759259259259259,,
low_main_prob,0.8261775942764904,0.9262295081967213,0.7222222222222222,,
high_main_prob,0.8182090103097801,0.9361702127659575,0.7222222222222222,0.7777777777777778,
main_robust_abs_diff,0.8140143249973637,0.9352982211370771,0.7222222222222222,0.7962962962962963,
high_core_mean,0.8112553840413363,0.9468085106382979,0.7222222222222222,0.7777777777777778,
low_score_margin_agree,0.7993709492947007,0.9189047785141262,0.75,,
low_main_margin,0.7897709298269806,0.8943146145797001,,,
