safe_rate_target,review_rate_target,clear_auto_n,clear_auto_rate,middle_auto_n,middle_auto_rate,review_n,review_rate,clear_wrong_n,middle_wrong_n,review_captured_wrong_n,workflow_accuracy,workflow_balanced_accuracy,workflow_sensitivity,workflow_specificity,workflow_precision,workflow_f1,workflow_tn,workflow_fp,workflow_fn,workflow_tp,clear_n,clear_accuracy,clear_balanced_accuracy,clear_sensitivity,clear_specificity,clear_fn,clear_fp,middle_n,middle_accuracy,middle_balanced_accuracy,middle_sensitivity,middle_specificity,middle_precision,middle_f1,middle_tn,middle_fp,middle_fn,middle_tp,auto_all_n,auto_all_accuracy,auto_all_balanced_accuracy,auto_all_sensitivity,auto_all_specificity,auto_all_precision,auto_all_f1,auto_all_tn,auto_all_fp,auto_all_fn,auto_all_tp,split,clear_precision,clear_f1,clear_tn,clear_tp
0.0,0.0,0,0.0,591,1.0,0,0.0,0,91,0,0.8460236886632826,0.8445542503411971,0.8385650224215246,0.8505434782608695,0.7727272727272727,0.8043010752688172,313,55,36,187,0,,,,,0,0,591,0.8460236886632826,0.8445542503411971,0.8385650224215246,0.8505434782608695,0.7727272727272727,0.8043010752688172,313.0,55,36,187.0,591,0.8460236886632826,0.8445542503411971,0.8385650224215246,0.8505434782608695,0.7727272727272727,0.8043010752688172,313,55,36,187,development,,,,
0.0,0.025,0,0.0,576,0.9746192893401016,15,0.025380710659898477,0,80,11,0.8646362098138748,0.8594999025151102,0.8385650224215246,0.8804347826086957,0.8095238095238095,0.8237885462555067,324,44,36,187,0,,,,,0,0,576,0.8611111111111112,0.8561835693181382,0.8356164383561644,0.876750700280112,0.8061674008810573,0.8206278026905829,313.0,44,36,183.0,576,0.8611111111111112,0.8561835693181382,0.8356164383561644,0.876750700280112,0.8061674008810573,0.8206278026905829,313,44,36,183,development,,,,
0.0,0.05,0,0.0,561,0.949238578680203,30,0.050761421319796954,0,70,21,0.8815566835871405,0.8730868590368492,0.8385650224215246,0.907608695652174,0.8461538461538461,0.8423423423423423,334,34,36,187,0,,,,,0,0,561,0.875222816399287,0.8668964960004308,0.8317757009345794,0.9020172910662824,0.839622641509434,0.8356807511737089,313.0,34,36,178.0,561,0.875222816399287,0.8668964960004308,0.8317757009345794,0.9020172910662824,0.839622641509434,0.8356807511737089,313,34,36,178,development,,,,
0.0,0.075,0,0.0,547,0.9255499153976311,44,0.07445008460236886,0,63,28,0.8934010152284264,0.8825977286020666,0.8385650224215246,0.9266304347826086,0.8738317757009346,0.8558352402745996,341,27,36,187,0,,,,,0,0,547,0.8848263254113345,0.8733375959079284,0.8260869565217391,0.9205882352941176,0.8636363636363636,0.8444444444444444,313.0,27,36,171.0,547,0.8848263254113345,0.8733375959079284,0.8260869565217391,0.9205882352941176,0.8636363636363636,0.8444444444444444,313,27,36,171,development,,,,
0.0,0.1,0,0.0,532,0.9001692047377327,59,0.09983079526226735,0,59,32,0.9001692047377327,0.8880325112107623,0.8385650224215246,0.9375,0.8904761904761904,0.8637413394919168,345,23,36,187,0,,,,,0,0,532,0.8890977443609023,0.8746597713663582,0.8181818181818182,0.9311377245508982,0.8756756756756757,0.8459530026109662,311.0,23,36,162.0,532,0.8890977443609023,0.8746597713663582,0.8181818181818182,0.9311377245508982,0.8756756756756757,0.8459530026109662,311,23,36,162,development,,,,
0.0,0.125,0,0.0,517,0.8747884940778342,74,0.12521150592216582,0,54,37,0.9086294416243654,0.8948259894716319,0.8385650224215246,0.9510869565217391,0.9121951219512195,0.8738317757009346,350,18,36,187,0,,,,,0,0,517,0.8955512572533849,0.8785576923076923,0.8125,0.9446153846153846,0.896551724137931,0.8524590163934426,307.0,18,36,156.0,517,0.8955512572533849,0.8785576923076923,0.8125,0.9446153846153846,0.896551724137931,0.8524590163934426,307,18,36,156,development,,,,
0.0,0.15,0,0.0,502,0.8494077834179357,89,0.1505922165820643,0,51,40,0.9137055837563451,0.8997855332423474,0.8430493273542601,0.9565217391304348,0.9215686274509803,0.8805620608899296,352,16,35,188,0,,,,,0,0,502,0.898406374501992,0.8797340716434237,0.8097826086956522,0.949685534591195,0.9030303030303031,0.8538681948424071,302.0,16,35,149.0,502,0.898406374501992,0.8797340716434237,0.8097826086956522,0.949685534591195,0.9030303030303031,0.8538681948424071,302,16,35,149,development,,,,
0.0,0.175,0,0.0,488,0.8257191201353637,103,0.17428087986463622,0,49,42,0.9170896785109983,0.9033863813608891,0.8475336322869955,0.9592391304347826,0.9264705882352942,0.8852459016393444,353,15,34,189,0,,,,,0,0,488,0.8995901639344263,0.8807560883006997,0.8100558659217877,0.9514563106796117,0.90625,0.855457227138643,294.0,15,34,145.0,488,0.8995901639344263,0.8807560883006997,0.8100558659217877,0.9514563106796117,0.90625,0.855457227138643,294,15,34,145,development,,,,
0.0,0.2,0,0.0,473,0.8003384094754653,118,0.1996615905245347,0,47,44,0.9204737732656514,0.9069872294794308,0.852017937219731,0.9619565217391305,0.9313725490196079,0.8899297423887588,354,14,33,190,0,,,,,0,0,473,0.9006342494714588,0.8803299639828046,0.8070175438596491,0.9536423841059603,0.9078947368421053,0.8544891640866874,288.0,14,33,138.0,473,0.9006342494714588,0.8803299639828046,0.8070175438596491,0.9536423841059603,0.9078947368421053,0.8544891640866874,288,14,33,138,development,,,,
0.0,0.225,0,0.0,458,0.7749576988155669,133,0.22504230118443316,0,44,47,0.9255499153976311,0.91283023006434,0.8609865470852018,0.9646739130434783,0.9365853658536586,0.897196261682243,355,13,31,192,0,,,,,0,0,458,0.9039301310043668,0.8843662320514937,0.8132530120481928,0.9554794520547946,0.9121621621621622,0.8598726114649682,279.0,13,31,135.0,458,0.9039301310043668,0.8843662320514937,0.8132530120481928,0.9554794520547946,0.9121621621621622,0.8598726114649682,279,13,31,135,development,,,,
