policy,family,name,budget,base_budget,addon_candidate,addon_rate,dev_accuracy,dev_balanced_accuracy,dev_sensitivity,dev_specificity,dev_precision,dev_f1,dev_tn,dev_fp,dev_fn,dev_tp,dev_review_n,dev_review_rate,dev_captured_wrong_n,dev_captured_fn_n,dev_captured_fp_n,dev_remaining_error_n,dev_review_precision_vs_p2_error,external_accuracy,external_balanced_accuracy,external_sensitivity,external_specificity,external_precision,external_f1,external_tn,external_fp,external_fn,external_tp,external_review_n,external_review_rate,external_captured_wrong_n,external_captured_fn_n,external_captured_fp_n,external_remaining_error_n,external_review_precision_vs_p2_error
single_rank::rank_any::budget=0.350,single_rank,rank_any,0.35,,,,0.9424703891708968,0.9334848410996296,0.8968609865470852,0.970108695652174,0.9478672985781991,0.9216589861751152,357,11,23,200,207,0.350253807106599,57,13,44,34,0.2753623188405797,0.8518518518518519,0.8419951168468782,0.7659574468085106,0.9180327868852459,0.8780487804878049,0.8181818181818182,56,5,11,36,38,0.35185185185185186,16,4,12,16,0.42105263157894735
single_rank::rank_any::budget=0.375,single_rank,rank_any,0.375,,,,0.9441624365482234,0.9348435367518035,0.8968609865470852,0.9728260869565217,0.9523809523809523,0.9237875288683602,358,10,23,200,222,0.3756345177664975,58,13,45,33,0.26126126126126126,0.8703703703703703,0.8632717125915591,0.8085106382978723,0.9180327868852459,0.8837209302325582,0.8444444444444444,56,5,9,38,40,0.37037037037037035,18,6,12,14,0.45
single_rank::rank_any::budget=0.400,single_rank,rank_any,0.4,,,,0.9458544839255499,0.9362022324039774,0.8968609865470852,0.9755434782608695,0.9569377990430622,0.9259259259259259,359,9,23,200,236,0.3993231810490694,59,13,46,32,0.25,0.8888888888888888,0.882106731775375,0.8297872340425532,0.9344262295081968,0.9069767441860465,0.8666666666666666,57,4,8,39,43,0.39814814814814814,20,7,13,12,0.46511627906976744
single_rank::rank_any::budget=0.425,single_rank,rank_any,0.425,,,,0.9509306260575296,0.9420452329888866,0.905829596412556,0.9782608695652174,0.9619047619047619,0.9330254041570438,360,8,21,202,251,0.42470389170896783,62,15,47,29,0.24701195219123506,0.8981481481481481,0.8927450296477154,0.851063829787234,0.9344262295081968,0.9090909090909091,0.8791208791208791,57,4,7,40,46,0.42592592592592593,21,8,13,11,0.45652173913043476
single_rank::rank_any::budget=0.450,single_rank,rank_any,0.45,,,,0.9526226734348562,0.9442873854552545,0.9103139013452914,0.9782608695652174,0.9620853080568721,0.935483870967742,360,8,20,203,266,0.4500846023688663,63,16,47,28,0.23684210526315788,0.9074074074074074,0.9033833275200558,0.8723404255319149,0.9344262295081968,0.9111111111111111,0.891304347826087,57,4,6,41,49,0.4537037037037037,22,9,13,10,0.4489795918367347
single_rank::rank_any::budget=0.475,single_rank,rank_any,0.475,,,,0.9543147208121827,0.9465295379216221,0.9147982062780269,0.9782608695652174,0.9622641509433962,0.9379310344827586,360,8,19,204,281,0.4754653130287648,64,17,47,27,0.2277580071174377,0.9074074074074074,0.9033833275200558,0.8723404255319149,0.9344262295081968,0.9111111111111111,0.891304347826087,57,4,6,41,51,0.4722222222222222,22,9,13,10,0.43137254901960786
single_rank::rank_any::budget=0.500,single_rank,rank_any,0.5,,,,0.9593908629441624,0.9523725385065315,0.9237668161434978,0.9809782608695652,0.9671361502347418,0.944954128440367,361,7,17,206,296,0.5008460236886633,67,19,48,24,0.22635135135135134,0.9074074074074074,0.9033833275200558,0.8723404255319149,0.9344262295081968,0.9111111111111111,0.891304347826087,57,4,6,41,54,0.5,22,9,13,10,0.4074074074074074
single_rank::rank_any::budget=0.525,single_rank,rank_any,0.525,,,,0.9627749576988156,0.9559733866250731,0.9282511210762332,0.9836956521739131,0.971830985915493,0.9495412844036697,362,6,16,207,310,0.5245346869712352,69,20,49,22,0.22258064516129034,0.9166666666666666,0.9115800488315312,0.8723404255319149,0.9508196721311475,0.9318181818181818,0.9010989010989012,58,3,6,41,57,0.5277777777777778,23,9,14,9,0.40350877192982454
single_rank::rank_any::budget=0.550,single_rank,rank_any,0.55,,,,0.9695431472081218,0.9640585396763501,0.9417040358744395,0.9864130434782609,0.9767441860465116,0.9589041095890412,363,5,13,210,325,0.5499153976311336,73,23,50,18,0.2246153846153846,0.9259259259259259,0.9222183467038716,0.8936170212765957,0.9508196721311475,0.9333333333333333,0.9130434782608695,58,3,5,42,59,0.5462962962962963,24,10,14,8,0.4067796610169492
single_rank::rank_any::budget=0.575,single_rank,rank_any,0.575,,,,0.9746192893401016,0.9699015402612594,0.9506726457399103,0.9891304347826086,0.9814814814814815,0.9658314350797267,364,4,11,212,340,0.5752961082910322,76,25,51,15,0.2235294117647059,0.9259259259259259,0.9222183467038716,0.8936170212765957,0.9508196721311475,0.9333333333333333,0.9130434782608695,58,3,5,42,62,0.5740740740740741,24,10,14,8,0.3870967741935484
