selector,target_auto_error,n_splits,no_auto_rate,cal_auto_rate_median,cal_auto_rate_ci025,cal_auto_rate_ci975,cal_error_rate_median,cal_error_rate_ci025,cal_error_rate_ci975,cal_error_upper95_median,cal_error_upper95_ci025,cal_error_upper95_ci975,dev_test_auto_rate_median,dev_test_auto_rate_ci025,dev_test_auto_rate_ci975,dev_test_auto_error_rate_median,dev_test_auto_error_rate_ci025,dev_test_auto_error_rate_ci975,dev_test_workflow_balanced_accuracy_median,dev_test_workflow_balanced_accuracy_ci025,dev_test_workflow_balanced_accuracy_ci975,external_auto_rate_median,external_auto_rate_ci025,external_auto_rate_ci975,external_auto_error_rate_median,external_auto_error_rate_ci025,external_auto_error_rate_ci975,external_workflow_balanced_accuracy_median,external_workflow_balanced_accuracy_ci025,external_workflow_balanced_accuracy_ci975,external_workflow_sensitivity_median,external_workflow_sensitivity_ci025,external_workflow_sensitivity_ci975,external_workflow_specificity_median,external_workflow_specificity_ci025,external_workflow_specificity_ci975,external_workflow_fn_median,external_workflow_fn_ci025,external_workflow_fn_ci975,external_workflow_fp_median,external_workflow_fp_ci025,external_workflow_fp_ci975
safe_by_any_risk,0.05,500,0.92,0.0,0.0,0.22297297297297297,0.0,0.0,0.010529115341545353,1.0,0.04437517261818429,1.0,0.0,0.0,0.21694915254237288,0.06299603174603174,0.04834929435483871,0.11230335884353741,1.0,0.9774774774774775,1.0,0.0,0.0,1.0,0.2962962962962963,0.2962962962962963,0.2962962962962963,1.0,0.7010812696198117,1.0,1.0,0.6808510638297872,1.0,1.0,0.7213114754098361,1.0,0.0,0.0,15.0,0.0,0.0,17.0
safe_by_any_risk,0.1,500,0.002,0.2533783783783784,0.11148648648648649,0.7254222972972966,0.03614457831325301,0.0,0.06368538324420676,0.095183420660454,0.07046111727016406,0.09963488019423236,0.2440677966101695,0.1202542372881356,0.7311016949152537,0.056338028169014086,0.0,0.12299689842336521,0.9819819819819819,0.8962843958088523,1.0,1.0,1.0,1.0,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.7010812696198117,0.7010812696198117,0.7010812696198117,0.6808510638297872,0.6808510638297872,0.6808510638297872,0.7213114754098361,0.7213114754098361,0.7213114754098361,15.0,15.0,15.0,17.0,17.0,17.0
safe_by_any_risk,0.15,500,0.0,0.9121621621621622,0.5300675675675676,0.9815033783783783,0.11191335740072202,0.09826679672630377,0.11387900355871886,0.1485784553613595,0.1466172780134858,0.14992917909202208,0.911864406779661,0.5320338983050847,0.976271186440678,0.11278195488721804,0.06463210702341136,0.16610915492957742,0.8862735017626322,0.8333731149627889,0.9594674157853506,1.0,1.0,1.0,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.7010812696198117,0.7010812696198117,0.7010812696198117,0.6808510638297872,0.6808510638297872,0.6808510638297872,0.7213114754098361,0.7213114754098361,0.7213114754098361,15.0,15.0,15.0,17.0,17.0,17.0
safe_by_core_agreement,0.05,500,1.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
safe_by_core_agreement,0.1,500,0.984,0.0,0.0,0.0,0.060998985229450894,0.05566911764705882,0.06282722513089005,1.0,1.0,1.0,0.0,0.0,0.0,0.12759088442756375,0.12523026315789473,0.1369010959152251,1.0,1.0,1.0,0.0,0.0,0.0,0.2542372881355932,0.2542372881355932,0.2542372881355932,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
safe_by_core_agreement,0.15,500,0.244,0.6385135135135135,0.0,0.6824324324324325,0.09090909090909091,0.06446596328949271,0.10471204188481675,0.13795532460327967,0.1036308451564307,1.0,0.6338983050847458,0.0,0.6813559322033899,0.0981999357119897,0.08376963350785341,0.12471283783783783,0.9314287113200157,0.9089061887974932,1.0,0.5462962962962963,0.0,0.5462962962962963,0.2542372881355932,0.2542372881355932,0.2542372881355932,0.8623997209626788,0.8623997209626788,1.0,0.8723404255319149,0.8723404255319149,1.0,0.8524590163934426,0.8524590163934426,1.0,6.0,0.0,6.0,9.0,0.0,9.0
safe_by_direction_risk,0.05,500,0.778,0.0,0.0,0.23648648648648649,0.0,0.0,0.0,1.0,0.04189334406688858,1.0,0.0,0.0,0.24067796610169492,0.022727272727272728,0.018867924528301886,0.08333333333333333,1.0,0.9849784567175872,1.0,0.0,0.0,1.0,0.2962962962962963,0.2962962962962963,0.2962962962962963,1.0,0.7010812696198117,1.0,1.0,0.6808510638297872,1.0,1.0,0.7213114754098361,1.0,0.0,0.0,15.0,0.0,0.0,17.0
safe_by_direction_risk,0.1,500,0.004,0.25675675675675674,0.16554054054054054,0.6959459459459459,0.03508891928864569,0.017857142857142856,0.06336699851900608,0.09407454652521366,0.08193215952933154,0.09989871867269269,0.24745762711864408,0.17627118644067796,0.6952542372881353,0.05194805194805195,0.0,0.12554112554112554,0.9873433215824521,0.9020912896592245,1.0,1.0,1.0,1.0,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.7010812696198117,0.7010812696198117,0.7010812696198117,0.6808510638297872,0.6808510638297872,0.6808510638297872,0.7213114754098361,0.7213114754098361,0.7213114754098361,15.0,15.0,15.0,17.0,17.0,17.0
safe_by_direction_risk,0.15,500,0.0,0.8834459459459459,0.3970439189189191,0.9831081081081081,0.11151079136690648,0.08895690312738369,0.11387900355871886,0.148566986167564,0.14556765519440212,0.14992917909202208,0.8847457627118644,0.39347457627118654,0.9796610169491525,0.11450381679389313,0.058624031007751945,0.16465737870377042,0.8880973364669017,0.8311018899334117,0.9740550332941635,1.0,1.0,1.0,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.7010812696198117,0.7010812696198117,0.7010812696198117,0.6808510638297872,0.6808510638297872,0.6808510638297872,0.7213114754098361,0.7213114754098361,0.7213114754098361,15.0,15.0,15.0,17.0,17.0,17.0
safe_by_fn_risk,0.05,500,0.998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.11475409836065574,0.11475409836065574,0.11475409836065574,1.0,1.0,1.0,0.0,0.0,0.0,0.2962962962962963,0.2962962962962963,0.2962962962962963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
