selector,target_auto_error,n_splits,no_auto_rate,cal_auto_rate_median,cal_auto_rate_ci025,cal_auto_rate_ci975,cal_error_rate_median,cal_error_rate_ci025,cal_error_rate_ci975,cal_error_upper95_median,cal_error_upper95_ci025,cal_error_upper95_ci975,dev_test_auto_rate_median,dev_test_auto_rate_ci025,dev_test_auto_rate_ci975,dev_test_auto_error_rate_median,dev_test_auto_error_rate_ci025,dev_test_auto_error_rate_ci975,dev_test_workflow_balanced_accuracy_median,dev_test_workflow_balanced_accuracy_ci025,dev_test_workflow_balanced_accuracy_ci975,external_auto_rate_median,external_auto_rate_ci025,external_auto_rate_ci975,external_auto_error_rate_median,external_auto_error_rate_ci025,external_auto_error_rate_ci975,external_workflow_balanced_accuracy_median,external_workflow_balanced_accuracy_ci025,external_workflow_balanced_accuracy_ci975,external_workflow_sensitivity_median,external_workflow_sensitivity_ci025,external_workflow_sensitivity_ci975,external_workflow_specificity_median,external_workflow_specificity_ci025,external_workflow_specificity_ci975,external_workflow_fn_median,external_workflow_fn_ci025,external_workflow_fn_ci975,external_workflow_fp_median,external_workflow_fp_ci025,external_workflow_fp_ci975
safe_by_any_risk,0.05,300,0.8866666666666667,0.0,0.0,0.22812499999999994,0.0,0.0,0.0025547445255474036,1.0,0.043727554781889444,1.0,0.0,0.0,0.22889830508474568,0.050423728813559325,0.047488839285714284,0.1056081011617147,1.0,0.9774774774774775,1.0,0.0,0.0,0.2270833333333331,0.13043478260869565,0.12,0.15842307692307686,1.0,0.9705266829438437,1.0,1.0,0.9574468085106383,1.0,1.0,0.9836065573770492,1.0,0.0,0.0,2.0,0.0,0.0,1.0
safe_by_any_risk,0.1,300,0.0033333333333333335,0.26013513513513514,0.11486486486486487,0.7135135135135129,0.03896103896103896,0.0,0.06453201970443351,0.0954679485110946,0.07046111727016406,0.0997188653909802,0.26101694915254237,0.1152542372881356,0.7125423728813554,0.06578947368421052,0.0,0.12058349185344473,0.9761187818253035,0.8974429592636114,1.0,0.25925925925925924,0.1111111111111111,0.7134259259259255,0.1590909090909091,0.06666666666666667,0.24324324324324326,0.9516916637600279,0.8256016742239274,0.9893617021276595,0.9361702127659575,0.7659574468085106,0.9787234042553191,0.9672131147540983,0.8852459016393442,1.0,3.0,1.0,11.0,2.0,0.0,7.0
safe_by_any_risk,0.15,300,0.0,0.9155405405405406,0.45430743243243243,0.9797297297297297,0.11188811188811189,0.09452951443986037,0.11387900355871886,0.148566986167564,0.14592429496750106,0.1499005921842548,0.9152542372881356,0.45584745762711865,0.9796610169491525,0.11588825535245123,0.04684981684981685,0.1695501730103806,0.8835928319623971,0.8261512191539365,0.9743182040736388,0.9166666666666666,0.4537037037037037,0.9814814814814815,0.2912621359223301,0.17197039777983347,0.30303030303030304,0.7174747122427625,0.7092779909312871,0.9222183467038716,0.6808510638297872,0.6808510638297872,0.8936170212765957,0.7540983606557377,0.7377049180327869,0.9508196721311475,15.0,5.0,15.0,15.0,3.0,16.0
safe_by_core_agreement,0.05,300,1.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
safe_by_core_agreement,0.1,300,0.9633333333333334,0.0,0.0,0.6406249999999997,0.06091370558375635,0.05655639697090474,0.062338917525773196,1.0,0.09741666552453719,1.0,0.0,0.0,0.6394067796610166,0.1358695652173913,0.11979776032090925,0.1521670523879655,1.0,0.905700401488445,1.0,0.0,0.0,0.6393518518518514,0.28169014084507044,0.2777777777777778,0.29411764705882354,1.0,0.8214161144053017,1.0,1.0,0.8723404255319149,1.0,1.0,0.7704918032786885,1.0,0.0,0.0,6.0,0.0,0.0,14.0
safe_by_core_agreement,0.15,300,0.23333333333333334,0.6351351351351351,0.0,0.6858108108108109,0.08951296150824822,0.06091370558375635,0.10533588997619676,0.13641134346951447,0.09789500352101245,1.0,0.6338983050847458,0.0,0.6847457627118644,0.10416666666666667,0.08421052631578947,0.14233139956490212,0.9278544849197023,0.8970983891500196,1.0,0.6388888888888888,0.0,0.6851851851851852,0.2857142857142857,0.273972602739726,0.29411764705882354,0.8214161144053017,0.8132193930938263,1.0,0.8723404255319149,0.8723404255319149,1.0,0.7704918032786885,0.7540983606557377,1.0,6.0,0.0,6.0,14.0,0.0,15.0
safe_by_direction_risk,0.05,300,0.7933333333333333,0.0,0.0,0.23488175675675668,0.0,0.0,0.0,1.0,0.04248741054859369,1.0,0.0,0.0,0.23567796610169484,0.047619047619047616,0.01639344262295082,0.10105479452054797,1.0,0.9810517038777908,1.0,0.0,0.0,0.23634259259259238,0.11324786324786325,0.09090909090909091,0.13043478260869565,1.0,0.9729682595047087,1.0,1.0,0.9787234042553191,1.0,1.0,0.9672131147540983,1.0,0.0,0.0,1.0,0.0,0.0,2.0
safe_by_direction_risk,0.1,300,0.0,0.23817567567567566,0.16891891891891891,0.7837837837837838,0.03225806451612903,0.017241379310344827,0.06437768240343347,0.09428708312019583,0.07919781050002477,0.099855264940471,0.23898305084745763,0.1694915254237288,0.7830508474576271,0.04411764705882353,0.0,0.12931034482758622,0.9882735996866432,0.8867521053662358,1.0,0.24074074074074073,0.16666666666666666,0.7870370370370371,0.125,0.09090909090909091,0.24860294117647053,0.9729682595047087,0.7985699337286362,0.9811649808161842,0.9787234042553191,0.7446808510638298,0.9787234042553191,0.9672131147540983,0.8524590163934426,0.9836065573770492,1.0,1.0,12.0,2.0,1.0,9.0
safe_by_direction_risk,0.15,300,0.0,0.9054054054054054,0.3157939189189189,0.9797297297297297,0.11151079136690648,0.0851063829787234,0.11418685121107267,0.148566986167564,0.1460156114504145,0.14994472247953997,0.9050847457627119,0.31686440677966105,0.9796610169491525,0.11654135338345864,0.03207789979409746,0.1695501730103806,0.8840579710144927,0.8275662211124168,0.9883629553466509,0.9074074074074074,0.3148148148148148,0.9814814814814815,0.2885606661379857,0.14705882352941177,0.3,0.7281130101151029,0.7092779909312871,0.9516916637600279,0.7021276595744681,0.6808510638297872,0.9361702127659575,0.7540983606557377,0.7377049180327869,0.9672131147540983,14.0,3.0,15.0,15.0,2.0,16.0
safe_by_fn_risk,0.05,300,1.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
safe_by_fn_risk,0.1,300,0.18333333333333332,0.10810810810810811,0.0,0.22635135135135134,0.0,0.0,0.03225806451612903,0.09503385285530411,0.07984650951989439,1.0,0.10847457627118644,0.0,0.2271186440677966,0.03125,0.0,0.12951251646903825,0.9972826086956521,0.9782608695652174,1.0,0.1111111111111111,0.0,0.2222222222222222,0.09090909090909091,0.07692307692307693,0.13043478260869565,0.9893617021276595,0.9729682595047087,1.0,0.9787234042553191,0.9787234042553191,1.0,1.0,0.9672131147540983,1.0,1.0,0.0,1.0,0.0,0.0,2.0
safe_by_fn_risk,0.15,300,0.0,0.22972972972972974,0.09121621621621621,0.2956925675675675,0.0684931506849315,0.0,0.08235294117647059,0.14409039131834475,0.11951155862076862,0.1498695946512556,0.2305084745762712,0.09152542372881356,0.29669491525423725,0.07874503968253968,0.0,0.17927807486631003,0.9864130434782609,0.9578125,1.0,0.23148148148148148,0.09259259259259259,0.2962962962962963,0.125,0.06447916666666667,0.15384615384615385,0.9729682595047087,0.9623299616323684,0.9893617021276595,0.9787234042553191,0.9574468085106383,0.9787234042553191,0.9672131147540983,0.9672131147540983,1.0,1.0,1.0,2.0,2.0,0.0,2.0
