policy,split,n,control_n,control_rate,auto_n,auto_rate,auto_wrong_n,auto_fn_n,auto_fp_n,captured_wrong_n,remaining_error_n,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,route_auto_pass_n,route_auto_pass_rate,route_model_review_n,route_model_review_rate,route_quality_control_n,route_quality_control_rate,safe_auto_n,safe_auto_rate,safe_auto_inside_v50_review_n
v50_main_high_safety,development,591,428,0.7241962774957699,163,0.27580372250423013,7,4,3,84,7,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,163,0.27580372250423013,428,0.7241962774957699,0,0.0,,,
v50_plus_quality82_exploratory,development,591,428,0.7241962774957699,163,0.27580372250423013,7,4,3,84,7,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,163,0.27580372250423013,428,0.7241962774957699,0,0.0,,,
v50_plus_quality88_exploratory,development,591,428,0.7241962774957699,163,0.27580372250423013,7,4,3,84,7,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,163,0.27580372250423013,428,0.7241962774957699,0,0.0,,,
v65_t05_direction_devmax_safe_auto_only,development,591,479,0.8104906937394247,112,0.1895093062605753,1,1,0,90,1,0.9983079526226735,0.9977578475336323,0.9955156950672646,1.0,1.0,0.9977528089887641,368,0,1,222,112,0.1895093062605753,479,0.8104906937394247,0,0.0,112.0,0.1895093062605753,0.0
v50_override_by_v65_t05_direction_devmax,development,591,423,0.7157360406091371,168,0.28426395939086296,8,5,3,83,8,0.9864636209813875,0.9847131507116398,0.9775784753363229,0.9918478260869565,0.9864253393665159,0.9819819819819819,365,3,5,218,168,0.28426395939086296,423,0.7157360406091371,0,0.0,112.0,0.1895093062605753,0.0
v50_guarded_by_v65_t05_direction_devmax,development,591,484,0.8189509306260575,107,0.18104906937394247,0,0,0,91,0,1.0,1.0,1.0,1.0,1.0,1.0,368,0,0,223,107,0.18104906937394247,484,0.8189509306260575,0,0.0,112.0,0.1895093062605753,5.0
v65_t05_any_zeroerr_safe_auto_only,development,591,513,0.868020304568528,78,0.1319796954314721,0,0,0,91,0,1.0,1.0,1.0,1.0,1.0,1.0,368,0,0,223,78,0.1319796954314721,513,0.868020304568528,0,0.0,78.0,0.1319796954314721,0.0
v50_override_by_v65_t05_any_zeroerr,development,591,425,0.7191201353637902,166,0.2808798646362098,7,4,3,84,7,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,166,0.2808798646362098,425,0.7191201353637902,0,0.0,78.0,0.1319796954314721,0.0
v50_guarded_by_v65_t05_any_zeroerr,development,591,516,0.8730964467005076,75,0.12690355329949238,0,0,0,91,0,1.0,1.0,1.0,1.0,1.0,1.0,368,0,0,223,75,0.12690355329949238,516,0.8730964467005076,0,0.0,78.0,0.1319796954314721,3.0
v65_t10_splitstable_safe_auto_only,development,591,496,0.8392554991539763,95,0.16074450084602368,4,0,4,87,4,0.9932318104906938,0.9945652173913043,1.0,0.9891304347826086,0.9823788546255506,0.9911111111111112,364,4,0,223,95,0.16074450084602368,496,0.8392554991539763,0,0.0,95.0,0.16074450084602368,0.0
v50_override_by_v65_t10_splitstable,development,591,413,0.6988155668358714,178,0.3011844331641286,9,4,5,82,9,0.9847715736040609,0.9842379118736595,0.9820627802690582,0.9864130434782609,0.9776785714285714,0.9798657718120806,363,5,4,219,178,0.3011844331641286,413,0.6988155668358714,0,0.0,95.0,0.16074450084602368,0.0
