domain,policy,note,n,control_n,control_rate,auto_n,auto_rate,auto_wrong_n,auto_fn_n,auto_fp_n,captured_wrong_n,captured_fn_n,captured_fp_n,remaining_error_n,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,extra_control_n,extra_control_rate,extra_captured_wrong_n,extra_captured_fn_n,extra_captured_fp_n
old_data,P2_pure_auto,pure automatic reference,285,0,0.0,285,1.0,33,11,22,0,0,0,33,0.8842105263157894,0.8846040189125295,0.9219858156028369,0.8472222222222222,0.8552631578947368,0.8873720136518771,122,22,11,130,,,,,
old_data,v50_main,main deployable risk-control workflow,285,207,0.7263157894736842,78,0.2736842105263158,1,0,1,32,11,21,1,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,,,,,
old_data,v65_safe_auto_only,rank-calibrated safe auto-pass; all others controlled,285,247,0.8666666666666667,38,0.13333333333333333,0,0,0,33,11,22,0,1.0,1.0,1.0,1.0,1.0,1.0,144,0,0,141,247.0,0.8666666666666667,33.0,11.0,22.0
old_data,v71_image_mahalanobis20,pseudo-domain selected image OOD high-safety candidate,285,227,0.7964912280701755,58,0.20350877192982456,1,0,1,32,11,21,1,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,20.0,0.07017543859649122,0.0,0.0,0.0
third_batch,P2_pure_auto,pure automatic reference,306,0,0.0,306,1.0,58,25,33,0,0,0,58,0.8104575163398693,0.7739002613240418,0.6951219512195121,0.8526785714285714,0.6333333333333333,0.6627906976744186,191,33,25,57,,,,,
third_batch,v50_main,main deployable risk-control workflow,306,222,0.7254901960784313,84,0.27450980392156865,9,7,2,49,18,31,9,0.9705882352941176,0.9528527874564461,0.9146341463414634,0.9910714285714286,0.974025974025974,0.9433962264150942,222,2,7,75,,,,,
third_batch,v65_safe_auto_only,rank-calibrated safe auto-pass; all others controlled,306,266,0.869281045751634,40,0.13071895424836602,3,3,0,55,22,33,3,0.9901960784313726,0.9817073170731707,0.9634146341463414,1.0,1.0,0.9813664596273292,224,0,3,79,266.0,0.869281045751634,55.0,22.0,33.0
third_batch,v71_image_mahalanobis20,pseudo-domain selected image OOD high-safety candidate,306,239,0.7810457516339869,67,0.21895424836601307,7,5,2,51,20,31,7,0.9771241830065359,0.9650479094076655,0.9390243902439024,0.9910714285714286,0.9746835443037974,0.9565217391304348,222,2,5,77,17.0,0.05555555555555555,2.0,2.0,0.0
strict_external,P2_pure_auto,pure automatic reference,108,0,0.0,108,1.0,32,15,17,0,0,0,32,0.7037037037037037,0.7010812696198117,0.6808510638297872,0.7213114754098361,0.6530612244897959,0.6666666666666666,44,17,15,32,,,,,
strict_external,v50_main,main deployable risk-control workflow,108,79,0.7314814814814815,29,0.26851851851851855,3,1,2,29,14,15,3,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,,,,,
strict_external,v65_safe_auto_only,rank-calibrated safe auto-pass; all others controlled,108,94,0.8703703703703703,14,0.12962962962962962,1,1,0,31,14,17,1,0.9907407407407407,0.9893617021276595,0.9787234042553191,1.0,1.0,0.989247311827957,61,0,1,46,94.0,0.8703703703703703,31.0,14.0,17.0
strict_external,v71_image_mahalanobis20,pseudo-domain selected image OOD high-safety candidate,108,101,0.9351851851851852,7,0.06481481481481481,1,0,1,31,15,16,1,0.9907407407407407,0.9918032786885246,1.0,0.9836065573770492,0.9791666666666666,0.9894736842105264,60,1,0,47,22.0,0.2037037037037037,2.0,1.0,1.0
strict_external,v50_quality82_exploratory,external quality-control exploratory overlay,108,91,0.8425925925925926,17,0.1574074074074074,1,0,1,31,15,16,1,0.9907407407407407,0.9918032786885246,1.0,0.9836065573770492,0.9791666666666666,0.9894736842105264,60,1,0,47,12.0,0.1111111111111111,2.0,1.0,1.0
strict_external,v50_quality88_exploratory,external quality-control exploratory overlay,108,96,0.8888888888888888,12,0.1111111111111111,0,0,0,32,15,17,0,1.0,1.0,1.0,1.0,1.0,1.0,61,0,0,47,17.0,0.1574074074074074,3.0,1.0,2.0
strict_external,v69_quality82_plus_iso075_exploratory,external-exposed quality + OOD complementarity upper candidate,108,93,0.8611111111111112,15,0.1388888888888889,0,0,0,32,15,17,0,1.0,1.0,1.0,1.0,1.0,1.0,61,0,0,47,14.0,0.12962962962962962,3.0,1.0,2.0
