scope,policy,n,control_n,control_rate,auto_n,accuracy,balanced_accuracy,sensitivity,specificity,tn,fp,fn,tp,remaining_error_n
old_data,v50_main,285,207,0.7263157894736842,78,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,143,1,0,141,1
old_data,v75_quality_lowconf,285,213,0.7473684210526316,72,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,143,1,0,141,1
old_data,v79_light_lowrisk_guard,285,220,0.7719298245614035,65,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,143,1,0,141,1
old_data,v79_strict_lowrisk_guard,285,234,0.8210526315789474,51,1.0,1.0,1.0,1.0,144,0,0,141,0
third_batch,v50_main,306,222,0.7254901960784313,84,0.9705882352941176,0.9528527874564461,0.9146341463414634,0.9910714285714286,222,2,7,75,9
third_batch,v75_quality_lowconf,306,235,0.7679738562091504,71,0.9771241830065359,0.9650479094076655,0.9390243902439024,0.9910714285714286,222,2,5,77,7
third_batch,v79_light_lowrisk_guard,306,243,0.7941176470588235,63,0.9836601307189542,0.9695121951219512,0.9390243902439024,1.0,224,0,5,77,5
third_batch,v79_strict_lowrisk_guard,306,249,0.8137254901960784,57,0.9836601307189542,0.9695121951219512,0.9390243902439024,1.0,224,0,5,77,5
strict_external,v50_main,108,79,0.7314814814814815,29,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,59,2,1,46,3
strict_external,v75_quality_lowconf,108,86,0.7962962962962963,22,0.9814814814814815,0.9836065573770492,1.0,0.9672131147540983,59,2,0,47,2
strict_external,v79_light_lowrisk_guard,108,89,0.8240740740740741,19,0.9907407407407407,0.9918032786885246,1.0,0.9836065573770492,60,1,0,47,1
strict_external,v79_strict_lowrisk_guard,108,94,0.8703703703703703,14,1.0,1.0,1.0,1.0,61,0,0,47,0
old_data,adaptive_v75_on_shift,285,207,0.7263157894736842,78,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,143,1,0,141,1
third_batch,adaptive_v75_on_shift,306,222,0.7254901960784313,84,0.9705882352941176,0.9528527874564461,0.9146341463414634,0.9910714285714286,222,2,7,75,9
strict_external,adaptive_v75_on_shift,108,86,0.7962962962962963,22,0.9814814814814815,0.9836065573770492,1.0,0.9672131147540983,59,2,0,47,2
old_data,adaptive_light_on_shift,285,207,0.7263157894736842,78,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,143,1,0,141,1
third_batch,adaptive_light_on_shift,306,222,0.7254901960784313,84,0.9705882352941176,0.9528527874564461,0.9146341463414634,0.9910714285714286,222,2,7,75,9
strict_external,adaptive_light_on_shift,108,89,0.8240740740740741,19,0.9907407407407407,0.9918032786885246,1.0,0.9836065573770492,60,1,0,47,1
old_data,adaptive_strict_on_shift,285,207,0.7263157894736842,78,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,143,1,0,141,1
third_batch,adaptive_strict_on_shift,306,222,0.7254901960784313,84,0.9705882352941176,0.9528527874564461,0.9146341463414634,0.9910714285714286,222,2,7,75,9
strict_external,adaptive_strict_on_shift,108,94,0.8703703703703703,14,1.0,1.0,1.0,1.0,61,0,0,47,0
all_domains,v50_main,699,508,0.7267525035765379,191,0.9814020028612304,0.9793576793576793,0.9703703703703703,0.9883449883449883,424,5,8,262,13
all_domains,v75_quality_lowconf,699,534,0.7639484978540773,165,0.9856938483547926,0.9849132349132349,0.9814814814814815,0.9883449883449883,424,5,5,265,10
all_domains,v79_light_lowrisk_guard,699,552,0.7896995708154506,147,0.9899856938483548,0.9884097384097384,0.9814814814814815,0.9953379953379954,427,2,5,265,7
all_domains,v79_strict_lowrisk_guard,699,577,0.8254649499284692,122,0.9928469241773963,0.9907407407407407,0.9814814814814815,1.0,429,0,5,265,5
all_domains,adaptive_v75_on_shift,699,515,0.7367668097281831,184,0.9828326180257511,0.9812095312095312,0.9740740740740741,0.9883449883449883,424,5,7,263,12
all_domains,adaptive_light_on_shift,699,518,0.7410586552217453,181,0.9842632331902719,0.9823750323750324,0.9740740740740741,0.9906759906759907,425,4,7,263,11
all_domains,adaptive_strict_on_shift,699,523,0.748211731044349,176,0.9856938483547926,0.9835405335405336,0.9740740740740741,0.993006993006993,426,3,7,263,10
