before_accuracy,after_accuracy,delta_accuracy,before_balanced_accuracy,after_balanced_accuracy,delta_balanced_accuracy,before_sensitivity,after_sensitivity,delta_sensitivity,before_specificity,after_specificity,delta_specificity,before_control_rate,after_control_rate,delta_control_rate,before_fn,after_fn,delta_fn,before_fp,after_fp,delta_fp,before_error_n,after_error_n,delta_error_n,after_correct_before_wrong,after_wrong_before_correct,mcnemar_p,domain,pair_id,comparison,before_policy,after_policy,n,delta_accuracy_ci025,delta_accuracy_ci975,delta_accuracy_p_gt0,delta_balanced_accuracy_ci025,delta_balanced_accuracy_ci975,delta_balanced_accuracy_p_gt0,delta_sensitivity_ci025,delta_sensitivity_ci975,delta_sensitivity_p_gt0,delta_specificity_ci025,delta_specificity_ci975,delta_specificity_p_gt0,delta_control_rate_ci025,delta_control_rate_ci975,delta_control_rate_p_gt0,delta_fn_ci025,delta_fn_ci975,delta_fp_ci025,delta_fp_ci975,delta_error_n_ci025,delta_error_n_ci975
0.9964912280701754,0.9964912280701754,0.0,0.9965277777777778,0.9965277777777778,0.0,1.0,1.0,0.0,0.9930555555555556,0.9930555555555556,0.0,0.7263157894736842,0.7473684210526316,0.021052631578947323,0,0,0,1,1,0,1,1,0,0,0,1.0,old_data,v75_vs_v50,High-risk miss protection vs v50,v50_main,v75_quality_lowconf,285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007017543859649145,0.038596491228070184,0.9982,0.0,0.0,0.0,0.0,0.0,0.0
0.9964912280701754,0.9964912280701754,0.0,0.9965277777777778,0.9965277777777778,0.0,1.0,1.0,0.0,0.9930555555555556,0.9930555555555556,0.0,0.7473684210526316,0.7719298245614035,0.024561403508771895,0,0,0,1,1,0,1,1,0,0,0,1.0,old_data,v79_light_vs_v75,Light low-risk guard vs v75,v75_quality_lowconf,v79_light_lowrisk_guard,285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007017543859649145,0.04210526315789476,0.9991,0.0,0.0,0.0,0.0,0.0,0.0
0.9964912280701754,1.0,0.0035087719298245723,0.9965277777777778,1.0,0.00347222222222221,1.0,1.0,0.0,0.9930555555555556,1.0,0.00694444444444442,0.7719298245614035,0.8210526315789474,0.0491228070175439,0,0,0,1,0,-1,1,0,-1,1,0,1.0,old_data,v79_strict_vs_light,Strict guard vs light guard,v79_light_lowrisk_guard,v79_strict_lowrisk_guard,285,0.0,0.010526315789473717,0.6413,0.0,0.01041666666666674,0.6413,0.0,0.0,0.0,0.0,0.02083333333333337,0.6413,0.024561403508772006,0.07719298245614026,1.0,0.0,0.0,-3.0,0.0,-3.0,0.0
0.9964912280701754,0.9964912280701754,0.0,0.9965277777777778,0.9965277777777778,0.0,1.0,1.0,0.0,0.9930555555555556,0.9930555555555556,0.0,0.7263157894736842,0.7719298245614035,0.04561403508771922,0,0,0,1,1,0,1,1,0,0,0,1.0,old_data,v79_light_vs_v50,Light full workflow vs v50,v50_main,v79_light_lowrisk_guard,285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024561403508771895,0.07017543859649122,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9964912280701754,1.0,0.0035087719298245723,0.9965277777777778,1.0,0.00347222222222221,1.0,1.0,0.0,0.9930555555555556,1.0,0.00694444444444442,0.7263157894736842,0.8210526315789474,0.09473684210526312,0,0,0,1,0,-1,1,0,-1,1,0,1.0,old_data,v79_strict_vs_v50,Strict full workflow vs v50,v50_main,v79_strict_lowrisk_guard,285,0.0,0.010526315789473717,0.6363,0.0,0.01041666666666674,0.6363,0.0,0.0,0.0,0.0,0.02083333333333337,0.6363,0.06315789473684208,0.12982456140350873,1.0,0.0,0.0,-3.0,0.0,-3.0,0.0
0.9705882352941176,0.9771241830065359,0.006535947712418277,0.9528527874564461,0.9650479094076655,0.012195121951219412,0.9146341463414634,0.9390243902439024,0.024390243902438935,0.9910714285714286,0.9910714285714286,0.0,0.7254901960784313,0.7679738562091504,0.042483660130719025,7,5,-2,2,2,0,9,7,-2,2,0,0.5,third_batch,v75_vs_v50,High-risk miss protection vs v50,v50_main,v75_quality_lowconf,306,0.0,0.016339869281045805,0.868,0.0,0.030487804878048808,0.868,0.0,0.060975609756097504,0.868,0.0,0.0,0.0,0.02287581699346397,0.065359477124183,1.0,-5.0,0.0,0.0,0.0,-5.0,0.0
0.9771241830065359,0.9836601307189542,0.006535947712418277,0.9650479094076655,0.9695121951219512,0.004464285714285698,0.9390243902439024,0.9390243902439024,0.0,0.9910714285714286,1.0,0.008928571428571397,0.7679738562091504,0.7941176470588235,0.02614379084967311,5,5,0,2,0,-2,7,5,-2,2,0,0.5,third_batch,v79_light_vs_v75,Light low-risk guard vs v75,v75_quality_lowconf,v79_light_lowrisk_guard,306,0.0,0.016339869281045805,0.8612,0.0,0.011160714285714302,0.8612,0.0,0.0,0.0,0.0,0.022321428571428603,0.8612,0.009803921568627416,0.04575163398692805,0.9999,0.0,0.0,-5.0,0.0,-5.0,0.0
0.9836601307189542,0.9836601307189542,0.0,0.9695121951219512,0.9695121951219512,0.0,0.9390243902439024,0.9390243902439024,0.0,1.0,1.0,0.0,0.7941176470588235,0.8137254901960784,0.019607843137254943,5,5,0,0,0,0,5,5,0,0,0,1.0,third_batch,v79_strict_vs_light,Strict guard vs light guard,v79_light_lowrisk_guard,v79_strict_lowrisk_guard,306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006535947712418277,0.03594771241830064,0.9971,0.0,0.0,0.0,0.0,0.0,0.0
0.9705882352941176,0.9836601307189542,0.013071895424836555,0.9528527874564461,0.9695121951219512,0.01665940766550511,0.9146341463414634,0.9390243902439024,0.024390243902438935,0.9910714285714286,1.0,0.008928571428571397,0.7254901960784313,0.7941176470588235,0.06862745098039214,7,5,-2,2,0,-2,9,5,-4,4,0,0.125,third_batch,v79_light_vs_v50,Light full workflow vs v50,v50_main,v79_light_lowrisk_guard,306,0.0032679738562091387,0.02614379084967322,0.981,0.0022321428571427937,0.0371842334494773,0.981,0.0,0.060975609756097615,0.8679,0.0,0.022321428571428603,0.8675,0.042483660130718914,0.0980392156862745,1.0,-5.0,0.0,-5.0,0.0,-8.0,-1.0
0.9705882352941176,0.9836601307189542,0.013071895424836555,0.9528527874564461,0.9695121951219512,0.01665940766550511,0.9146341463414634,0.9390243902439024,0.024390243902438935,0.9910714285714286,1.0,0.008928571428571397,0.7254901960784313,0.8137254901960784,0.08823529411764708,7,5,-2,2,0,-2,9,5,-4,4,0,0.125,third_batch,v79_strict_vs_v50,Strict full workflow vs v50,v50_main,v79_strict_lowrisk_guard,306,0.0032679738562091387,0.02614379084967322,0.9824,0.0022321428571427937,0.0371842334494773,0.9824,0.0,0.060975609756097615,0.8691,0.0,0.022321428571428603,0.8657,0.05882352941176472,0.12091503267973858,1.0,-5.0,0.0,-5.0,0.0,-8.0,-1.0
