domain,policy,policy_label,n,control_n,control_rate,auto_n,auto_rate,pure_auto_wrong_n,pure_auto_fn_n,pure_auto_fp_n,pure_auto_error_rate,captured_wrong_n,captured_fn_n,captured_fp_n,remaining_error_n,remaining_fn_n,remaining_fp_n,error_capture_rate,fn_capture_rate,fp_capture_rate,review_yield,review_yield_enrichment,controls_per_captured_error,final_accuracy,final_balanced_accuracy,final_sensitivity,final_specificity,auto_subset_accuracy,auto_subset_balanced_accuracy,auto_subset_positive_n,auto_subset_negative_n,auto_subset_sensitivity,auto_subset_specificity
old_data,P2_pure_auto,Pure auto,285,0,0.0,285,1.0,33,11,22,0.11578947368421053,0,0,0,33,11,22,0.0,0.0,0.0,,,,0.8842105263157894,0.8846040189125295,0.9219858156028369,0.8472222222222222,0.8842105263157894,0.8846040189125295,141,144,0.9219858156028369,0.8472222222222222
old_data,v50_main,v50,285,207,0.7263157894736842,78,0.2736842105263158,33,11,22,0.11578947368421053,32,11,21,1,0,1,0.9696969696969697,1.0,0.9545454545454546,0.15458937198067632,1.3350900307422047,6.46875,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9871794871794872,0.9666666666666667,63,15,1.0,0.9333333333333333
old_data,v75_quality_lowconf,v75,285,213,0.7473684210526316,72,0.25263157894736843,33,11,22,0.11578947368421053,32,11,21,1,0,1,0.9696969696969697,1.0,0.9545454545454546,0.15023474178403756,1.2974818608621426,6.65625,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9861111111111112,0.9545454545454546,61,11,1.0,0.9090909090909091
old_data,v79_light_lowrisk_guard,v79-light,285,220,0.7719298245614035,65,0.22807017543859648,33,11,22,0.11578947368421053,32,11,21,1,0,1,0.9696969696969697,1.0,0.9545454545454546,0.14545454545454545,1.256198347107438,6.875,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9846153846153847,0.9545454545454546,54,11,1.0,0.9090909090909091
old_data,v79_strict_lowrisk_guard,v79-strict,285,234,0.8210526315789474,51,0.17894736842105263,33,11,22,0.11578947368421053,33,11,22,0,0,0,1.0,1.0,1.0,0.14102564102564102,1.2179487179487178,7.090909090909091,1.0,1.0,1.0,1.0,1.0,1.0,41,10,1.0,1.0
third_batch,P2_pure_auto,Pure auto,306,0,0.0,306,1.0,58,25,33,0.1895424836601307,0,0,0,58,25,33,0.0,0.0,0.0,,,,0.8104575163398693,0.7739002613240418,0.6951219512195121,0.8526785714285714,0.8104575163398693,0.7739002613240418,82,224,0.6951219512195121,0.8526785714285714
third_batch,v50_main,v50,306,222,0.7254901960784313,84,0.27450980392156865,58,25,33,0.1895424836601307,49,18,31,9,7,2,0.8448275862068966,0.72,0.9393939393939394,0.22072072072072071,1.1644920782851818,4.530612244897959,0.9705882352941176,0.9528527874564461,0.9146341463414634,0.9910714285714286,0.8928571428571429,0.8004048582995951,19,65,0.631578947368421,0.9692307692307692
third_batch,v75_quality_lowconf,v75,306,235,0.7679738562091504,71,0.23202614379084968,58,25,33,0.1895424836601307,51,20,31,7,5,2,0.8793103448275862,0.8,0.9393939393939394,0.2170212765957447,1.1449743213499635,4.607843137254902,0.9771241830065359,0.9650479094076655,0.9390243902439024,0.9910714285714286,0.9014084507042254,0.8344226579520697,17,54,0.7058823529411765,0.9629629629629629
third_batch,v79_light_lowrisk_guard,v79-light,306,243,0.7941176470588235,63,0.20588235294117646,58,25,33,0.1895424836601307,53,20,33,5,5,0,0.9137931034482759,0.8,1.0,0.21810699588477367,1.1507024265644956,4.584905660377358,0.9836601307189542,0.9695121951219512,0.9390243902439024,1.0,0.9206349206349206,0.7727272727272727,11,52,0.5454545454545454,1.0
third_batch,v79_strict_lowrisk_guard,v79-strict,306,249,0.8137254901960784,57,0.18627450980392157,58,25,33,0.1895424836601307,53,20,33,5,5,0,0.9137931034482759,0.8,1.0,0.21285140562248997,1.1229746572496886,4.69811320754717,0.9836601307189542,0.9695121951219512,0.9390243902439024,1.0,0.9122807017543859,0.5,5,52,0.0,1.0
