group,n,n_low,n_high,auc,accuracy,balanced_accuracy,f1,sensitivity,specificity,tn,fp,fn,tp
overall,285,144,141,0.8151103230890465,0.7614035087719299,0.7613770685579195,0.7588652482269503,0.7588652482269503,0.7638888888888888,110,34,34,107
difficulty=easy,151,77,74,0.9947349947349947,0.9801324503311258,0.9802562302562303,0.9798657718120806,0.9864864864864865,0.974025974025974,75,2,1,73
difficulty=hard,99,50,49,0.30326530612244895,0.3939393939393939,0.39387755102040817,0.3877551020408163,0.3877551020408163,0.4,20,30,30,19
difficulty=medium,35,17,18,0.9509803921568627,0.8571428571428571,0.857843137254902,0.8571428571428571,0.8333333333333334,0.8823529411764706,15,2,3,15
difficulty_fine=easy,151,77,74,0.9947349947349947,0.9801324503311258,0.9802562302562303,0.9798657718120806,0.9864864864864865,0.974025974025974,75,2,1,73
difficulty_fine=hard_core,65,31,34,0.16223908918406071,0.26153846153846155,0.25853889943074004,0.3142857142857143,0.3235294117647059,0.1935483870967742,6,25,23,11
difficulty_fine=hard_salvage_teacher,34,19,15,0.5964912280701755,0.6470588235294118,0.6350877192982456,0.5714285714285714,0.5333333333333333,0.7368421052631579,14,5,7,8
difficulty_fine=medium,35,17,18,0.9509803921568627,0.8571428571428571,0.857843137254902,0.8571428571428571,0.8333333333333334,0.8823529411764706,15,2,3,15
non_hard_core,220,113,107,0.9531883218923166,0.9090909090909091,0.908775121991564,0.9056603773584906,0.897196261682243,0.9203539823008849,104,9,11,96
easy_plus_medium,186,94,92,0.9901711378353376,0.956989247311828,0.9569842738205365,0.9565217391304348,0.9565217391304348,0.9574468085106383,90,4,4,88
