policy,scope,n,accuracy,balanced_accuracy,f1,auc,fn,fp,auto_decision_n,auto_decision_rate,review_or_reject_n,review_or_reject_rate,auto_error_n,auto_error_rate,auto_error_wilson95_high,auto_high_risk_fn_n,auto_low_risk_fp_n,granularity,group_cols,released_n,released_error_n,released_high_risk_fn_n
candidate_granularity_domain,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,221,0.775438596491228,64,0.22456140350877193,0,0.0,0.017085189007591345,0,0,domain,domain,11,0,0
candidate_granularity_domain,third_batch,306,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0,203,0.6633986928104575,103,0.3366013071895425,1,0.0049261083743842365,0.02737112877451363,1,0,domain,domain,18,0,0
candidate_granularity_domain,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,60,0.5555555555555556,48,0.4444444444444444,0,0.0,0.06017185214208986,0,0,domain,domain,8,0,0
candidate_granularity_domain,all_domains,699,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0,484,0.6924177396280401,215,0.30758226037195996,1,0.002066115702479339,0.011609279330905695,1,0,domain,domain,37,0,0
candidate_granularity_domain_fold,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,219,0.7684210526315789,66,0.23157894736842105,0,0.0,0.017238528418471243,0,0,domain_fold,"domain,fold_id",9,0,0
candidate_granularity_domain_fold,third_batch,306,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0,200,0.6535947712418301,106,0.3464052287581699,1,0.005,0.02777370439789293,1,0,domain_fold,"domain,fold_id",15,0,0
candidate_granularity_domain_fold,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,60,0.5555555555555556,48,0.4444444444444444,0,0.0,0.06017185214208986,0,0,domain_fold,"domain,fold_id",8,0,0
candidate_granularity_domain_fold,all_domains,699,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0,479,0.6852646638054364,220,0.3147353361945637,1,0.0020876826722338203,0.011729466386914862,1,0,domain_fold,"domain,fold_id",32,0,0
candidate_granularity_domain_label,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,219,0.7684210526315789,66,0.23157894736842105,0,0.0,0.017238528418471243,0,0,domain_label,"domain,task_l6_label",9,0,0
candidate_granularity_domain_label,third_batch,306,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0,200,0.6535947712418301,106,0.3464052287581699,1,0.005,0.02777370439789293,1,0,domain_label,"domain,task_l6_label",15,0,0
candidate_granularity_domain_label,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,58,0.5370370370370371,50,0.46296296296296297,0,0.0,0.062117855787202914,0,0,domain_label,"domain,task_l6_label",6,0,0
candidate_granularity_domain_label,all_domains,699,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0,477,0.6824034334763949,222,0.31759656652360513,1,0.0020964360587002098,0.011778240889162739,1,0,domain_label,"domain,task_l6_label",30,0,0
candidate_granularity_domain_fold_label,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,210,0.7368421052631579,75,0.2631578947368421,0,0.0,0.017964050759283236,0,0,domain_fold_label,"domain,fold_id,task_l6_label",0,0,0
candidate_granularity_domain_fold_label,third_batch,306,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0,196,0.6405228758169934,110,0.35947712418300654,1,0.00510204081632653,0.028329261315080803,1,0,domain_fold_label,"domain,fold_id,task_l6_label",11,0,0
candidate_granularity_domain_fold_label,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,58,0.5370370370370371,50,0.46296296296296297,0,0.0,0.062117855787202914,0,0,domain_fold_label,"domain,fold_id,task_l6_label",6,0,0
candidate_granularity_domain_fold_label,all_domains,699,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0,464,0.6638054363376252,235,0.3361945636623748,1,0.0021551724137931034,0.012105437197861581,1,0,domain_fold_label,"domain,fold_id,task_l6_label",17,0,0
