domain,low_fraction,high_fraction,band_n,band_error_n,band_high_risk_fn_n,score_min,score_max,base_uncertainty_mean,safe_distance_case_mean
old_data,0.1,0.15,4,0,0,0.0,0.0,0.3124635105074721,0.8008923718837244
old_data,0.15,0.2,4,0,0,0.0,0.0,0.3704151584318461,0.5651660860687231
old_data,0.2,0.25,3,0,0,0.0,0.0833333333333333,0.3104428633208672,0.5977091186680213
old_data,0.25,0.3,4,0,0,0.0833333333333333,0.1666666666666666,0.43105097584288965,0.7246762768717456
third_batch,0.1,0.15,6,0,0,0.0,0.0,0.4006668754135532,0.7700589314661395
third_batch,0.15,0.2,6,0,0,0.0,0.0,0.28252424475003907,0.6268461743730106
third_batch,0.2,0.25,6,0,0,0.0,0.0,0.34904527072946845,0.5622748230397844
third_batch,0.25,0.3,6,2,2,0.0,0.0,0.31319140790804556,0.6944286054958201
strict_external,0.1,0.15,3,0,0,0.0,0.0,0.21915986648933863,0.8300845881340102
strict_external,0.15,0.2,3,0,0,0.0,0.0,0.3377532200442821,0.6031494631328215
strict_external,0.2,0.25,3,0,0,0.0833333333333333,0.0833333333333333,0.335313993608918,0.6489133526777188
strict_external,0.25,0.3,2,0,0,0.0833333333333333,0.0833333333333333,0.41750592831606503,0.78322455514992
