audit_domain,dino_tiebreak_policy,secondary_col,secondary_ascending,n_folds,released_n_sum,released_error_n_sum,released_error_n_max,released_high_risk_fn_n_sum,released_high_risk_fn_n_max,review_or_reject_n_sum,auto_error_n_sum,auto_high_risk_fn_n_sum
old_data,dino_fn_risk_max_asc,dino_fn_risk_max,True,5,9,0,0,0,0,66,0,0
old_data,dino_fn_risk_max_desc,dino_fn_risk_max,False,5,9,0,0,0,0,66,0,0
old_data,dino_fn_risk_mean_asc,dino_fn_risk_mean,True,5,9,0,0,0,0,66,0,0
old_data,dino_fn_risk_mean_desc,dino_fn_risk_mean,False,5,9,0,0,0,0,66,0,0
old_data,dino_fn_risk_tab_dino_extra_d3_asc,dino_fn_risk_tab_dino_extra_d3,True,5,9,0,0,0,0,66,0,0
old_data,dino_fn_risk_tab_dino_extra_d3_desc,dino_fn_risk_tab_dino_extra_d3,False,5,9,0,0,0,0,66,0,0
old_data,dino_fn_risk_tab_dino_logreg_c03_asc,dino_fn_risk_tab_dino_logreg_c03,True,5,9,0,0,0,0,66,0,0
old_data,dino_fn_risk_tab_dino_logreg_c03_desc,dino_fn_risk_tab_dino_logreg_c03,False,5,9,0,0,0,0,66,0,0
old_data,dino_fn_risk_tab_hgb_l2_asc,dino_fn_risk_tab_hgb_l2,True,5,9,0,0,0,0,66,0,0
old_data,dino_fn_risk_tab_hgb_l2_desc,dino_fn_risk_tab_hgb_l2,False,5,9,0,0,0,0,66,0,0
third_batch,dino_fn_risk_max_asc,dino_fn_risk_max,True,5,15,0,0,0,0,106,1,1
third_batch,dino_fn_risk_mean_asc,dino_fn_risk_mean,True,5,15,0,0,0,0,106,1,1
third_batch,dino_fn_risk_tab_dino_extra_d3_asc,dino_fn_risk_tab_dino_extra_d3,True,5,15,0,0,0,0,106,1,1
third_batch,dino_fn_risk_tab_dino_logreg_c03_asc,dino_fn_risk_tab_dino_logreg_c03,True,5,15,0,0,0,0,106,1,1
third_batch,dino_fn_risk_tab_hgb_l2_asc,dino_fn_risk_tab_hgb_l2,True,5,15,1,1,1,1,106,2,2
third_batch,dino_fn_risk_max_desc,dino_fn_risk_max,False,5,15,2,1,2,1,106,3,3
third_batch,dino_fn_risk_mean_desc,dino_fn_risk_mean,False,5,15,2,1,2,1,106,3,3
third_batch,dino_fn_risk_tab_dino_extra_d3_desc,dino_fn_risk_tab_dino_extra_d3,False,5,15,2,1,2,1,106,3,3
third_batch,dino_fn_risk_tab_dino_logreg_c03_desc,dino_fn_risk_tab_dino_logreg_c03,False,5,15,2,1,2,1,106,3,3
third_batch,dino_fn_risk_tab_hgb_l2_desc,dino_fn_risk_tab_hgb_l2,False,5,15,2,1,2,1,106,3,3
