granularity,release_fraction,audit_domain,n_folds,total_cases,released_n_sum,released_n_min,released_n_max,released_error_n_sum,released_error_n_max,released_high_risk_fn_n_sum,released_high_risk_fn_n_max,auto_error_n_sum,auto_high_risk_fn_n_sum,review_or_reject_rate_mean,fold_safe_zero_new_release_error
domain,0.05,old_data,5,285,0,0,0,0,0,0,0,0,0,0.2631578947368421,True
domain,0.05,third_batch,5,306,4,0,1,0,0,0,0,1,1,0.38233738762559494,True
domain,0.1,old_data,5,285,5,1,1,0,0,0,0,0,0,0.24561403508771926,True
domain,0.1,third_batch,5,306,9,1,2,0,0,0,0,1,1,0.36599682707562137,True
domain,0.125,old_data,5,285,6,1,2,0,0,0,0,0,0,0.24210526315789474,True
domain,0.125,third_batch,5,306,14,2,3,0,0,0,0,1,1,0.34965626652564785,True
domain,0.15,old_data,5,285,9,1,2,0,0,0,0,0,0,0.23157894736842105,True
domain,0.15,third_batch,5,306,15,2,4,0,0,0,0,1,1,0.3463775780010577,True
domain,0.175,old_data,5,285,11,2,3,0,0,0,0,0,0,0.2245614035087719,True
domain,0.175,third_batch,5,306,20,3,5,1,1,1,1,2,2,0.33003701745108405,False
domain,0.2,old_data,5,285,13,2,3,0,0,0,0,0,0,0.21754385964912276,True
domain,0.2,third_batch,5,306,22,3,5,1,1,1,1,2,2,0.323532522474881,False
domain_label,0.05,old_data,5,285,0,0,0,0,0,0,0,0,0,0.2631578947368421,True
domain_label,0.05,third_batch,5,306,2,0,1,0,0,0,0,1,1,0.388841882601798,True
domain_label,0.1,old_data,5,285,0,0,0,0,0,0,0,0,0,0.2631578947368421,True
domain_label,0.1,third_batch,5,306,7,1,2,0,0,0,0,1,1,0.3725013220518244,True
domain_label,0.125,old_data,5,285,0,0,0,0,0,0,0,0,0,0.2631578947368421,True
domain_label,0.125,third_batch,5,306,9,1,2,0,0,0,0,1,1,0.36599682707562137,True
domain_label,0.15,old_data,5,285,0,0,0,0,0,0,0,0,0,0.2631578947368421,True
domain_label,0.15,third_batch,5,306,11,1,3,0,0,0,0,1,1,0.359439450026441,True
domain_label,0.175,old_data,5,285,1,0,1,0,0,0,0,0,0,0.2596491228070176,True
domain_label,0.175,third_batch,5,306,13,2,3,0,0,0,0,1,1,0.352934955050238,True
domain_label,0.2,old_data,5,285,2,0,1,0,0,0,0,0,0,0.256140350877193,True
domain_label,0.2,third_batch,5,306,16,2,4,0,0,0,0,1,1,0.3430988894764675,True
domain_shift,0.05,old_data,5,285,0,0,0,0,0,0,0,0,0,0.2631578947368421,True
domain_shift,0.05,third_batch,5,306,4,0,1,0,0,0,0,1,1,0.38233738762559494,True
domain_shift,0.1,old_data,5,285,5,1,1,0,0,0,0,0,0,0.24561403508771926,True
domain_shift,0.1,third_batch,5,306,9,1,2,0,0,0,0,1,1,0.36599682707562137,True
domain_shift,0.125,old_data,5,285,6,1,2,0,0,0,0,0,0,0.24210526315789474,True
domain_shift,0.125,third_batch,5,306,14,2,3,0,0,0,0,1,1,0.34965626652564785,True
domain_shift,0.15,old_data,5,285,9,1,2,0,0,0,0,0,0,0.23157894736842105,True
domain_shift,0.15,third_batch,5,306,15,2,4,0,0,0,0,1,1,0.3463775780010577,True
domain_shift,0.175,old_data,5,285,11,2,3,0,0,0,0,0,0,0.2245614035087719,True
domain_shift,0.175,third_batch,5,306,20,3,5,1,1,1,1,2,2,0.33003701745108405,False
domain_shift,0.2,old_data,5,285,13,2,3,0,0,0,0,0,0,0.21754385964912276,True
domain_shift,0.2,third_batch,5,306,22,3,5,1,1,1,1,2,2,0.323532522474881,False
