granularity,release_fraction,audit_domains,released_n_sum,released_error_n_sum,released_error_n_max,released_high_risk_fn_n_sum,released_high_risk_fn_n_max,all_domains_fold_safe
domain,0.05,2,4,0,0,0,0,True
domain,0.1,2,14,0,0,0,0,True
domain,0.125,2,20,0,0,0,0,True
domain,0.15,2,24,0,0,0,0,True
domain,0.175,2,31,1,1,1,1,False
domain,0.2,2,35,1,1,1,1,False
domain_label,0.05,2,2,0,0,0,0,True
domain_label,0.1,2,7,0,0,0,0,True
domain_label,0.125,2,9,0,0,0,0,True
domain_label,0.15,2,11,0,0,0,0,True
domain_label,0.175,2,14,0,0,0,0,True
domain_label,0.2,2,18,0,0,0,0,True
domain_shift,0.05,2,4,0,0,0,0,True
domain_shift,0.1,2,14,0,0,0,0,True
domain_shift,0.125,2,20,0,0,0,0,True
domain_shift,0.15,2,24,0,0,0,0,True
domain_shift,0.175,2,31,1,1,1,1,False
domain_shift,0.2,2,35,1,1,1,1,False
