policy,scope,n,accuracy,balanced_accuracy,f1,auc,fn,fp,auto_decision_n,auto_decision_rate,review_or_reject_n,review_or_reject_rate,auto_error_n,auto_error_rate,auto_error_wilson95_high,auto_high_risk_fn_n,auto_low_risk_fp_n,granularity,release_fraction,released_n,released_error_n,released_high_risk_fn_n
fraction_granularity_domain,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,213,0.7473684210526316,72,0.25263157894736843,0,0.0,0.017715518248153008,0,0,domain,0.05,3,0,0
fraction_granularity_domain,third_batch,306,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0,191,0.6241830065359477,115,0.3758169934640523,1,0.005235602094240838,0.02905576326937404,1,0,domain,0.05,6,0,0
fraction_granularity_domain,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,54,0.5,54,0.5,0,0.0,0.0664135880908964,0,0,domain,0.05,2,0,0
fraction_granularity_domain,internal_known,591,0.9983079526226735,0.9977578475336323,0.9977528089887641,0.860011698186781,1,0,404,0.6835871404399323,187,0.3164128595600677,1,0.0024752475247524753,0.01388579095087539,1,0,domain,0.05,9,0,0
fraction_granularity_domain,all_domains,699,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0,458,0.6552217453505007,241,0.3447782546494993,1,0.002183406113537118,0.012262661824341797,1,0,domain,0.05,11,0,0
fraction_granularity_domain,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,217,0.7614035087719299,68,0.23859649122807017,0,0.0,0.017394645195733326,0,0,domain,0.1,7,0,0
fraction_granularity_domain,third_batch,306,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0,197,0.6437908496732027,109,0.3562091503267974,1,0.005076142131979695,0.028188298832299362,1,0,domain,0.1,12,0,0
fraction_granularity_domain,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,57,0.5277777777777778,51,0.4722222222222222,0,0.0,0.06313883485297894,0,0,domain,0.1,5,0,0
fraction_granularity_domain,internal_known,591,0.9983079526226735,0.9977578475336323,0.9977528089887641,0.860011698186781,1,0,414,0.700507614213198,177,0.29949238578680204,1,0.0024154589371980675,0.013553569164107528,1,0,domain,0.1,19,0,0
fraction_granularity_domain,all_domains,699,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0,471,0.6738197424892703,228,0.3261802575107296,1,0.0021231422505307855,0.011927028956641147,1,0,domain,0.1,24,0,0
fraction_granularity_domain,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,219,0.7684210526315789,66,0.23157894736842105,0,0.0,0.017238528418471243,0,0,domain,0.125,9,0,0
fraction_granularity_domain,third_batch,306,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0,200,0.6535947712418301,106,0.3464052287581699,1,0.005,0.02777370439789293,1,0,domain,0.125,15,0,0
fraction_granularity_domain,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,59,0.5462962962962963,49,0.4537037037037037,0,0.0,0.061129370526788386,0,0,domain,0.125,7,0,0
