policy,scope,n,accuracy,balanced_accuracy,f1,auc,fn,fp,auto_decision_n,auto_decision_rate,review_or_reject_n,review_or_reject_rate,auto_error_n,auto_error_rate,auto_error_wilson95_high,auto_high_risk_fn_n,auto_low_risk_fp_n,label_policy,allowed_labels,release_fraction,released_n,released_error_n,released_high_risk_fn_n,remaining_v195_review_or_reject_n
label_filter_all_labels,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,221,0.775438596491228,64,0.22456140350877193,0,0.0,0.017085189007591345,0,0,all_labels,"A,AB,B1,B1_B2_mixed,B2,B2_B3_mixed,B3,MNT_assumed_low,TC",0.15,11,0,0,64
label_filter_all_labels,third_batch,306,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0,203,0.6633986928104575,103,0.3366013071895425,1,0.0049261083743842365,0.02737112877451363,1,0,all_labels,"A,AB,B1,B1_B2_mixed,B2,B2_B3_mixed,B3,MNT_assumed_low,TC",0.15,18,0,0,103
label_filter_all_labels,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,60,0.5555555555555556,48,0.4444444444444444,0,0.0,0.06017185214208986,0,0,all_labels,"A,AB,B1,B1_B2_mixed,B2,B2_B3_mixed,B3,MNT_assumed_low,TC",0.15,8,0,0,48
label_filter_all_labels,all_domains,699,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0,484,0.6924177396280401,215,0.30758226037195996,1,0.002066115702479339,0.011609279330905695,1,0,all_labels,"A,AB,B1,B1_B2_mixed,B2,B2_B3_mixed,B3,MNT_assumed_low,TC",0.15,37,0,0,215
label_filter_ab_only,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,214,0.7508771929824561,71,0.24912280701754386,0,0.0,0.017634195260581874,0,0,ab_only,AB,0.15,4,0,0,71
label_filter_ab_only,third_batch,306,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0,203,0.6633986928104575,103,0.3366013071895425,1,0.0049261083743842365,0.02737112877451363,1,0,ab_only,AB,0.15,18,0,0,103
label_filter_ab_only,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,60,0.5555555555555556,48,0.4444444444444444,0,0.0,0.06017185214208986,0,0,ab_only,AB,0.15,8,0,0,48
label_filter_ab_only,all_domains,699,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0,477,0.6824034334763949,222,0.31759656652360513,1,0.0020964360587002098,0.011778240889162739,1,0,ab_only,AB,0.15,30,0,0,222
label_filter_non_ab_only,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,217,0.7614035087719299,68,0.23859649122807017,0,0.0,0.017394645195733326,0,0,non_ab_only,"A,B1,B1_B2_mixed,B2,B2_B3_mixed,B3,MNT_assumed_low,TC",0.15,7,0,0,68
label_filter_non_ab_only,third_batch,306,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0,185,0.6045751633986928,121,0.3954248366013072,1,0.005405405405405406,0.029978312639718188,1,0,non_ab_only,"A,B1,B1_B2_mixed,B2,B2_B3_mixed,B3,MNT_assumed_low,TC",0.15,0,0,0,121
label_filter_non_ab_only,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,52,0.48148148148148145,56,0.5185185185185185,0,0.0,0.06879223612386234,0,0,non_ab_only,"A,B1,B1_B2_mixed,B2,B2_B3_mixed,B3,MNT_assumed_low,TC",0.15,0,0,0,56
label_filter_non_ab_only,all_domains,699,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0,454,0.6494992846924177,245,0.35050071530758226,1,0.0022026431718061676,0.012369766968217196,1,0,non_ab_only,"A,B1,B1_B2_mixed,B2,B2_B3_mixed,B3,MNT_assumed_low,TC",0.15,7,0,0,245
