subgroup_family,n,auto_decision_n,review_or_reject_n,released_n,released_error_n,released_high_risk_fn_n,auto_error_n,auto_high_risk_fn_n,task_l6_label,has_released_error,domain,fold_id,hard_shift_gate,dino_fn_risk_missing_bucket
label,52,37,15,4,0,0,0,0,A,False,,,,
label,301,208,93,28,0,0,0,0,AB,False,,,,
label,73,54,19,5,0,0,0,0,B1,False,,,,
label,1,0,1,0,0,0,0,0,B1_B2_mixed,False,,,,
label,117,73,44,0,0,0,0,0,B2,False,,,,
label,3,1,2,0,0,0,0,0,B2_B3_mixed,False,,,,
label,34,19,15,0,0,0,0,0,B3,False,,,,
label,3,2,1,0,0,0,0,0,MNT_assumed_low,False,,,,
label,115,90,25,0,0,0,1,1,TC,False,,,,
domain_label,44,31,13,3,0,0,0,0,A,False,old_data,,,
domain_label,50,40,10,4,0,0,0,0,AB,False,old_data,,,
domain_label,50,37,13,4,0,0,0,0,B1,False,old_data,,,
domain_label,60,49,11,0,0,0,0,0,B2,False,old_data,,,
domain_label,24,17,7,0,0,0,0,0,B3,False,old_data,,,
domain_label,57,47,10,0,0,0,0,0,TC,False,old_data,,,
domain_label,8,6,2,1,0,0,0,0,A,False,strict_external,,,
domain_label,39,29,10,6,0,0,0,0,AB,False,strict_external,,,
domain_label,11,10,1,1,0,0,0,0,B1,False,strict_external,,,
domain_label,1,0,1,0,0,0,0,0,B1_B2_mixed,False,strict_external,,,
domain_label,28,8,20,0,0,0,0,0,B2,False,strict_external,,,
domain_label,3,1,2,0,0,0,0,0,B2_B3_mixed,False,strict_external,,,
domain_label,10,2,8,0,0,0,0,0,B3,False,strict_external,,,
domain_label,3,2,1,0,0,0,0,0,MNT_assumed_low,False,strict_external,,,
domain_label,5,2,3,0,0,0,0,0,TC,False,strict_external,,,
domain_label,212,139,73,18,0,0,0,0,AB,False,third_batch,,,
domain_label,12,7,5,0,0,0,0,0,B1,False,third_batch,,,
domain_label,29,16,13,0,0,0,0,0,B2,False,third_batch,,,
domain_label,53,41,12,0,0,0,1,1,TC,False,third_batch,,,
domain_fold,57,46,11,3,0,0,0,0,,False,old_data,1.0,,
domain_fold,57,44,13,2,0,0,0,0,,False,old_data,2.0,,
domain_fold,57,47,10,3,0,0,0,0,,False,old_data,3.0,,
domain_fold,57,40,17,1,0,0,0,0,,False,old_data,4.0,,
domain_fold,57,44,13,2,0,0,0,0,,False,old_data,5.0,,
domain_fold,108,60,48,8,0,0,0,0,,False,strict_external,-1.0,,
domain_fold,62,39,23,2,0,0,0,0,,False,third_batch,1.0,,
domain_fold,61,34,27,2,0,0,0,0,,False,third_batch,2.0,,
domain_fold,61,49,12,6,0,0,1,1,,False,third_batch,3.0,,
domain_fold,61,41,20,5,0,0,0,0,,False,third_batch,4.0,,
domain_fold,61,40,21,3,0,0,0,0,,False,third_batch,5.0,,
domain_shift,285,221,64,11,0,0,0,0,,False,old_data,,normal_or_known_shift,
domain_shift,108,60,48,8,0,0,0,0,,False,strict_external,,severe_unknown_shift,
domain_shift,306,203,103,18,0,0,1,1,,False,third_batch,,normal_or_known_shift,
domain_dino_missing,142,113,29,0,0,0,0,0,,False,old_data,,,missing
domain_dino_missing,143,108,35,11,0,0,0,0,,False,old_data,,,present
domain_dino_missing,47,13,34,0,0,0,0,0,,False,strict_external,,,missing
domain_dino_missing,61,47,14,8,0,0,0,0,,False,strict_external,,,present
domain_dino_missing,77,56,21,0,0,0,0,0,,False,third_batch,,,missing
domain_dino_missing,229,147,82,18,0,0,1,1,,False,third_batch,,,present
