severe_multiplier,subset_kind,metric_subset,metric_n,min_exceeded_metrics,strict_exceeded_metric_n,strict_is_severe,strict_exceeded_metrics
1.0,all_metrics,"batch_shift_index,domain_auc_cv,mean_outside_ref_05_95_rate,quality_proxy_mean",4,3,4,True,"batch_shift_index,domain_auc_cv,mean_outside_ref_05_95_rate,quality_proxy_mean"
1.0,leave_one_out,"domain_auc_cv,mean_outside_ref_05_95_rate,quality_proxy_mean",3,3,3,True,"domain_auc_cv,mean_outside_ref_05_95_rate,quality_proxy_mean"
1.0,leave_one_out,"batch_shift_index,mean_outside_ref_05_95_rate,quality_proxy_mean",3,3,3,True,"batch_shift_index,mean_outside_ref_05_95_rate,quality_proxy_mean"
1.0,leave_one_out,"batch_shift_index,domain_auc_cv,quality_proxy_mean",3,3,3,True,"batch_shift_index,domain_auc_cv,quality_proxy_mean"
1.0,leave_one_out,"batch_shift_index,domain_auc_cv,mean_outside_ref_05_95_rate",3,3,3,True,"batch_shift_index,domain_auc_cv,mean_outside_ref_05_95_rate"
1.0,single_metric,batch_shift_index,1,1,1,True,batch_shift_index
1.0,single_metric,domain_auc_cv,1,1,1,True,domain_auc_cv
1.0,single_metric,mean_outside_ref_05_95_rate,1,1,1,True,mean_outside_ref_05_95_rate
1.0,single_metric,quality_proxy_mean,1,1,1,True,quality_proxy_mean
1.0,metric_combination,"batch_shift_index,domain_auc_cv",2,2,2,True,"batch_shift_index,domain_auc_cv"
1.0,metric_combination,"batch_shift_index,mean_outside_ref_05_95_rate",2,2,2,True,"batch_shift_index,mean_outside_ref_05_95_rate"
1.0,metric_combination,"batch_shift_index,quality_proxy_mean",2,2,2,True,"batch_shift_index,quality_proxy_mean"
1.0,metric_combination,"domain_auc_cv,mean_outside_ref_05_95_rate",2,2,2,True,"domain_auc_cv,mean_outside_ref_05_95_rate"
1.0,metric_combination,"domain_auc_cv,quality_proxy_mean",2,2,2,True,"domain_auc_cv,quality_proxy_mean"
1.0,metric_combination,"mean_outside_ref_05_95_rate,quality_proxy_mean",2,2,2,True,"mean_outside_ref_05_95_rate,quality_proxy_mean"
1.0,metric_combination,"batch_shift_index,domain_auc_cv,mean_outside_ref_05_95_rate",3,3,3,True,"batch_shift_index,domain_auc_cv,mean_outside_ref_05_95_rate"
1.0,metric_combination,"batch_shift_index,domain_auc_cv,quality_proxy_mean",3,3,3,True,"batch_shift_index,domain_auc_cv,quality_proxy_mean"
1.0,metric_combination,"batch_shift_index,mean_outside_ref_05_95_rate,quality_proxy_mean",3,3,3,True,"batch_shift_index,mean_outside_ref_05_95_rate,quality_proxy_mean"
1.0,metric_combination,"domain_auc_cv,mean_outside_ref_05_95_rate,quality_proxy_mean",3,3,3,True,"domain_auc_cv,mean_outside_ref_05_95_rate,quality_proxy_mean"
1.25,all_metrics,"batch_shift_index,domain_auc_cv,mean_outside_ref_05_95_rate,quality_proxy_mean",4,3,4,True,"batch_shift_index,domain_auc_cv,mean_outside_ref_05_95_rate,quality_proxy_mean"
1.25,leave_one_out,"domain_auc_cv,mean_outside_ref_05_95_rate,quality_proxy_mean",3,3,3,True,"domain_auc_cv,mean_outside_ref_05_95_rate,quality_proxy_mean"
1.25,leave_one_out,"batch_shift_index,mean_outside_ref_05_95_rate,quality_proxy_mean",3,3,3,True,"batch_shift_index,mean_outside_ref_05_95_rate,quality_proxy_mean"
1.25,leave_one_out,"batch_shift_index,domain_auc_cv,quality_proxy_mean",3,3,3,True,"batch_shift_index,domain_auc_cv,quality_proxy_mean"
1.25,leave_one_out,"batch_shift_index,domain_auc_cv,mean_outside_ref_05_95_rate",3,3,3,True,"batch_shift_index,domain_auc_cv,mean_outside_ref_05_95_rate"
1.25,single_metric,batch_shift_index,1,1,1,True,batch_shift_index
1.25,single_metric,domain_auc_cv,1,1,1,True,domain_auc_cv
1.25,single_metric,mean_outside_ref_05_95_rate,1,1,1,True,mean_outside_ref_05_95_rate
1.25,single_metric,quality_proxy_mean,1,1,1,True,quality_proxy_mean
1.25,metric_combination,"batch_shift_index,domain_auc_cv",2,2,2,True,"batch_shift_index,domain_auc_cv"
1.25,metric_combination,"batch_shift_index,mean_outside_ref_05_95_rate",2,2,2,True,"batch_shift_index,mean_outside_ref_05_95_rate"
1.25,metric_combination,"batch_shift_index,quality_proxy_mean",2,2,2,True,"batch_shift_index,quality_proxy_mean"
1.25,metric_combination,"domain_auc_cv,mean_outside_ref_05_95_rate",2,2,2,True,"domain_auc_cv,mean_outside_ref_05_95_rate"
1.25,metric_combination,"domain_auc_cv,quality_proxy_mean",2,2,2,True,"domain_auc_cv,quality_proxy_mean"
1.25,metric_combination,"mean_outside_ref_05_95_rate,quality_proxy_mean",2,2,2,True,"mean_outside_ref_05_95_rate,quality_proxy_mean"
1.25,metric_combination,"batch_shift_index,domain_auc_cv,mean_outside_ref_05_95_rate",3,3,3,True,"batch_shift_index,domain_auc_cv,mean_outside_ref_05_95_rate"
1.25,metric_combination,"batch_shift_index,domain_auc_cv,quality_proxy_mean",3,3,3,True,"batch_shift_index,domain_auc_cv,quality_proxy_mean"
1.25,metric_combination,"batch_shift_index,mean_outside_ref_05_95_rate,quality_proxy_mean",3,3,3,True,"batch_shift_index,mean_outside_ref_05_95_rate,quality_proxy_mean"
1.25,metric_combination,"domain_auc_cv,mean_outside_ref_05_95_rate,quality_proxy_mean",3,3,3,True,"domain_auc_cv,mean_outside_ref_05_95_rate,quality_proxy_mean"
1.5,all_metrics,"batch_shift_index,domain_auc_cv,mean_outside_ref_05_95_rate,quality_proxy_mean",4,3,4,True,"batch_shift_index,domain_auc_cv,mean_outside_ref_05_95_rate,quality_proxy_mean"
