audit_domain,release_fraction,veto_threshold,n_folds,released_n_sum,released_error_n_sum,released_error_n_max,released_high_risk_fn_n_sum,released_high_risk_fn_n_max,remaining_review_or_reject_n_sum,auto_error_n_sum,auto_high_risk_fn_n_sum,review_or_reject_rate_mean
old_data,0.25,0.7302192052776949,5,11,0,0,0,0,64,0,0,0.2245614035087719
old_data,0.2,0.7302192052776949,5,10,0,0,0,0,65,0,0,0.22807017543859648
old_data,0.25,0.6809192268745825,5,9,0,0,0,0,66,0,0,0.23157894736842105
old_data,0.2,0.6809192268745825,5,8,0,0,0,0,67,0,0,0.2350877192982456
old_data,0.25,0.6307140560545222,5,8,0,0,0,0,67,0,0,0.2350877192982456
old_data,0.15,0.7302192052776949,5,7,0,0,0,0,68,0,0,0.23859649122807017
old_data,0.2,0.6307140560545222,5,7,0,0,0,0,68,0,0,0.23859649122807017
old_data,0.15,0.6307140560545222,5,5,0,0,0,0,70,0,0,0.24561403508771926
old_data,0.15,0.6809192268745825,5,5,0,0,0,0,70,0,0,0.24561403508771926
old_data,0.25,0.5740271177553192,5,3,0,0,0,0,72,0,0,0.25263157894736843
old_data,0.25,0.5964855305337708,5,3,0,0,0,0,72,0,0,0.25263157894736843
old_data,0.2,0.5740271177553192,5,2,0,0,0,0,73,0,0,0.256140350877193
old_data,0.2,0.5964855305337708,5,2,0,0,0,0,73,0,0,0.256140350877193
old_data,0.25,0.5384969832645418,5,2,0,0,0,0,73,0,0,0.256140350877193
old_data,0.15,0.5740271177553192,5,1,0,0,0,0,74,0,0,0.2596491228070176
old_data,0.15,0.5964855305337708,5,1,0,0,0,0,74,0,0,0.2596491228070176
old_data,0.2,0.5384969832645418,5,1,0,0,0,0,74,0,0,0.2596491228070176
old_data,0.25,0.4848319814504693,5,1,0,0,0,0,74,0,0,0.2596491228070176
old_data,0.25,0.514713758890918,5,1,0,0,0,0,74,0,0,0.2596491228070176
old_data,0.15,0.4848319814504693,5,0,0,0,0,0,75,0,0,0.2631578947368421
old_data,0.15,0.514713758890918,5,0,0,0,0,0,75,0,0,0.2631578947368421
old_data,0.15,0.5384969832645418,5,0,0,0,0,0,75,0,0,0.2631578947368421
old_data,0.2,0.4848319814504693,5,0,0,0,0,0,75,0,0,0.2631578947368421
old_data,0.2,0.514713758890918,5,0,0,0,0,0,75,0,0,0.2631578947368421
third_batch,0.15,0.7302192052776949,5,8,0,0,0,0,113,1,1,0.3693283976731888
third_batch,0.15,0.6809192268745825,5,6,0,0,0,0,115,1,1,0.37583289264939185
third_batch,0.15,0.6307140560545222,5,5,0,0,0,0,116,1,1,0.37905869910100476
third_batch,0.25,0.4848319814504693,5,5,0,0,0,0,116,1,1,0.37905869910100476
third_batch,0.25,0.514713758890918,5,5,0,0,0,0,116,1,1,0.37905869910100476
third_batch,0.15,0.5964855305337708,5,4,0,0,0,0,117,1,1,0.38233738762559494
third_batch,0.15,0.5384969832645418,5,3,0,0,0,0,118,1,1,0.3856160761501851
third_batch,0.15,0.5740271177553192,5,3,0,0,0,0,118,1,1,0.3856160761501851
third_batch,0.2,0.4848319814504693,5,3,0,0,0,0,118,1,1,0.3856160761501851
third_batch,0.2,0.514713758890918,5,3,0,0,0,0,118,1,1,0.3856160761501851
third_batch,0.15,0.4848319814504693,5,2,0,0,0,0,119,1,1,0.38889476467477524
third_batch,0.15,0.514713758890918,5,2,0,0,0,0,119,1,1,0.38889476467477524
third_batch,0.25,0.7302192052776949,5,16,1,1,1,1,105,2,2,0.34325753569539924
third_batch,0.25,0.6809192268745825,5,14,1,1,1,1,107,2,2,0.34976203067160233
third_batch,0.2,0.7302192052776949,5,12,1,1,1,1,109,2,2,0.35631940772078263
third_batch,0.25,0.6307140560545222,5,12,1,1,1,1,109,2,2,0.3562136435748281
third_batch,0.25,0.5964855305337708,5,11,1,1,1,1,110,2,2,0.3594923320994183
third_batch,0.2,0.6809192268745825,5,10,1,1,1,1,111,2,2,0.3628239026969857
third_batch,0.2,0.6307140560545222,5,9,1,1,1,1,112,2,2,0.36604970914859863
third_batch,0.25,0.5740271177553192,5,9,1,1,1,1,112,2,2,0.36604970914859863
third_batch,0.2,0.5964855305337708,5,8,1,1,1,1,113,2,2,0.3693283976731888
third_batch,0.25,0.5384969832645418,5,8,1,1,1,1,113,2,2,0.3693283976731888
third_batch,0.2,0.5740271177553192,5,7,1,1,1,1,114,2,2,0.37260708619777894
third_batch,0.2,0.5384969832645418,5,6,1,1,1,1,115,2,2,0.3758857747223691
