release_fraction,veto_threshold,released_n_sum,released_error_n_sum,released_high_risk_fn_n_sum,remaining_review_or_reject_n_sum,auto_error_n_sum,auto_high_risk_fn_n_sum,mean_review_or_reject_rate
0.25,0.7302192052776949,29,0,0,167,1,1,0.2803405572755418
0.25,0.6809192268745825,25,0,0,171,1,1,0.2871173030615755
0.25,0.6307140560545222,23,0,0,173,1,1,0.29050567595459237
0.2,0.7302192052776949,22,0,0,174,1,1,0.2920192638458892
0.2,0.6809192268745825,18,0,0,178,1,1,0.29879600963192293
0.25,0.5964855305337708,17,0,0,179,1,1,0.3009115927072583
0.2,0.6307140560545222,16,0,0,180,1,1,0.30218438252493984
0.15,0.7302192052776949,14,0,0,182,1,1,0.30557275541795664
0.25,0.5740271177553192,13,0,0,183,1,1,0.30744754041967665
0.25,0.5384969832645418,12,0,0,184,1,1,0.30920192638458893
0.2,0.5964855305337708,11,0,0,185,1,1,0.3108359133126935
0.15,0.6809192268745825,10,0,0,186,1,1,0.31234950120399035
0.15,0.6307140560545222,9,0,0,187,1,1,0.3139834881320949
0.2,0.5740271177553192,9,0,0,187,1,1,0.31410388716890264
0.2,0.5384969832645418,8,0,0,188,1,1,0.3158582731338149
0.25,0.514713758890918,8,0,0,188,1,1,0.31597867217062264
0.25,0.4848319814504693,7,0,0,189,1,1,0.3176126590987272
0.15,0.5964855305337708,5,0,0,191,1,1,0.3208806329549364
0.2,0.4848319814504693,5,0,0,191,1,1,0.321001031991744
0.2,0.514713758890918,5,0,0,191,1,1,0.321001031991744
0.15,0.5384969832645418,4,0,0,192,1,1,0.322514619883041
0.15,0.5740271177553192,4,0,0,192,1,1,0.322514619883041
0.15,0.4848319814504693,1,0,0,195,1,1,0.32765737874097006
0.15,0.514713758890918,1,0,0,195,1,1,0.32765737874097006
