release_fraction,veto_threshold,released_n_sum,released_error_n_sum,released_high_risk_fn_n_sum,remaining_review_or_reject_n_sum,auto_error_n_sum,auto_high_risk_fn_n_sum,mean_review_or_reject_rate
0.15,0.7302192052776949,29,0,0,167,1,1,0.28058135534915724
0.15,0.4848319814504693,20,0,0,176,1,1,0.2954076367389061
0.2,0.4848319814504693,20,0,0,176,1,1,0.2954076367389061
0.25,0.4848319814504693,20,0,0,176,1,1,0.2954076367389061
0.15,0.6307140560545222,29,1,1,167,2,2,0.28058135534915724
0.15,0.6809192268745825,29,1,1,167,2,2,0.28058135534915724
0.2,0.514713758890918,30,2,2,166,3,3,0.27870657034743723
0.25,0.514713758890918,30,2,2,166,3,3,0.27870657034743723
0.15,0.514713758890918,28,2,2,168,3,3,0.2822153422772618
0.2,0.7302192052776949,39,3,2,157,4,3,0.2637598899208806
0.25,0.5384969832645418,40,3,3,156,4,4,0.2618851049191606
0.2,0.6809192268745825,39,3,3,157,4,4,0.2637598899208806
0.2,0.5384969832645418,38,3,3,158,4,4,0.2653938768489852
0.15,0.5384969832645418,29,3,3,167,4,4,0.28058135534915724
0.15,0.5964855305337708,29,3,3,167,4,4,0.28058135534915724
0.25,0.5964855305337708,48,4,4,148,5,5,0.24869281045751634
0.25,0.6307140560545222,48,4,4,148,5,5,0.24869281045751634
0.25,0.6809192268745825,48,4,4,148,5,5,0.24869281045751634
0.25,0.5740271177553192,45,4,4,151,5,5,0.25359477124183005
0.2,0.5740271177553192,39,4,4,157,5,5,0.2637598899208806
0.2,0.5964855305337708,39,4,4,157,5,5,0.2637598899208806
0.2,0.6307140560545222,39,4,4,157,5,5,0.2637598899208806
0.15,0.5740271177553192,29,4,4,167,5,5,0.28058135534915724
0.25,0.7302192052776949,48,5,4,148,6,5,0.24869281045751634
