audit_domain,risk_score,target_review_rate,n_folds,total_cases,auto_decision_n_sum,review_or_reject_rate_mean,review_or_reject_rate_max,auto_error_n_sum,auto_error_n_max,auto_high_risk_fn_n_sum,auto_high_risk_fn_n_max,balanced_accuracy_mean,balanced_accuracy_min
old_data,safe_distance_case_score,0.4,5,285,170,0.4035087719298246,0.40350877192982454,0,0,0,0,1.0,1.0
old_data,safe_distance_case_score,0.5,5,285,145,0.4912280701754385,0.49122807017543857,0,0,0,0,1.0,1.0
old_data,safe_distance_case_score,0.6,5,285,115,0.5964912280701754,0.5964912280701754,0,0,0,0,1.0,1.0
old_data,safe_distance_case_score,0.7,5,285,85,0.7017543859649122,0.7017543859649122,0,0,0,0,1.0,1.0
old_data,safe_distance_case_score,0.8,5,285,55,0.8070175438596492,0.8070175438596491,0,0,0,0,1.0,1.0
old_data,safe_distance_case_score,0.2,5,285,230,0.19298245614035087,0.19298245614035087,1,1,0,0,0.9964285714285716,0.9821428571428572
old_data,safe_distance_case_score,0.3,5,285,200,0.2982456140350877,0.2982456140350877,1,1,0,0,0.9964285714285716,0.9821428571428572
third_batch,safe_distance_case_score,0.7,5,306,91,0.7026441036488631,0.7049180327868853,3,1,3,1,0.9816176470588236,0.96875
third_batch,safe_distance_case_score,0.8,5,306,60,0.8039132734003174,0.8064516129032258,3,1,3,1,0.9816176470588236,0.96875
third_batch,safe_distance_case_score,0.6,5,306,121,0.6046007403490217,0.6065573770491803,5,1,4,1,0.9735130718954249,0.96875
third_batch,safe_distance_case_score,0.5,5,306,155,0.49344262295081964,0.5,7,3,5,1,0.9650408496732027,0.9465277777777779
third_batch,safe_distance_case_score,0.4,5,306,185,0.39539925965097833,0.4032258064516129,8,3,6,2,0.9591584967320262,0.9411764705882353
third_batch,safe_distance_case_score,0.2,5,306,246,0.1960867265996827,0.19672131147540983,9,3,7,2,0.9529084967320263,0.9375
third_batch,safe_distance_case_score,0.3,5,306,215,0.29735589635113696,0.3064516129032258,9,3,7,2,0.9529084967320263,0.9375
