strategy,release_k,error_n,high_risk_fn_n,first_error_rank
rank_mean_risk,5,0,0,
rank_mean_risk,8,0,0,
rank_mean_risk,10,0,0,
rank_mean_risk,15,0,0,
rank_mean_risk,20,0,0,
rank_mean_risk,21,0,0,
rank_mean_risk,25,0,0,
rank_mean_risk,30,0,0,
rank_mean_risk,40,0,0,
rank_mean_risk,56,0,0,
dino_fn_risk_max,5,0,0,
dino_fn_risk_max,8,0,0,
dino_fn_risk_max,10,0,0,
dino_fn_risk_max,15,0,0,
dino_fn_risk_max,20,0,0,
dino_fn_risk_max,21,0,0,
dino_fn_risk_max,25,0,0,
dino_fn_risk_max,30,0,0,
dino_fn_risk_max,40,0,0,
dino_fn_risk_max,56,0,0,
model_disagreement_rate,5,0,0,
model_disagreement_rate,8,0,0,
model_disagreement_rate,10,0,0,
model_disagreement_rate,15,0,0,
model_disagreement_rate,20,0,0,
model_disagreement_rate,21,0,0,
model_disagreement_rate,25,0,0,
model_disagreement_rate,30,0,0,
model_disagreement_rate,40,0,0,
model_disagreement_rate,56,0,0,
base_uncertainty,5,0,0,
base_uncertainty,8,0,0,
base_uncertainty,10,0,0,
base_uncertainty,15,0,0,
base_uncertainty,20,0,0,
base_uncertainty,21,0,0,
base_uncertainty,25,0,0,
base_uncertainty,30,0,0,
base_uncertainty,40,0,0,
base_uncertainty,56,0,0,
