audit_domain,tiebreak_policy,secondary_col,secondary_ascending,n_folds,released_n_sum,released_error_n_sum,released_error_n_max,released_high_risk_fn_n_sum,released_high_risk_fn_n_max,review_or_reject_n_sum,auto_error_n_sum,auto_high_risk_fn_n_sum
old_data,base_entropy_asc,base_entropy,True,5,9,0,0,0,0,66,0,0
old_data,base_entropy_desc,base_entropy,False,5,9,0,0,0,0,66,0,0
old_data,base_uncertainty_asc,base_uncertainty,True,5,9,0,0,0,0,66,0,0
old_data,base_uncertainty_desc,base_uncertainty,False,5,9,0,0,0,0,66,0,0
old_data,corrector_confidence_mean_asc,corrector_confidence_mean,True,5,9,0,0,0,0,66,0,0
old_data,corrector_confidence_mean_desc,corrector_confidence_mean,False,5,9,0,0,0,0,66,0,0
old_data,corrector_prob_high_mean_asc,corrector_prob_high_mean,True,5,9,0,0,0,0,66,0,0
old_data,corrector_prob_high_mean_desc,corrector_prob_high_mean,False,5,9,0,0,0,0,66,0,0
old_data,router_risk_mean_asc,router_risk_mean,True,5,9,0,0,0,0,66,0,0
old_data,router_risk_mean_desc,router_risk_mean,False,5,9,0,0,0,0,66,0,0
old_data,safe_distance_case_score_asc,safe_distance_case_score,True,5,9,0,0,0,0,66,0,0
old_data,safe_distance_case_score_desc,safe_distance_case_score,False,5,9,0,0,0,0,66,0,0
third_batch,base_entropy_desc,base_entropy,False,5,15,1,1,1,1,106,2,2
third_batch,base_uncertainty_desc,base_uncertainty,False,5,15,1,1,1,1,106,2,2
third_batch,corrector_confidence_mean_asc,corrector_confidence_mean,True,5,15,1,1,1,1,106,2,2
third_batch,corrector_confidence_mean_desc,corrector_confidence_mean,False,5,15,1,1,1,1,106,2,2
third_batch,corrector_prob_high_mean_asc,corrector_prob_high_mean,True,5,15,1,1,1,1,106,2,2
third_batch,corrector_prob_high_mean_desc,corrector_prob_high_mean,False,5,15,1,1,1,1,106,2,2
third_batch,router_risk_mean_asc,router_risk_mean,True,5,15,1,1,1,1,106,2,2
third_batch,router_risk_mean_desc,router_risk_mean,False,5,15,1,1,1,1,106,2,2
third_batch,safe_distance_case_score_desc,safe_distance_case_score,False,5,15,1,1,1,1,106,2,2
third_batch,base_entropy_asc,base_entropy,True,5,15,2,1,2,1,106,3,3
third_batch,base_uncertainty_asc,base_uncertainty,True,5,15,2,1,2,1,106,3,3
third_batch,safe_distance_case_score_asc,safe_distance_case_score,True,5,15,2,1,2,1,106,3,3
