audit_domain,rule_id,conditions_json,n_folds,total_cases,released_n_sum,released_error_n_sum,released_error_n_max,released_high_risk_fn_n_sum,released_high_risk_fn_n_max,remaining_review_or_reject_n_sum,auto_error_n_sum,auto_high_risk_fn_n_sum,review_or_reject_rate_mean,balanced_accuracy_min
old_data,rule_0287,"{""model_disagreement_rate"": 0.6666666666666666, ""safe_distance_case_score"": 0.6809192268745825}",5,285,45,0,0,0,0,30,0,0,0.10526315789473684,1.0
old_data,rule_0279,"{""model_disagreement_rate"": 0.5833333333333334, ""safe_distance_case_score"": 0.6809192268745825}",5,285,44,0,0,0,0,31,0,0,0.10877192982456138,1.0
old_data,rule_0271,"{""model_disagreement_rate"": 0.5, ""safe_distance_case_score"": 0.6809192268745825}",5,285,41,0,0,0,0,34,0,0,0.11929824561403508,1.0
old_data,rule_0278,"{""model_disagreement_rate"": 0.5833333333333334, ""safe_distance_case_score"": 0.6307140560545222}",5,285,34,0,0,0,0,41,0,0,0.14385964912280702,1.0
old_data,rule_0286,"{""model_disagreement_rate"": 0.6666666666666666, ""safe_distance_case_score"": 0.6307140560545222}",5,285,34,0,0,0,0,41,0,0,0.14385964912280702,1.0
old_data,rule_0270,"{""model_disagreement_rate"": 0.5, ""safe_distance_case_score"": 0.6307140560545222}",5,285,32,0,0,0,0,43,0,0,0.1508771929824561,1.0
old_data,rule_0671,"{""router_risk_mean"": 0.575419661991361, ""safe_distance_case_score"": 0.6809192268745825}",5,285,29,0,0,0,0,46,0,0,0.16140350877192983,1.0
old_data,rule_0479,"{""base_uncertainty"": 0.3626409721985777, ""safe_distance_case_score"": 0.6809192268745825}",5,285,28,0,0,0,0,47,0,0,0.16491228070175437,1.0
old_data,rule_0607,"{""base_entropy"": 0.6549198040994479, ""safe_distance_case_score"": 0.6809192268745825}",5,285,28,0,0,0,0,47,0,0,0.16491228070175437,1.0
old_data,rule_0206,"{""model_disagreement_rate"": 0.5833333333333334, ""router_risk_mean"": 0.5353073452206201}",5,285,27,0,0,0,0,48,0,0,0.16842105263157894,1.0
old_data,rule_0214,"{""model_disagreement_rate"": 0.6666666666666666, ""router_risk_mean"": 0.5353073452206201}",5,285,27,0,0,0,0,48,0,0,0.16842105263157894,1.0
old_data,rule_0263,"{""model_disagreement_rate"": 0.4166666666666667, ""safe_distance_case_score"": 0.6809192268745825}",5,285,27,0,0,0,0,48,0,0,0.16842105263157894,1.0
old_data,rule_0255,"{""model_disagreement_rate"": 0.3333333333333333, ""safe_distance_case_score"": 0.6809192268745825}",5,285,26,0,0,0,0,49,0,0,0.17192982456140352,1.0
old_data,rule_0183,"{""model_disagreement_rate"": 0.3333333333333333, ""router_risk_mean"": 0.575419661991361}",5,285,25,0,0,0,0,50,0,0,0.17543859649122806,1.0
old_data,rule_0198,"{""model_disagreement_rate"": 0.5, ""router_risk_mean"": 0.5353073452206201}",5,285,25,0,0,0,0,50,0,0,0.17543859649122806,1.0
old_data,rule_0277,"{""model_disagreement_rate"": 0.5833333333333334, ""safe_distance_case_score"": 0.5964855305337708}",5,285,25,0,0,0,0,50,0,0,0.17543859649122806,1.0
old_data,rule_0285,"{""model_disagreement_rate"": 0.6666666666666666, ""safe_distance_case_score"": 0.5964855305337708}",5,285,25,0,0,0,0,50,0,0,0.17543859649122806,1.0
old_data,rule_0269,"{""model_disagreement_rate"": 0.5, ""safe_distance_case_score"": 0.5964855305337708}",5,285,24,0,0,0,0,51,0,0,0.1789473684210526,1.0
old_data,rule_0478,"{""base_uncertainty"": 0.3626409721985777, ""safe_distance_case_score"": 0.6307140560545222}",5,285,24,0,0,0,0,51,0,0,0.1789473684210526,1.0
old_data,rule_0606,"{""base_entropy"": 0.6549198040994479, ""safe_distance_case_score"": 0.6307140560545222}",5,285,24,0,0,0,0,51,0,0,0.1789473684210526,1.0
old_data,rule_0663,"{""router_risk_mean"": 0.5353073452206201, ""safe_distance_case_score"": 0.6809192268745825}",5,285,24,0,0,0,0,51,0,0,0.1789473684210526,1.0
old_data,rule_0670,"{""router_risk_mean"": 0.575419661991361, ""safe_distance_case_score"": 0.6307140560545222}",5,285,24,0,0,0,0,51,0,0,0.1789473684210526,1.0
old_data,rule_0039,"{""base_uncertainty"": 0.3626409721985777, ""model_disagreement_rate"": 0.3333333333333333}",5,285,22,0,0,0,0,53,0,0,0.18596491228070175,1.0
old_data,rule_0111,"{""base_entropy"": 0.6549198040994479, ""model_disagreement_rate"": 0.3333333333333333}",5,285,22,0,0,0,0,53,0,0,0.18596491228070175,1.0
old_data,rule_0175,"{""model_disagreement_rate"": 0.25, ""router_risk_mean"": 0.575419661991361}",5,285,22,0,0,0,0,53,0,0,0.18596491228070175,1.0
old_data,rule_0247,"{""model_disagreement_rate"": 0.25, ""safe_distance_case_score"": 0.6809192268745825}",5,285,22,0,0,0,0,53,0,0,0.18596491228070175,1.0
old_data,rule_0276,"{""model_disagreement_rate"": 0.5833333333333334, ""safe_distance_case_score"": 0.5740271177553192}",5,285,22,0,0,0,0,53,0,0,0.18596491228070175,1.0
old_data,rule_0284,"{""model_disagreement_rate"": 0.6666666666666666, ""safe_distance_case_score"": 0.5740271177553192}",5,285,22,0,0,0,0,53,0,0,0.18596491228070175,1.0
old_data,rule_0471,"{""base_uncertainty"": 0.3315778750082984, ""safe_distance_case_score"": 0.6809192268745825}",5,285,22,0,0,0,0,53,0,0,0.18596491228070175,1.0
old_data,rule_0599,"{""base_entropy"": 0.6352904375198885, ""safe_distance_case_score"": 0.6809192268745825}",5,285,22,0,0,0,0,53,0,0,0.18596491228070175,1.0
old_data,rule_0254,"{""model_disagreement_rate"": 0.3333333333333333, ""safe_distance_case_score"": 0.6307140560545222}",5,285,21,0,0,0,0,54,0,0,0.1894736842105263,1.0
old_data,rule_0262,"{""model_disagreement_rate"": 0.4166666666666667, ""safe_distance_case_score"": 0.6307140560545222}",5,285,21,0,0,0,0,54,0,0,0.1894736842105263,1.0
old_data,rule_0268,"{""model_disagreement_rate"": 0.5, ""safe_distance_case_score"": 0.5740271177553192}",5,285,21,0,0,0,0,54,0,0,0.1894736842105263,1.0
old_data,rule_0414,"{""base_uncertainty"": 0.3626409721985777, ""router_risk_mean"": 0.5353073452206201}",5,285,21,0,0,0,0,54,0,0,0.1894736842105263,1.0
old_data,rule_0542,"{""base_entropy"": 0.6549198040994479, ""router_risk_mean"": 0.5353073452206201}",5,285,21,0,0,0,0,54,0,0,0.1894736842105263,1.0
old_data,rule_0662,"{""router_risk_mean"": 0.5353073452206201, ""safe_distance_case_score"": 0.6307140560545222}",5,285,21,0,0,0,0,54,0,0,0.1894736842105263,1.0
old_data,rule_0167,"{""model_disagreement_rate"": 0.1666666666666666, ""router_risk_mean"": 0.575419661991361}",5,285,20,0,0,0,0,55,0,0,0.19298245614035087,1.0
old_data,rule_0239,"{""model_disagreement_rate"": 0.1666666666666666, ""safe_distance_case_score"": 0.6809192268745825}",5,285,20,0,0,0,0,55,0,0,0.19298245614035087,1.0
old_data,rule_0477,"{""base_uncertainty"": 0.3626409721985777, ""safe_distance_case_score"": 0.5964855305337708}",5,285,20,0,0,0,0,55,0,0,0.19298245614035087,1.0
old_data,rule_0605,"{""base_entropy"": 0.6549198040994479, ""safe_distance_case_score"": 0.5964855305337708}",5,285,20,0,0,0,0,55,0,0,0.19298245614035087,1.0
old_data,rule_0190,"{""model_disagreement_rate"": 0.4166666666666667, ""router_risk_mean"": 0.5353073452206201}",5,285,19,0,0,0,0,56,0,0,0.19649122807017544,1.0
old_data,rule_0470,"{""base_uncertainty"": 0.3315778750082984, ""safe_distance_case_score"": 0.6307140560545222}",5,285,19,0,0,0,0,56,0,0,0.19649122807017544,1.0
old_data,rule_0598,"{""base_entropy"": 0.6352904375198885, ""safe_distance_case_score"": 0.6307140560545222}",5,285,19,0,0,0,0,56,0,0,0.19649122807017544,1.0
