domain,grouping,n,auto_n,review_n,auto_error_n,auto_high_risk_fn_n,task_l6_label,label_idx
old_data,domain,285,235,50,0,0,,
strict_external,domain,108,57,51,0,0,,
third_batch,domain,306,233,73,1,1,,
old_data,domain+task_l6_label,44,34,10,0,0,A,
old_data,domain+task_l6_label,50,43,7,0,0,AB,
old_data,domain+task_l6_label,50,43,7,0,0,B1,
old_data,domain+task_l6_label,60,50,10,0,0,B2,
old_data,domain+task_l6_label,24,17,7,0,0,B3,
old_data,domain+task_l6_label,57,48,9,0,0,TC,
strict_external,domain+task_l6_label,8,5,3,0,0,A,
strict_external,domain+task_l6_label,39,26,13,0,0,AB,
strict_external,domain+task_l6_label,11,11,0,0,0,B1,
strict_external,domain+task_l6_label,1,0,1,0,0,B1_B2_mixed,
strict_external,domain+task_l6_label,28,8,20,0,0,B2,
strict_external,domain+task_l6_label,3,1,2,0,0,B2_B3_mixed,
strict_external,domain+task_l6_label,10,2,8,0,0,B3,
strict_external,domain+task_l6_label,3,2,1,0,0,MNT_assumed_low,
strict_external,domain+task_l6_label,5,2,3,0,0,TC,
third_batch,domain+task_l6_label,212,165,47,0,0,AB,
third_batch,domain+task_l6_label,12,11,1,0,0,B1,
third_batch,domain+task_l6_label,29,16,13,0,0,B2,
third_batch,domain+task_l6_label,53,41,12,1,1,TC,
old_data,domain+label_idx,144,120,24,0,0,,0.0
old_data,domain+label_idx,141,115,26,0,0,,1.0
strict_external,domain+label_idx,61,44,17,0,0,,0.0
strict_external,domain+label_idx,47,13,34,0,0,,1.0
third_batch,domain+label_idx,224,176,48,0,0,,0.0
third_batch,domain+label_idx,82,57,25,1,1,,1.0
