audit_domain,risk_score,release_fraction_of_v195_review,n_folds,total_cases,released_n_sum,released_error_n_sum,released_error_n_max,released_high_risk_fn_n_sum,released_high_risk_fn_n_max,remaining_review_or_reject_n_sum,auto_error_n_sum,auto_error_n_max,auto_high_risk_fn_n_sum,auto_high_risk_fn_n_max,review_or_reject_rate_mean,review_or_reject_rate_max,balanced_accuracy_mean,balanced_accuracy_min
old_data,model_disagreement_rate,0.5,5,285,36,0,0,0,0,39,0,0,0,0,0.13684210526315788,0.15789473684210525,1.0,1.0
old_data,safe_distance_case_score,0.5,5,285,36,0,0,0,0,39,0,0,0,0,0.13684210526315788,0.15789473684210525,1.0,1.0
old_data,safe_distance_full_score,0.5,5,285,36,0,0,0,0,39,0,0,0,0,0.13684210526315788,0.15789473684210525,1.0,1.0
old_data,hybrid_score,0.4,5,285,29,0,0,0,0,46,0,0,0,0,0.16140350877192983,0.19298245614035087,1.0,1.0
old_data,model_disagreement_rate,0.4,5,285,29,0,0,0,0,46,0,0,0,0,0.16140350877192983,0.19298245614035087,1.0,1.0
old_data,router_risk_mean,0.4,5,285,29,0,0,0,0,46,0,0,0,0,0.16140350877192983,0.19298245614035087,1.0,1.0
old_data,safe_distance_case_score,0.4,5,285,29,0,0,0,0,46,0,0,0,0,0.16140350877192983,0.19298245614035087,1.0,1.0
old_data,safe_distance_full_score,0.4,5,285,29,0,0,0,0,46,0,0,0,0,0.16140350877192983,0.19298245614035087,1.0,1.0
old_data,hybrid_score,0.3,5,285,20,0,0,0,0,55,0,0,0,0,0.19298245614035087,0.22807017543859648,1.0,1.0
old_data,model_disagreement_rate,0.3,5,285,20,0,0,0,0,55,0,0,0,0,0.19298245614035087,0.22807017543859648,1.0,1.0
old_data,router_risk_mean,0.3,5,285,20,0,0,0,0,55,0,0,0,0,0.19298245614035087,0.22807017543859648,1.0,1.0
old_data,safe_distance_case_score,0.3,5,285,20,0,0,0,0,55,0,0,0,0,0.19298245614035087,0.22807017543859648,1.0,1.0
old_data,safe_distance_full_score,0.3,5,285,20,0,0,0,0,55,0,0,0,0,0.19298245614035087,0.22807017543859648,1.0,1.0
old_data,hybrid_score,0.25,5,285,16,0,0,0,0,59,0,0,0,0,0.2070175438596491,0.24561403508771928,1.0,1.0
old_data,model_disagreement_rate,0.25,5,285,16,0,0,0,0,59,0,0,0,0,0.2070175438596491,0.24561403508771928,1.0,1.0
