audit_domain,risk_score,threshold,n_folds,total_cases,released_n_sum,released_error_n_sum,released_error_n_max,released_high_risk_fn_n_sum,released_high_risk_fn_n_max,remaining_review_or_reject_n_sum,auto_error_n_sum,auto_high_risk_fn_n_sum,review_or_reject_rate_mean,balanced_accuracy_min
old_data,model_disagreement_rate,0.3333333333333333,5,285,47,0,0,0,0,28,0,0,0.09824561403508772,1.0
old_data,model_disagreement_rate,0.25,5,285,42,0,0,0,0,33,0,0,0.11578947368421053,1.0
old_data,model_disagreement_rate,0.1666666666666666,5,285,32,0,0,0,0,43,0,0,0.1508771929824561,1.0
old_data,model_disagreement_rate,0.0833333333333333,5,285,20,0,0,0,0,55,0,0,0.19298245614035087,1.0
old_data,model_disagreement_rate,0.0,5,285,17,0,0,0,0,58,0,0,0.20350877192982458,1.0
old_data,model_disagreement_rate,0.6666666666666666,5,285,75,1,1,0,0,0,1,0,0.0,0.9821428571428572
old_data,model_disagreement_rate,0.5833333333333334,5,285,74,1,1,0,0,1,1,0,0.003508771929824561,0.9821428571428572
old_data,model_disagreement_rate,0.5,5,285,71,1,1,0,0,4,1,0,0.014035087719298244,0.9821428571428572
old_data,model_disagreement_rate,0.4166666666666667,5,285,51,1,1,0,0,24,1,0,0.08421052631578947,0.9821428571428572
third_batch,model_disagreement_rate,0.0,5,306,36,2,1,2,1,85,3,3,0.27757800105764147,0.96875
third_batch,model_disagreement_rate,0.0833333333333333,5,306,50,5,2,4,1,71,6,5,0.23172924378635643,0.9375
third_batch,model_disagreement_rate,0.3333333333333333,5,306,87,6,2,5,1,34,7,6,0.11110523532522476,0.9375
third_batch,model_disagreement_rate,0.25,5,306,74,6,2,5,1,47,7,6,0.15346377578001058,0.9375
third_batch,model_disagreement_rate,0.1666666666666666,5,306,61,6,2,5,1,60,7,6,0.1959280803807509,0.9375
third_batch,model_disagreement_rate,0.5,5,306,110,7,2,6,2,11,8,7,0.0360655737704918,0.9375
third_batch,model_disagreement_rate,0.4166666666666667,5,306,97,7,2,6,2,24,8,7,0.07852987837123215,0.9375
third_batch,model_disagreement_rate,0.5833333333333334,5,306,121,8,3,6,2,0,9,7,0.0,0.9375
third_batch,model_disagreement_rate,0.6666666666666666,5,306,121,8,3,6,2,0,9,7,0.0,0.9375
