base_name,base_idx,threshold_objective,threshold,train_accuracy,train_balanced_accuracy,train_f1,train_tn,train_fp,train_fn,train_tp,train_auc,old_oof_accuracy,old_oof_balanced_accuracy,old_oof_f1,old_oof_tn,old_oof_fp,old_oof_fn,old_oof_tp,old_oof_auc,adapt_oof_accuracy,adapt_oof_balanced_accuracy,adapt_oof_f1,adapt_oof_tn,adapt_oof_fp,adapt_oof_fn,adapt_oof_tp,adapt_oof_auc,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_tn,holdout_fp,holdout_fn,holdout_tp,holdout_auc
adapt_r4_c0.003,14,balanced_accuracy,0.5499999999999999,0.6974789915966386,0.6989157762413576,0.6931818181818182,127,45,63,122,0.7502514142049026,0.7052631578947368,0.7047133569739953,0.6865671641791045,109,35,49,92,0.754580378250591,0.6666666666666666,0.6623376623376623,0.7142857142857143,18,10,14,30,0.7272727272727272,0.7435897435897436,0.6666219119226638,0.4117647058823529,153,43,17,21,0.7148227712137486
adapt_r4_c0.003,14,accuracy,0.5499999999999999,0.6974789915966386,0.6989157762413576,0.6931818181818182,127,45,63,122,0.7502514142049026,0.7052631578947368,0.7047133569739953,0.6865671641791045,109,35,49,92,0.754580378250591,0.6666666666666666,0.6623376623376623,0.7142857142857143,18,10,14,30,0.7272727272727272,0.7435897435897436,0.6666219119226638,0.4117647058823529,153,43,17,21,0.7148227712137486
adapt_r2_c0.01,11,balanced_accuracy,0.61,0.6834733893557423,0.6847894406033941,0.6798866855524079,124,48,65,120,0.7301382778126964,0.7052631578947368,0.7047872340425532,0.6888888888888889,108,36,48,93,0.7432033096926715,0.5972222222222222,0.5925324675324675,0.6506024096385542,16,12,17,27,0.6680194805194805,0.7606837606837606,0.6556122448979591,0.40425531914893614,159,37,19,19,0.7046186895810956
adapt_r2_c0.01,11,accuracy,0.61,0.6834733893557423,0.6847894406033941,0.6798866855524079,124,48,65,120,0.7301382778126964,0.7052631578947368,0.7047872340425532,0.6888888888888889,108,36,48,93,0.7432033096926715,0.5972222222222222,0.5925324675324675,0.6506024096385542,16,12,17,27,0.6680194805194805,0.7606837606837606,0.6556122448979591,0.40425531914893614,159,37,19,19,0.7046186895810956
oldonly_c0.001,1,balanced_accuracy,0.59,0.6750700280112045,0.6809710873664363,0.6233766233766234,145,27,89,96,0.7246071653048398,0.7087719298245614,0.7074468085106382,0.6639676113360324,120,24,59,82,0.7590130023640662,0.5416666666666666,0.6055194805194806,0.45901639344262296,25,3,30,14,0.5868506493506493,0.8247863247863247,0.6726638023630505,0.4533333333333333,176,20,21,17,0.699516648764769
oldonly_c0.001,1,accuracy,0.5599999999999999,0.6750700280112045,0.6793368950345695,0.6419753086419753,137,35,81,104,0.7246071653048398,0.7157894736842105,0.7149083924349882,0.6872586872586872,115,29,52,89,0.7590130023640662,0.5138888888888888,0.5633116883116883,0.46153846153846156,22,6,29,15,0.5868506493506493,0.8162393162393162,0.667561761546724,0.44155844155844154,174,22,21,17,0.699516648764769
adapt_r1_c0.001,5,balanced_accuracy,0.5199999999999999,0.6778711484593838,0.678362664990572,0.6814404432132964,119,53,62,123,0.7335009428032684,0.6736842105263158,0.6735372340425532,0.6666666666666666,99,45,48,93,0.7321217494089834,0.6944444444444444,0.698051948051948,0.7317073170731707,20,8,14,30,0.739448051948052,0.7350427350427351,0.6509129967776583,0.39215686274509803,152,44,18,20,0.736439312567132
oldonly_c0.003,2,balanced_accuracy,0.4099999999999999,0.680672268907563,0.6782055311125079,0.7076923076923077,105,67,47,138,0.7285040854808297,0.7228070175438597,0.7238475177304964,0.7459807073954984,90,54,25,116,0.7700945626477541,0.5138888888888888,0.5178571428571428,0.5569620253164557,15,13,22,22,0.5698051948051948,0.6623931623931624,0.6393662728249194,0.368,132,64,15,23,0.6825993555316863
oldonly_c0.003,2,accuracy,0.4099999999999999,0.680672268907563,0.6782055311125079,0.7076923076923077,105,67,47,138,0.7285040854808297,0.7228070175438597,0.7238475177304964,0.7459807073954984,90,54,25,116,0.7700945626477541,0.5138888888888888,0.5178571428571428,0.5569620253164557,15,13,22,22,0.5698051948051948,0.6623931623931624,0.6393662728249194,0.368,132,64,15,23,0.6825993555316863
adapt_r2_c0.001,9,balanced_accuracy,0.5399999999999999,0.6778711484593838,0.6777498428661219,0.6866485013623979,116,56,59,126,0.7215901948460088,0.6701754385964912,0.670065011820331,0.6642857142857143,98,46,48,93,0.730003940110323,0.7083333333333334,0.6964285714285714,0.7586206896551724,18,10,11,33,0.6712662337662338,0.7393162393162394,0.6534640171858217,0.39603960396039606,153,43,18,20,0.7360365198711063
