feature_model,global_pool,input_variant,image_size,estimator,weight_mode,objective,all_threshold,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_sensitivity_high,all_specificity_low,all_auc,old_threshold,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_sensitivity_high,old_specificity_low,old_auc,third_threshold,third_accuracy,third_balanced_accuracy,third_f1,third_tn,third_fp,third_fn,third_tp,third_sensitivity_high,third_specificity_low,third_auc,selection_score,old_guard_090,old_guard_092
vit_so400m_patch14_siglip_378.v2_webli,avg,whole_plus_crop,378,logreg_bal_c0.1,domain_label,high_sensitivity,0.32999999999999996,0.676818950930626,0.6892486352115422,0.6333973128598849,235,133,58,165,0.7399103139013453,0.6385869565217391,0.7508529927861181,0.32999999999999996,0.6736842105263158,0.6745715130023641,0.6970684039087948,85,59,34,107,0.7588652482269503,0.5902777777777778,0.7303979511426321,0.32999999999999996,0.6797385620915033,0.6884799651567943,0.5420560747663551,150,74,24,58,0.7073170731707317,0.6696428571428571,0.7535932055749128,0.45328420849762696,False,False
vit_so400m_patch14_siglip_378.v2_webli,avg,whole_plus_crop,378,logreg_plain_c0.1,domain_label,high_sensitivity,0.33499999999999996,0.676818950930626,0.6892486352115422,0.6333973128598849,235,133,58,165,0.7399103139013453,0.6385869565217391,0.7507920647299667,0.33499999999999996,0.6736842105263158,0.6745715130023641,0.6970684039087948,85,59,34,107,0.7588652482269503,0.5902777777777778,0.7303486997635934,0.33499999999999996,0.6797385620915033,0.6884799651567943,0.5420560747663551,150,74,24,58,0.7073170731707317,0.6696428571428571,0.7533754355400698,0.45328420849762696,False,False
vit_so400m_patch14_siglip_378.v2_webli,avg,whole_plus_crop,378,logreg_bal_c0.1,none,high_sensitivity,0.33999999999999997,0.676818950930626,0.6883651783973483,0.6319845857418112,236,132,59,164,0.7354260089686099,0.6413043478260869,0.751169818678105,0.33999999999999997,0.6736842105263158,0.6744976359338062,0.6950819672131148,86,58,35,106,0.75177304964539,0.5972222222222222,0.7295606776989756,0.33999999999999997,0.6797385620915033,0.6884799651567943,0.5420560747663551,150,74,24,58,0.7073170731707317,0.6696428571428571,0.7546820557491289,0.4532620453770597,False,False
vit_so400m_patch14_siglip_378.v2_webli,avg,whole_plus_crop,378,logreg_bal_c0.1,label,high_sensitivity,0.33999999999999997,0.676818950930626,0.6883651783973483,0.6319845857418112,236,132,59,164,0.7354260089686099,0.6413043478260869,0.751169818678105,0.33999999999999997,0.6736842105263158,0.6744976359338062,0.6950819672131148,86,58,35,106,0.75177304964539,0.5972222222222222,0.7295606776989756,0.33999999999999997,0.6797385620915033,0.6884799651567943,0.5420560747663551,150,74,24,58,0.7073170731707317,0.6696428571428571,0.7546820557491289,0.4532620453770597,False,False
vit_so400m_patch14_siglip_378.v2_webli,avg,whole_plus_crop,378,logreg_plain_c0.1,label,high_sensitivity,0.33999999999999997,0.676818950930626,0.6883651783973483,0.6319845857418112,236,132,59,164,0.7354260089686099,0.6413043478260869,0.751169818678105,0.33999999999999997,0.6736842105263158,0.6744976359338062,0.6950819672131148,86,58,35,106,0.75177304964539,0.5972222222222222,0.7295606776989756,0.33999999999999997,0.6797385620915033,0.6884799651567943,0.5420560747663551,150,74,24,58,0.7073170731707317,0.6696428571428571,0.7546820557491289,0.4532620453770597,False,False
vit_so400m_patch14_siglip_378.v2_webli,avg,whole_plus_crop,378,logreg_plain_c0.1,none,balanced_accuracy,0.32999999999999996,0.6920473773265652,0.6944092415675571,0.6330645161290323,252,116,66,157,0.7040358744394619,0.6847826086956522,0.753009845973874,0.32999999999999996,0.6807017543859649,0.6811465721040189,0.6915254237288135,92,52,39,102,0.723404255319149,0.6388888888888888,0.7340425531914894,0.32999999999999996,0.7026143790849673,0.6925087108013938,0.5472636815920398,160,64,27,55,0.6707317073170732,0.7142857142857143,0.7536476480836237,0.4401932732688484,False,False
vit_so400m_patch14_siglip_378.v2_webli,avg,whole_plus_crop,378,logreg_plain_c0.3,none,balanced_accuracy,0.24999999999999994,0.6835871404399323,0.6902661337492688,0.631163708086785,244,124,63,160,0.7174887892376681,0.6630434782608695,0.7476603626437901,0.24999999999999994,0.6736842105263158,0.6743498817966903,0.6910299003322259,88,56,37,104,0.7375886524822695,0.6111111111111112,0.727836879432624,0.24999999999999994,0.6928104575163399,0.689677700348432,0.5436893203883495,156,68,26,56,0.6829268292682927,0.6964285714285714,0.7481489547038328,0.4391182480466763,False,False
vit_so400m_patch14_siglip_378.v2_webli,avg,whole_plus_crop,378,logreg_bal_c0.1,domain_label,balanced_accuracy,0.38999999999999996,0.6903553299492385,0.6957009163579645,0.6361829025844931,248,120,63,160,0.7174887892376681,0.6739130434782609,0.7508529927861181,0.38999999999999996,0.6807017543859649,0.6813682033096926,0.6976744186046512,89,55,36,105,0.7446808510638298,0.6180555555555556,0.7303979511426321,0.38999999999999996,0.6993464052287581,0.6902765679442509,0.5445544554455446,159,65,27,55,0.6707317073170732,0.7098214285714286,0.7535932055749128,0.43893652500216584,False,False
vit_so400m_patch14_siglip_378.v2_webli,avg,whole_plus_crop,378,logreg_plain_c0.1,domain_label,balanced_accuracy,0.38999999999999996,0.6903553299492385,0.6957009163579645,0.6361829025844931,248,120,63,160,0.7174887892376681,0.6739130434782609,0.7507920647299667,0.38999999999999996,0.6807017543859649,0.6813682033096926,0.6976744186046512,89,55,36,105,0.7446808510638298,0.6180555555555556,0.7303486997635934,0.38999999999999996,0.6993464052287581,0.6902765679442509,0.5445544554455446,159,65,27,55,0.6707317073170732,0.7098214285714286,0.7533754355400698,0.43893652500216584,False,False
vit_so400m_patch14_siglip_378.v2_webli,avg,whole_plus_crop,378,logreg_bal_c0.003,domain_label_third_up,high_sensitivity,0.4699999999999999,0.6818950930626058,0.6950916357964516,0.6398467432950191,236,132,56,167,0.7488789237668162,0.6413043478260869,0.7546427178787287,0.4699999999999999,0.656140350877193,0.6573581560283688,0.689873417721519,78,66,32,109,0.7730496453900709,0.5416666666666666,0.7172478329393224,0.4699999999999999,0.7058823529411765,0.7063371080139373,0.5631067961165048,158,66,24,58,0.7073170731707317,0.7053571428571429,0.7707970383275262,0.43765347085355877,False,False
