feature_set,model,weight_mode,objective,all_threshold,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_sensitivity_high,all_specificity_low,all_auc,old_threshold,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_sensitivity_high,old_specificity_low,old_auc,third_threshold,third_accuracy,third_balanced_accuracy,third_f1,third_tn,third_fp,third_fn,third_tp,third_sensitivity_high,third_specificity_low,third_auc,adapt_threshold,adapt_accuracy,adapt_balanced_accuracy,adapt_f1,adapt_tn,adapt_fp,adapt_fn,adapt_tp,adapt_sensitivity_high,adapt_specificity_low,adapt_auc,holdout_threshold,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_tn,holdout_fp,holdout_fn,holdout_tp,holdout_sensitivity_high,holdout_specificity_low,holdout_auc,old_guard_092,old_guard_090,selection_score
prob_only,logreg_bal_c0.01,none,old_third_balanced,0.4699999999999999,0.8477157360406091,0.845912945993371,0.8060344827586207,314,54,36,187,0.8385650224215246,0.8532608695652174,0.8993468512380581,0.4699999999999999,0.9122807017543859,0.9123817966903074,0.9122807017543859,130,14,11,130,0.9219858156028369,0.9027777777777778,0.9486800630417651,0.4699999999999999,0.7875816993464052,0.7582752613240418,0.6368715083798883,184,40,25,57,0.6951219512195121,0.8214285714285714,0.8058035714285715,0.4699999999999999,0.6666666666666666,0.6233766233766234,0.75,12,16,8,36,0.8181818181818182,0.42857142857142855,0.724025974025974,0.4699999999999999,0.8247863247863247,0.7150912996777659,0.5060240963855421,172,24,17,21,0.5526315789473685,0.8775510204081632,0.7136143931256713,False,True,0.8182441434908434
prob_only,logreg_bal_c0.01,none,accuracy,0.63,0.8663282571912013,0.8431894618834082,0.8087167070217918,345,23,56,167,0.7488789237668162,0.9375,0.8993468512380581,0.63,0.9087719298245615,0.9085401891252955,0.9057971014492754,134,10,16,125,0.8865248226950354,0.9305555555555556,0.9486800630417651,0.63,0.826797385620915,0.7270797038327526,0.6131386861313869,211,13,40,42,0.5121951219512195,0.9419642857142857,0.8058035714285715,0.63,0.6527777777777778,0.663961038961039,0.6835443037974683,20,8,17,27,0.6136363636363636,0.7142857142857143,0.724025974025974,0.63,0.8803418803418803,0.6846133190118153,0.5172413793103449,191,5,23,15,0.39473684210526316,0.9744897959183674,0.7136143931256713,False,True,0.800585143129849
prob_only,logreg_bal_c0.01,none,high_sensitivity,0.4699999999999999,0.8477157360406091,0.845912945993371,0.8060344827586207,314,54,36,187,0.8385650224215246,0.8532608695652174,0.8993468512380581,0.4699999999999999,0.9122807017543859,0.9123817966903074,0.9122807017543859,130,14,11,130,0.9219858156028369,0.9027777777777778,0.9486800630417651,0.4699999999999999,0.7875816993464052,0.7582752613240418,0.6368715083798883,184,40,25,57,0.6951219512195121,0.8214285714285714,0.8058035714285715,0.4699999999999999,0.6666666666666666,0.6233766233766234,0.75,12,16,8,36,0.8181818181818182,0.42857142857142855,0.724025974025974,0.4699999999999999,0.8247863247863247,0.7150912996777659,0.5060240963855421,172,24,17,21,0.5526315789473685,0.8775510204081632,0.7136143931256713,False,True,0.8182441434908434
prob_only,logreg_bal_c0.01,label,old_third_balanced,0.4699999999999999,0.8477157360406091,0.845912945993371,0.8060344827586207,314,54,36,187,0.8385650224215246,0.8532608695652174,0.8993468512380581,0.4699999999999999,0.9122807017543859,0.9123817966903074,0.9122807017543859,130,14,11,130,0.9219858156028369,0.9027777777777778,0.9486800630417651,0.4699999999999999,0.7875816993464052,0.7582752613240418,0.6368715083798883,184,40,25,57,0.6951219512195121,0.8214285714285714,0.8058035714285715,0.4699999999999999,0.6666666666666666,0.6233766233766234,0.75,12,16,8,36,0.8181818181818182,0.42857142857142855,0.724025974025974,0.4699999999999999,0.8247863247863247,0.7150912996777659,0.5060240963855421,172,24,17,21,0.5526315789473685,0.8775510204081632,0.7136143931256713,False,True,0.8182441434908434
prob_only,logreg_bal_c0.01,label,accuracy,0.63,0.8663282571912013,0.8431894618834082,0.8087167070217918,345,23,56,167,0.7488789237668162,0.9375,0.8993468512380581,0.63,0.9087719298245615,0.9085401891252955,0.9057971014492754,134,10,16,125,0.8865248226950354,0.9305555555555556,0.9486800630417651,0.63,0.826797385620915,0.7270797038327526,0.6131386861313869,211,13,40,42,0.5121951219512195,0.9419642857142857,0.8058035714285715,0.63,0.6527777777777778,0.663961038961039,0.6835443037974683,20,8,17,27,0.6136363636363636,0.7142857142857143,0.724025974025974,0.63,0.8803418803418803,0.6846133190118153,0.5172413793103449,191,5,23,15,0.39473684210526316,0.9744897959183674,0.7136143931256713,False,True,0.800585143129849
prob_only,logreg_bal_c0.01,label,high_sensitivity,0.4699999999999999,0.8477157360406091,0.845912945993371,0.8060344827586207,314,54,36,187,0.8385650224215246,0.8532608695652174,0.8993468512380581,0.4699999999999999,0.9122807017543859,0.9123817966903074,0.9122807017543859,130,14,11,130,0.9219858156028369,0.9027777777777778,0.9486800630417651,0.4699999999999999,0.7875816993464052,0.7582752613240418,0.6368715083798883,184,40,25,57,0.6951219512195121,0.8214285714285714,0.8058035714285715,0.4699999999999999,0.6666666666666666,0.6233766233766234,0.75,12,16,8,36,0.8181818181818182,0.42857142857142855,0.724025974025974,0.4699999999999999,0.8247863247863247,0.7150912996777659,0.5060240963855421,172,24,17,21,0.5526315789473685,0.8775510204081632,0.7136143931256713,False,True,0.8182441434908434
prob_only,logreg_bal_c0.01,domain_label,old_third_balanced,0.4699999999999999,0.8460236886632826,0.8445542503411971,0.8043010752688172,313,55,36,187,0.8385650224215246,0.8505434782608695,0.8992371807369859,0.4699999999999999,0.9122807017543859,0.9123817966903074,0.9122807017543859,130,14,11,130,0.9219858156028369,0.9027777777777778,0.9489755713159969,0.4699999999999999,0.7843137254901961,0.756043118466899,0.6333333333333333,183,41,25,57,0.6951219512195121,0.8169642857142857,0.8045513937282229,0.4699999999999999,0.6666666666666666,0.6233766233766234,0.75,12,16,8,36,0.8181818181818182,0.42857142857142855,0.7207792207792207,0.4699999999999999,0.8205128205128205,0.7125402792696026,0.5,171,25,17,21,0.5526315789473685,0.8724489795918368,0.7128088077336198,False,True,0.8169950188409834
prob_only,logreg_bal_c0.01,domain_label,accuracy,0.625,0.8663282571912013,0.8431894618834082,0.8087167070217918,345,23,56,167,0.7488789237668162,0.9375,0.8992371807369859,0.625,0.9087719298245615,0.9085401891252955,0.9057971014492754,134,10,16,125,0.8865248226950354,0.9305555555555556,0.9489755713159969,0.625,0.826797385620915,0.7270797038327526,0.6131386861313869,211,13,40,42,0.5121951219512195,0.9419642857142857,0.8045513937282229,0.625,0.6527777777777778,0.663961038961039,0.6835443037974683,20,8,17,27,0.6136363636363636,0.7142857142857143,0.7207792207792207,0.625,0.8803418803418803,0.6846133190118153,0.5172413793103449,191,5,23,15,0.39473684210526316,0.9744897959183674,0.7128088077336198,False,True,0.800585143129849
prob_only,logreg_bal_c0.01,domain_label,high_sensitivity,0.4699999999999999,0.8460236886632826,0.8445542503411971,0.8043010752688172,313,55,36,187,0.8385650224215246,0.8505434782608695,0.8992371807369859,0.4699999999999999,0.9122807017543859,0.9123817966903074,0.9122807017543859,130,14,11,130,0.9219858156028369,0.9027777777777778,0.9489755713159969,0.4699999999999999,0.7843137254901961,0.756043118466899,0.6333333333333333,183,41,25,57,0.6951219512195121,0.8169642857142857,0.8045513937282229,0.4699999999999999,0.6666666666666666,0.6233766233766234,0.75,12,16,8,36,0.8181818181818182,0.42857142857142855,0.7207792207792207,0.4699999999999999,0.8205128205128205,0.7125402792696026,0.5,171,25,17,21,0.5526315789473685,0.8724489795918368,0.7128088077336198,False,True,0.8169950188409834
prob_only,logreg_bal_c0.01,domain_label_third_up,old_third_balanced,0.6399999999999999,0.8697123519458545,0.8467903100019496,0.8135593220338984,346,22,55,168,0.7533632286995515,0.9402173913043478,0.8992249951257555,0.6399999999999999,0.9087719298245615,0.9085401891252955,0.9057971014492754,134,10,16,125,0.8865248226950354,0.9305555555555556,0.9457249802994483,0.6399999999999999,0.8333333333333334,0.7354094076655052,0.6277372262773723,212,12,39,43,0.524390243902439,0.9464285714285714,0.8120100174216027,0.6399999999999999,0.6666666666666666,0.6753246753246753,0.7,20,8,16,28,0.6363636363636364,0.7142857142857143,0.7288961038961038,0.6399999999999999,0.8846153846153846,0.6871643394199785,0.5263157894736842,192,4,23,15,0.39473684210526316,0.9795918367346939,0.7162996777658431,False,True,0.8043976345898476
