feature_set,model,weight_mode,objective,all_threshold,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_sensitivity_high,all_specificity_low,all_auc,old_threshold,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_sensitivity_high,old_specificity_low,old_auc,third_threshold,third_accuracy,third_balanced_accuracy,third_f1,third_tn,third_fp,third_fn,third_tp,third_sensitivity_high,third_specificity_low,third_auc,adapt_threshold,adapt_accuracy,adapt_balanced_accuracy,adapt_f1,adapt_tn,adapt_fp,adapt_fn,adapt_tp,adapt_sensitivity_high,adapt_specificity_low,adapt_auc,holdout_threshold,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_tn,holdout_fp,holdout_fn,holdout_tp,holdout_sensitivity_high,holdout_specificity_low,holdout_auc,old_guard_092,old_guard_090,selection_score
prob_only,extra_d4,domain_label_third_up,old_third_balanced,0.585,0.871404399323181,0.8605174010528368,0.8272727272727273,333,35,41,182,0.8161434977578476,0.904891304347826,0.899724605186196,0.585,0.9228070175438596,0.9227245862884161,0.9214285714285714,134,10,12,129,0.9148936170212766,0.9305555555555556,0.9452324665090622,0.585,0.8235294117647058,0.7673671602787456,0.6625,199,25,29,53,0.6463414634146342,0.8883928571428571,0.8157121080139373,0.585,0.7083333333333334,0.6964285714285714,0.7586206896551724,18,10,11,33,0.75,0.6428571428571429,0.7224025974025974,0.585,0.8589743589743589,0.7248925886143931,0.547945205479452,181,15,18,20,0.5263157894736842,0.923469387755102,0.7406015037593984,True,True,0.8550361499548882
prob_only,extra_d4,domain_label_third_up,accuracy,0.585,0.871404399323181,0.8605174010528368,0.8272727272727273,333,35,41,182,0.8161434977578476,0.904891304347826,0.899724605186196,0.585,0.9228070175438596,0.9227245862884161,0.9214285714285714,134,10,12,129,0.9148936170212766,0.9305555555555556,0.9452324665090622,0.585,0.8235294117647058,0.7673671602787456,0.6625,199,25,29,53,0.6463414634146342,0.8883928571428571,0.8157121080139373,0.585,0.7083333333333334,0.6964285714285714,0.7586206896551724,18,10,11,33,0.75,0.6428571428571429,0.7224025974025974,0.585,0.8589743589743589,0.7248925886143931,0.547945205479452,181,15,18,20,0.5263157894736842,0.923469387755102,0.7406015037593984,True,True,0.8550361499548882
prob_only,extra_d4,domain_label_third_up,high_sensitivity,0.585,0.871404399323181,0.8605174010528368,0.8272727272727273,333,35,41,182,0.8161434977578476,0.904891304347826,0.899724605186196,0.585,0.9228070175438596,0.9227245862884161,0.9214285714285714,134,10,12,129,0.9148936170212766,0.9305555555555556,0.9452324665090622,0.585,0.8235294117647058,0.7673671602787456,0.6625,199,25,29,53,0.6463414634146342,0.8883928571428571,0.8157121080139373,0.585,0.7083333333333334,0.6964285714285714,0.7586206896551724,18,10,11,33,0.75,0.6428571428571429,0.7224025974025974,0.585,0.8589743589743589,0.7248925886143931,0.547945205479452,181,15,18,20,0.5263157894736842,0.923469387755102,0.7406015037593984,True,True,0.8550361499548882
prob_dino_wpc64,extra_d4,domain_label_third_up,old_third_balanced,0.59,0.868020304568528,0.8560330961201014,0.821917808219178,333,35,43,180,0.8071748878923767,0.904891304347826,0.8951184441411582,0.59,0.9228070175438596,0.9227245862884161,0.9214285714285714,134,10,12,129,0.9148936170212766,0.9305555555555556,0.9476457840819543,0.59,0.8169934640522876,0.7551720383275261,0.6455696202531646,199,25,31,51,0.6219512195121951,0.8883928571428571,0.8076546167247387,0.59,0.6944444444444444,0.6915584415584416,0.7380952380952381,19,9,13,31,0.7045454545454546,0.6785714285714286,0.7288961038961039,0.59,0.8547008547008547,0.7223415682062299,0.5405405405405406,180,16,18,20,0.5263157894736842,0.9183673469387755,0.7345596133190118,True,True,0.8499094163346108
prob_dino_wpc64,extra_d4,domain_label_third_up,high_sensitivity,0.59,0.868020304568528,0.8560330961201014,0.821917808219178,333,35,43,180,0.8071748878923767,0.904891304347826,0.8951184441411582,0.59,0.9228070175438596,0.9227245862884161,0.9214285714285714,134,10,12,129,0.9148936170212766,0.9305555555555556,0.9476457840819543,0.59,0.8169934640522876,0.7551720383275261,0.6455696202531646,199,25,31,51,0.6219512195121951,0.8883928571428571,0.8076546167247387,0.59,0.6944444444444444,0.6915584415584416,0.7380952380952381,19,9,13,31,0.7045454545454546,0.6785714285714286,0.7288961038961039,0.59,0.8547008547008547,0.7223415682062299,0.5405405405405406,180,16,18,20,0.5263157894736842,0.9183673469387755,0.7345596133190118,True,True,0.8499094163346108
prob_only,extra_d4,label,old_third_balanced,0.575,0.8646362098138748,0.8541991616299474,0.8190045248868778,330,38,42,181,0.8116591928251121,0.8967391304347826,0.9006141548060052,0.575,0.9228070175438596,0.9227245862884161,0.9214285714285714,134,10,12,129,0.9148936170212766,0.9305555555555556,0.9472025216706069,0.575,0.8104575163398693,0.7545731707317074,0.6419753086419753,196,28,30,52,0.6341463414634146,0.875,0.811683362369338,0.575,0.6944444444444444,0.6850649350649352,0.7441860465116279,18,10,12,32,0.7272727272727273,0.6428571428571429,0.7175324675324675,0.575,0.8461538461538461,0.7172395273899033,0.5263157894736842,178,18,18,20,0.5263157894736842,0.9081632653061225,0.7387218045112782,True,True,0.8487254091951697
prob_only,extra_d4,label,high_sensitivity,0.575,0.8646362098138748,0.8541991616299474,0.8190045248868778,330,38,42,181,0.8116591928251121,0.8967391304347826,0.9006141548060052,0.575,0.9228070175438596,0.9227245862884161,0.9214285714285714,134,10,12,129,0.9148936170212766,0.9305555555555556,0.9472025216706069,0.575,0.8104575163398693,0.7545731707317074,0.6419753086419753,196,28,30,52,0.6341463414634146,0.875,0.811683362369338,0.575,0.6944444444444444,0.6850649350649352,0.7441860465116279,18,10,12,32,0.7272727272727273,0.6428571428571429,0.7175324675324675,0.575,0.8461538461538461,0.7172395273899033,0.5263157894736842,178,18,18,20,0.5263157894736842,0.9081632653061225,0.7387218045112782,True,True,0.8487254091951697
prob_only,extra_d4,domain_label,high_sensitivity,0.58,0.8629441624365483,0.8519570091635796,0.8163265306122449,330,38,43,180,0.8071748878923767,0.8967391304347826,0.9006872684733866,0.58,0.9228070175438596,0.9227245862884161,0.9214285714285714,134,10,12,129,0.9148936170212766,0.9305555555555556,0.9486800630417652,0.58,0.8071895424836601,0.7484756097560976,0.6335403726708074,196,28,31,51,0.6219512195121951,0.875,0.809723432055749,0.58,0.6805555555555556,0.6737012987012987,0.7294117647058823,18,10,13,31,0.7045454545454546,0.6428571428571429,0.7150974025974026,0.58,0.8461538461538461,0.7172395273899033,0.5263157894736842,178,18,18,20,0.5263157894736842,0.9081632653061225,0.7363050483351234,True,True,0.8461620423850309
prob_only,extra_d4,domain_label,old_third_balanced,0.605,0.868020304568528,0.8533827256775199,0.8194444444444444,336,32,46,177,0.7937219730941704,0.9130434782608695,0.9006872684733866,0.605,0.9228070175438596,0.9227245862884161,0.9214285714285714,134,10,12,129,0.9148936170212766,0.9305555555555556,0.9486800630417652,0.605,0.8169934640522876,0.7435757839721254,0.631578947368421,202,22,34,48,0.5853658536585366,0.9017857142857143,0.809723432055749,0.605,0.6666666666666666,0.6753246753246753,0.7,20,8,16,28,0.6363636363636364,0.7142857142857143,0.7150974025974026,0.605,0.8632478632478633,0.7274436090225564,0.5555555555555556,182,14,18,20,0.5263157894736842,0.9285714285714286,0.7363050483351234,True,True,0.8459666898537745
prob_dino_wpc64,extra_d4,domain_label_third_up,accuracy,0.6,0.8697123519458545,0.8547414213296939,0.8213457076566125,337,31,46,177,0.7937219730941704,0.9157608695652174,0.8951184441411582,0.6,0.9192982456140351,0.9191784869976359,0.9175627240143369,134,10,13,128,0.9078014184397163,0.9305555555555556,0.9476457840819543,0.6,0.8235294117647058,0.7519054878048781,0.6447368421052632,203,21,33,49,0.5975609756097561,0.90625,0.8076546167247387,0.6,0.6805555555555556,0.6866883116883117,0.7160493827160493,20,8,15,29,0.6590909090909091,0.7142857142857143,0.7288961038961039,0.6,0.8675213675213675,0.7299946294307196,0.5633802816901409,183,13,18,20,0.5263157894736842,0.9336734693877551,0.7345596133190118,False,True,0.8456913686971251
