feature_set,model,weight_mode,objective,all_threshold,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_sensitivity_high,all_specificity_low,all_auc,old_threshold,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_sensitivity_high,old_specificity_low,old_auc,third_threshold,third_accuracy,third_balanced_accuracy,third_f1,third_tn,third_fp,third_fn,third_tp,third_sensitivity_high,third_specificity_low,third_auc,adapt_threshold,adapt_accuracy,adapt_balanced_accuracy,adapt_f1,adapt_tn,adapt_fp,adapt_fn,adapt_tp,adapt_sensitivity_high,adapt_specificity_low,adapt_auc,holdout_threshold,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_tn,holdout_fp,holdout_fn,holdout_tp,holdout_sensitivity_high,holdout_specificity_low,holdout_auc,old_guard_092,old_guard_090,selection_score
prob_only,logreg_bal_c0.01,none,old_third_balanced,0.48499999999999993,0.8460236886632826,0.8419038798986158,0.8017429193899782,316,52,39,184,0.8251121076233184,0.8586956521739131,0.8986157145642424,0.48499999999999993,0.9087719298245615,0.9087618203309693,0.9078014184397163,131,13,13,128,0.9078014184397163,0.9097222222222222,0.9485815602836879,0.48499999999999993,0.7875816993464052,0.7544098432055749,0.632768361581921,185,39,26,56,0.6829268292682927,0.8258928571428571,0.8023736933797909,0.48499999999999993,0.6527777777777778,0.612012987012987,0.7368421052631579,12,16,9,35,0.7954545454545454,0.42857142857142855,0.7126623376623376,0.48499999999999993,0.8290598290598291,0.7176423200859292,0.5121951219512195,173,23,17,21,0.5526315789473685,0.8826530612244898,0.7122717508055855,False,True,0.8044072716179853
prob_only,logreg_bal_c0.01,none,accuracy,0.615,0.8629441624365483,0.8395886137648665,0.8038740920096852,344,24,57,166,0.7443946188340808,0.9347826086956522,0.8986157145642424,0.615,0.9087719298245615,0.9085401891252955,0.9057971014492754,134,10,16,125,0.8865248226950354,0.9305555555555556,0.9485815602836879,0.615,0.8202614379084967,0.71875,0.5985401459854015,210,14,41,41,0.5,0.9375,0.8023736933797909,0.615,0.6527777777777778,0.663961038961039,0.6835443037974683,20,8,17,27,0.6136363636363636,0.7142857142857143,0.7126623376623376,0.615,0.8717948717948718,0.6689044038668098,0.4827586206896552,190,6,24,14,0.3684210526315789,0.9693877551020408,0.7122717508055855,False,True,0.7967726516698503
prob_only,logreg_bal_c0.01,none,high_sensitivity,0.48499999999999993,0.8460236886632826,0.8419038798986158,0.8017429193899782,316,52,39,184,0.8251121076233184,0.8586956521739131,0.8986157145642424,0.48499999999999993,0.9087719298245615,0.9087618203309693,0.9078014184397163,131,13,13,128,0.9078014184397163,0.9097222222222222,0.9485815602836879,0.48499999999999993,0.7875816993464052,0.7544098432055749,0.632768361581921,185,39,26,56,0.6829268292682927,0.8258928571428571,0.8023736933797909,0.48499999999999993,0.6527777777777778,0.612012987012987,0.7368421052631579,12,16,9,35,0.7954545454545454,0.42857142857142855,0.7126623376623376,0.48499999999999993,0.8290598290598291,0.7176423200859292,0.5121951219512195,173,23,17,21,0.5526315789473685,0.8826530612244898,0.7122717508055855,False,True,0.8044072716179853
prob_only,logreg_bal_c0.01,label,old_third_balanced,0.48499999999999993,0.8460236886632826,0.8419038798986158,0.8017429193899782,316,52,39,184,0.8251121076233184,0.8586956521739131,0.8986157145642424,0.48499999999999993,0.9087719298245615,0.9087618203309693,0.9078014184397163,131,13,13,128,0.9078014184397163,0.9097222222222222,0.9485815602836879,0.48499999999999993,0.7875816993464052,0.7544098432055749,0.632768361581921,185,39,26,56,0.6829268292682927,0.8258928571428571,0.8023736933797909,0.48499999999999993,0.6527777777777778,0.612012987012987,0.7368421052631579,12,16,9,35,0.7954545454545454,0.42857142857142855,0.7126623376623376,0.48499999999999993,0.8290598290598291,0.7176423200859292,0.5121951219512195,173,23,17,21,0.5526315789473685,0.8826530612244898,0.7122717508055855,False,True,0.8044072716179853
prob_only,logreg_bal_c0.01,label,accuracy,0.615,0.8629441624365483,0.8395886137648665,0.8038740920096852,344,24,57,166,0.7443946188340808,0.9347826086956522,0.8986157145642424,0.615,0.9087719298245615,0.9085401891252955,0.9057971014492754,134,10,16,125,0.8865248226950354,0.9305555555555556,0.9485815602836879,0.615,0.8202614379084967,0.71875,0.5985401459854015,210,14,41,41,0.5,0.9375,0.8023736933797909,0.615,0.6527777777777778,0.663961038961039,0.6835443037974683,20,8,17,27,0.6136363636363636,0.7142857142857143,0.7126623376623376,0.615,0.8717948717948718,0.6689044038668098,0.4827586206896552,190,6,24,14,0.3684210526315789,0.9693877551020408,0.7122717508055855,False,True,0.7967726516698503
prob_only,logreg_bal_c0.01,label,high_sensitivity,0.48499999999999993,0.8460236886632826,0.8419038798986158,0.8017429193899782,316,52,39,184,0.8251121076233184,0.8586956521739131,0.8986157145642424,0.48499999999999993,0.9087719298245615,0.9087618203309693,0.9078014184397163,131,13,13,128,0.9078014184397163,0.9097222222222222,0.9485815602836879,0.48499999999999993,0.7875816993464052,0.7544098432055749,0.632768361581921,185,39,26,56,0.6829268292682927,0.8258928571428571,0.8023736933797909,0.48499999999999993,0.6527777777777778,0.612012987012987,0.7368421052631579,12,16,9,35,0.7954545454545454,0.42857142857142855,0.7126623376623376,0.48499999999999993,0.8290598290598291,0.7176423200859292,0.5121951219512195,173,23,17,21,0.5526315789473685,0.8826530612244898,0.7122717508055855,False,True,0.8044072716179853
prob_only,logreg_bal_c0.01,domain_label,old_third_balanced,0.4499999999999999,0.8409475465313029,0.842245077013063,0.8008474576271186,308,60,34,189,0.8475336322869955,0.8369565217391305,0.8985913433417819,0.4499999999999999,0.9017543859649123,0.9019651300236406,0.9027777777777778,127,17,11,130,0.9219858156028369,0.8819444444444444,0.9484830575256107,0.4499999999999999,0.7843137254901961,0.7637739547038327,0.6413043478260869,181,43,23,59,0.7195121951219512,0.8080357142857143,0.801829268292683,0.4499999999999999,0.6666666666666666,0.6103896103896104,0.76,10,18,6,38,0.8636363636363636,0.35714285714285715,0.7102272727272727,0.4499999999999999,0.8205128205128205,0.7125402792696026,0.5,171,25,17,21,0.5526315789473685,0.8724489795918368,0.7125402792696024,False,True,0.7828800821089095
prob_only,logreg_bal_c0.01,domain_label,accuracy,0.615,0.8629441624365483,0.8395886137648665,0.8038740920096852,344,24,57,166,0.7443946188340808,0.9347826086956522,0.8985913433417819,0.615,0.9087719298245615,0.9085401891252955,0.9057971014492754,134,10,16,125,0.8865248226950354,0.9305555555555556,0.9484830575256107,0.615,0.8202614379084967,0.71875,0.5985401459854015,210,14,41,41,0.5,0.9375,0.801829268292683,0.615,0.6527777777777778,0.663961038961039,0.6835443037974683,20,8,17,27,0.6136363636363636,0.7142857142857143,0.7102272727272727,0.615,0.8717948717948718,0.6689044038668098,0.4827586206896552,190,6,24,14,0.3684210526315789,0.9693877551020408,0.7125402792696024,False,True,0.7967726516698503
prob_only,logreg_bal_c0.01,domain_label,high_sensitivity,0.4499999999999999,0.8409475465313029,0.842245077013063,0.8008474576271186,308,60,34,189,0.8475336322869955,0.8369565217391305,0.8985913433417819,0.4499999999999999,0.9017543859649123,0.9019651300236406,0.9027777777777778,127,17,11,130,0.9219858156028369,0.8819444444444444,0.9484830575256107,0.4499999999999999,0.7843137254901961,0.7637739547038327,0.6413043478260869,181,43,23,59,0.7195121951219512,0.8080357142857143,0.801829268292683,0.4499999999999999,0.6666666666666666,0.6103896103896104,0.76,10,18,6,38,0.8636363636363636,0.35714285714285715,0.7102272727272727,0.4499999999999999,0.8205128205128205,0.7125402792696026,0.5,171,25,17,21,0.5526315789473685,0.8724489795918368,0.7125402792696024,False,True,0.7828800821089095
prob_only,logreg_bal_c0.01,domain_label_third_up,old_third_balanced,0.4649999999999999,0.8426395939086294,0.8444872294794308,0.8033826638477801,308,60,33,190,0.852017937219731,0.8369565217391305,0.8980186196139598,0.4649999999999999,0.8947368421052632,0.8949468085106382,0.8958333333333334,126,18,12,129,0.9148936170212766,0.875,0.9465622537431049,0.4649999999999999,0.7941176470588235,0.7782012195121951,0.6594594594594595,182,42,21,61,0.7439024390243902,0.8125,0.8065657665505227,0.4649999999999999,0.6944444444444444,0.6266233766233766,0.7884615384615384,9,19,3,41,0.9318181818181818,0.32142857142857145,0.7183441558441559,0.4649999999999999,0.8247863247863247,0.704484425349087,0.49382716049382713,173,23,18,20,0.5263157894736842,0.8826530612244898,0.708780880773362,False,False,0.7646229149964412
