feature_set,model,weight_mode,objective,all_threshold,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_sensitivity_high,all_specificity_low,all_auc,old_threshold,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_sensitivity_high,old_specificity_low,old_auc,third_threshold,third_accuracy,third_balanced_accuracy,third_f1,third_tn,third_fp,third_fn,third_tp,third_sensitivity_high,third_specificity_low,third_auc,adapt_threshold,adapt_accuracy,adapt_balanced_accuracy,adapt_f1,adapt_tn,adapt_fp,adapt_fn,adapt_tp,adapt_sensitivity_high,adapt_specificity_low,adapt_auc,holdout_threshold,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_tn,holdout_fp,holdout_fn,holdout_tp,holdout_sensitivity_high,holdout_specificity_low,holdout_auc,old_guard_092,old_guard_090,selection_score
prob_only,logreg_bal_c0.01,none,old_third_balanced,0.49999999999999994,0.8494077834179357,0.8463881848313511,0.806941431670282,316,52,37,186,0.8340807174887892,0.8586956521739131,0.8987497562877755,0.49999999999999994,0.9122807017543859,0.9123079196217494,0.911660777385159,131,13,12,129,0.9148936170212766,0.9097222222222222,0.9502068557919622,0.49999999999999994,0.7908496732026143,0.7605074041811846,0.6404494382022472,185,39,25,57,0.6951219512195121,0.8258928571428571,0.8019925958188152,0.49999999999999994,0.6805555555555556,0.6347402597402597,0.7628865979381443,12,16,7,37,0.8409090909090909,0.42857142857142855,0.7183441558441559,0.49999999999999994,0.8247863247863247,0.704484425349087,0.49382716049382713,173,23,18,20,0.5263157894736842,0.8826530612244898,0.7086466165413533,False,True,0.8193558567931856
prob_only,logreg_bal_c0.01,none,accuracy,0.6399999999999999,0.8663282571912013,0.8423060050692143,0.8077858880778589,346,22,57,166,0.7443946188340808,0.9402173913043478,0.8987497562877755,0.6399999999999999,0.9052631578947369,0.9049940898345155,0.9018181818181819,134,10,17,124,0.8794326241134752,0.9305555555555556,0.9502068557919622,0.6399999999999999,0.8300653594771242,0.7293118466898955,0.6176470588235294,212,12,40,42,0.5121951219512195,0.9464285714285714,0.8019925958188152,0.6399999999999999,0.6527777777777778,0.663961038961039,0.6835443037974683,20,8,17,27,0.6136363636363636,0.7142857142857143,0.7183441558441559,0.6399999999999999,0.8846153846153846,0.6871643394199785,0.5263157894736842,192,4,23,15,0.39473684210526316,0.9795918367346939,0.7086466165413533,False,True,0.7894490494146476
prob_only,logreg_bal_c0.01,none,high_sensitivity,0.49999999999999994,0.8494077834179357,0.8463881848313511,0.806941431670282,316,52,37,186,0.8340807174887892,0.8586956521739131,0.8987497562877755,0.49999999999999994,0.9122807017543859,0.9123079196217494,0.911660777385159,131,13,12,129,0.9148936170212766,0.9097222222222222,0.9502068557919622,0.49999999999999994,0.7908496732026143,0.7605074041811846,0.6404494382022472,185,39,25,57,0.6951219512195121,0.8258928571428571,0.8019925958188152,0.49999999999999994,0.6805555555555556,0.6347402597402597,0.7628865979381443,12,16,7,37,0.8409090909090909,0.42857142857142855,0.7183441558441559,0.49999999999999994,0.8247863247863247,0.704484425349087,0.49382716049382713,173,23,18,20,0.5263157894736842,0.8826530612244898,0.7086466165413533,False,True,0.8193558567931856
prob_only,logreg_bal_c0.01,label,old_third_balanced,0.49999999999999994,0.8494077834179357,0.8463881848313511,0.806941431670282,316,52,37,186,0.8340807174887892,0.8586956521739131,0.8987497562877755,0.49999999999999994,0.9122807017543859,0.9123079196217494,0.911660777385159,131,13,12,129,0.9148936170212766,0.9097222222222222,0.9502068557919622,0.49999999999999994,0.7908496732026143,0.7605074041811846,0.6404494382022472,185,39,25,57,0.6951219512195121,0.8258928571428571,0.8019925958188152,0.49999999999999994,0.6805555555555556,0.6347402597402597,0.7628865979381443,12,16,7,37,0.8409090909090909,0.42857142857142855,0.7183441558441559,0.49999999999999994,0.8247863247863247,0.704484425349087,0.49382716049382713,173,23,18,20,0.5263157894736842,0.8826530612244898,0.7086466165413533,False,True,0.8193558567931856
prob_only,logreg_bal_c0.01,label,accuracy,0.6399999999999999,0.8663282571912013,0.8423060050692143,0.8077858880778589,346,22,57,166,0.7443946188340808,0.9402173913043478,0.8987497562877755,0.6399999999999999,0.9052631578947369,0.9049940898345155,0.9018181818181819,134,10,17,124,0.8794326241134752,0.9305555555555556,0.9502068557919622,0.6399999999999999,0.8300653594771242,0.7293118466898955,0.6176470588235294,212,12,40,42,0.5121951219512195,0.9464285714285714,0.8019925958188152,0.6399999999999999,0.6527777777777778,0.663961038961039,0.6835443037974683,20,8,17,27,0.6136363636363636,0.7142857142857143,0.7183441558441559,0.6399999999999999,0.8846153846153846,0.6871643394199785,0.5263157894736842,192,4,23,15,0.39473684210526316,0.9795918367346939,0.7086466165413533,False,True,0.7894490494146476
prob_only,logreg_bal_c0.01,label,high_sensitivity,0.49999999999999994,0.8494077834179357,0.8463881848313511,0.806941431670282,316,52,37,186,0.8340807174887892,0.8586956521739131,0.8987497562877755,0.49999999999999994,0.9122807017543859,0.9123079196217494,0.911660777385159,131,13,12,129,0.9148936170212766,0.9097222222222222,0.9502068557919622,0.49999999999999994,0.7908496732026143,0.7605074041811846,0.6404494382022472,185,39,25,57,0.6951219512195121,0.8258928571428571,0.8019925958188152,0.49999999999999994,0.6805555555555556,0.6347402597402597,0.7628865979381443,12,16,7,37,0.8409090909090909,0.42857142857142855,0.7183441558441559,0.49999999999999994,0.8247863247863247,0.704484425349087,0.49382716049382713,173,23,18,20,0.5263157894736842,0.8826530612244898,0.7086466165413533,False,True,0.8193558567931856
prob_only,logreg_bal_c0.01,domain_label,old_third_balanced,0.48499999999999993,0.8494077834179357,0.8472716416455449,0.8077753779697624,315,53,36,187,0.8385650224215246,0.8559782608695652,0.8987131994540847,0.48499999999999993,0.9157894736842105,0.9158540189125295,0.9154929577464789,131,13,11,130,0.9219858156028369,0.9097222222222222,0.9504531126871552,0.48499999999999993,0.7875816993464052,0.7582752613240418,0.6368715083798883,184,40,25,57,0.6951219512195121,0.8214285714285714,0.8013392857142857,0.48499999999999993,0.6805555555555556,0.6347402597402597,0.7628865979381443,12,16,7,37,0.8409090909090909,0.42857142857142855,0.7150974025974026,0.48499999999999993,0.8205128205128205,0.7019334049409237,0.4878048780487805,172,24,18,20,0.5263157894736842,0.8775510204081632,0.7077067669172933,False,True,0.8304919505083872
prob_only,logreg_bal_c0.01,domain_label,accuracy,0.635,0.8646362098138748,0.8409473094170403,0.8058252427184466,345,23,57,166,0.7443946188340808,0.9375,0.8987131994540847,0.635,0.9052631578947369,0.9049940898345155,0.9018181818181819,134,10,17,124,0.8794326241134752,0.9305555555555556,0.9504531126871552,0.635,0.826797385620915,0.7270797038327526,0.6131386861313869,211,13,40,42,0.5121951219512195,0.9419642857142857,0.8013392857142857,0.635,0.6527777777777778,0.663961038961039,0.6835443037974683,20,8,17,27,0.6136363636363636,0.7142857142857143,0.7150974025974026,0.635,0.8803418803418803,0.6846133190118153,0.5172413793103449,191,5,23,15,0.39473684210526316,0.9744897959183674,0.7077067669172933,False,True,0.7881999247647875
prob_only,logreg_bal_c0.01,domain_label,high_sensitivity,0.48499999999999993,0.8494077834179357,0.8472716416455449,0.8077753779697624,315,53,36,187,0.8385650224215246,0.8559782608695652,0.8987131994540847,0.48499999999999993,0.9157894736842105,0.9158540189125295,0.9154929577464789,131,13,11,130,0.9219858156028369,0.9097222222222222,0.9504531126871552,0.48499999999999993,0.7875816993464052,0.7582752613240418,0.6368715083798883,184,40,25,57,0.6951219512195121,0.8214285714285714,0.8013392857142857,0.48499999999999993,0.6805555555555556,0.6347402597402597,0.7628865979381443,12,16,7,37,0.8409090909090909,0.42857142857142855,0.7150974025974026,0.48499999999999993,0.8205128205128205,0.7019334049409237,0.4878048780487805,172,24,18,20,0.5263157894736842,0.8775510204081632,0.7077067669172933,False,True,0.8304919505083872
prob_only,logreg_bal_c0.01,domain_label_third_up,old_third_balanced,0.625,0.871404399323181,0.8490324624683174,0.8164251207729468,346,22,54,169,0.757847533632287,0.9402173913043478,0.8995661922402027,0.625,0.9087719298245615,0.9085401891252955,0.9057971014492754,134,10,16,125,0.8865248226950354,0.9305555555555556,0.9482860520094563,0.625,0.8366013071895425,0.741506968641115,0.6376811594202898,212,12,38,44,0.5365853658536586,0.9464285714285714,0.8098323170731707,0.625,0.6805555555555556,0.6866883116883117,0.7160493827160493,20,8,15,29,0.6590909090909091,0.7142857142857143,0.7272727272727273,0.625,0.8846153846153846,0.6871643394199785,0.5263157894736842,192,4,23,15,0.39473684210526316,0.9795918367346939,0.7128088077336198,False,True,0.8069610013999864
prob_only,logreg_bal_c0.01,domain_label_third_up,accuracy,0.625,0.871404399323181,0.8490324624683174,0.8164251207729468,346,22,54,169,0.757847533632287,0.9402173913043478,0.8995661922402027,0.625,0.9087719298245615,0.9085401891252955,0.9057971014492754,134,10,16,125,0.8865248226950354,0.9305555555555556,0.9482860520094563,0.625,0.8366013071895425,0.741506968641115,0.6376811594202898,212,12,38,44,0.5365853658536586,0.9464285714285714,0.8098323170731707,0.625,0.6805555555555556,0.6866883116883117,0.7160493827160493,20,8,15,29,0.6590909090909091,0.7142857142857143,0.7272727272727273,0.625,0.8846153846153846,0.6871643394199785,0.5263157894736842,192,4,23,15,0.39473684210526316,0.9795918367346939,0.7128088077336198,False,True,0.8069610013999864
prob_only,logreg_bal_c0.01,domain_label_third_up,high_sensitivity,0.4749999999999999,0.8443316412859561,0.8440790115032171,0.8034188034188035,311,57,35,188,0.8430493273542601,0.845108695652174,0.8995661922402027,0.4749999999999999,0.9017543859649123,0.9018912529550827,0.9020979020979021,128,16,12,129,0.9148936170212766,0.8888888888888888,0.9482860520094563,0.4749999999999999,0.7908496732026143,0.7682382404181185,0.6483516483516484,183,41,23,59,0.7195121951219512,0.8169642857142857,0.8098323170731707,0.4749999999999999,0.6805555555555556,0.6217532467532467,0.7722772277227723,10,18,5,39,0.8863636363636364,0.35714285714285715,0.7272727272727273,0.4749999999999999,0.8247863247863247,0.704484425349087,0.49382716049382713,173,23,18,20,0.5263157894736842,0.8826530612244898,0.7128088077336198,False,True,0.7852409200611115
prob_only,logreg_plain_c0.01,none,old_third_balanced,0.585,0.871404399323181,0.8463820920257361,0.8137254901960784,349,19,57,166,0.7443946188340808,0.9483695652173914,0.8987984987326963,0.585,0.9052631578947369,0.9049940898345155,0.9018181818181819,134,10,17,124,0.8794326241134752,0.9305555555555556,0.9505516154452325,0.585,0.8398692810457516,0.7360082752613241,0.631578947368421,215,9,40,42,0.5121951219512195,0.9598214285714286,0.8009037456445993,0.585,0.6805555555555556,0.6996753246753247,0.7012987012987013,22,6,17,27,0.6136363636363636,0.7857142857142857,0.7167207792207791,0.585,0.8888888888888888,0.6897153598281418,0.5357142857142857,193,3,23,15,0.39473684210526316,0.9846938775510204,0.7059613319011814,False,True,0.7931964233642272
prob_only,logreg_plain_c0.01,none,accuracy,0.585,0.871404399323181,0.8463820920257361,0.8137254901960784,349,19,57,166,0.7443946188340808,0.9483695652173914,0.8987984987326963,0.585,0.9052631578947369,0.9049940898345155,0.9018181818181819,134,10,17,124,0.8794326241134752,0.9305555555555556,0.9505516154452325,0.585,0.8398692810457516,0.7360082752613241,0.631578947368421,215,9,40,42,0.5121951219512195,0.9598214285714286,0.8009037456445993,0.585,0.6805555555555556,0.6996753246753247,0.7012987012987013,22,6,17,27,0.6136363636363636,0.7857142857142857,0.7167207792207791,0.585,0.8888888888888888,0.6897153598281418,0.5357142857142857,193,3,23,15,0.39473684210526316,0.9846938775510204,0.7059613319011814,False,True,0.7931964233642272
prob_only,logreg_plain_c0.01,none,high_sensitivity,0.42499999999999993,0.8460236886632826,0.8445542503411971,0.8043010752688172,313,55,36,187,0.8385650224215246,0.8505434782608695,0.8987984987326963,0.42499999999999993,0.9122807017543859,0.9124556737588653,0.9128919860627178,129,15,10,131,0.9290780141843972,0.8958333333333334,0.9505516154452325,0.42499999999999993,0.7843137254901961,0.752177700348432,0.6292134831460674,184,40,26,56,0.6829268292682927,0.8214285714285714,0.8009037456445993,0.42499999999999993,0.6666666666666666,0.6233766233766234,0.75,12,16,8,36,0.8181818181818182,0.42857142857142855,0.7167207792207791,0.42499999999999993,0.8205128205128205,0.7019334049409237,0.4878048780487805,172,24,18,20,0.5263157894736842,0.8775510204081632,0.7059613319011814,False,True,0.8158181880282225
prob_only,logreg_plain_c0.01,label,old_third_balanced,0.49999999999999994,0.8494077834179357,0.8463881848313511,0.806941431670282,316,52,37,186,0.8340807174887892,0.8586956521739131,0.8987497562877755,0.49999999999999994,0.9122807017543859,0.9123079196217494,0.911660777385159,131,13,12,129,0.9148936170212766,0.9097222222222222,0.9502068557919622,0.49999999999999994,0.7908496732026143,0.7605074041811846,0.6404494382022472,185,39,25,57,0.6951219512195121,0.8258928571428571,0.8019925958188152,0.49999999999999994,0.6805555555555556,0.6347402597402597,0.7628865979381443,12,16,7,37,0.8409090909090909,0.42857142857142855,0.7183441558441559,0.49999999999999994,0.8247863247863247,0.704484425349087,0.49382716049382713,173,23,18,20,0.5263157894736842,0.8826530612244898,0.7086466165413533,False,True,0.8193558567931856
