eval_group,task_l6_label,n,accuracy,balanced_accuracy,f1,tn,fp,fn,tp
third_holdout,AB,188,0.7127659574468085,,0.0,134,54,0,0
third_holdout,B1,8,0.375,,0.0,3,5,0,0
third_holdout,B2,7,0.42857142857142855,,0.6,0,0,4,3
third_holdout,TC,31,0.8064516129032258,,0.8928571428571429,0,0,6,25
old,A,44,0.5454545454545454,,0.0,24,20,0,0
old,AB,50,0.8,,0.0,40,10,0,0
old,B1,50,0.36,,0.0,18,32,0,0
old,B2,60,0.6666666666666666,,0.8,0,0,20,40
old,B3,24,0.625,,0.7692307692307693,0,0,9,15
old,TC,57,0.6140350877192983,,0.7608695652173914,0,0,22,35
adapt72,AB,24,0.625,,0.0,15,9,0,0
adapt72,B1,4,0.0,,0.0,0,4,0,0
adapt72,B2,22,0.5909090909090909,,0.7428571428571429,0,0,9,13
adapt72,TC,22,0.7727272727272727,,0.8717948717948718,0,0,5,17
