candidate,objective,selection_split,holdout_used_for_selection,adapt_threshold,adapt_accuracy,adapt_balanced_accuracy,adapt_f1,adapt_tn,adapt_fp,adapt_fn,adapt_tp,adapt_sensitivity_high,adapt_specificity_low,adapt_auc,holdout_threshold,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_tn,holdout_fp,holdout_fn,holdout_tp,holdout_sensitivity_high,holdout_specificity_low,holdout_auc
single__04_whole_crop_64style__base_prob_high,balanced_accuracy,third_adapt72_only,0,0.48999999999999994,0.6111111111111112,0.6298701298701299,0.631578947368421,20,8,20,24,0.5454545454545454,0.7142857142857143,0.6006493506493507,0.48999999999999994,0.7435897435897436,0.7090494092373791,0.45454545454545453,149,47,13,25,0.6578947368421053,0.7602040816326531,0.7346938775510203
single__04_whole_crop_64style__base_prob_high,accuracy,third_adapt72_only,0,0.48999999999999994,0.6111111111111112,0.6298701298701299,0.631578947368421,20,8,20,24,0.5454545454545454,0.7142857142857143,0.6006493506493507,0.48999999999999994,0.7435897435897436,0.7090494092373791,0.45454545454545453,149,47,13,25,0.6578947368421053,0.7602040816326531,0.7346938775510203
single__04_whole_crop_64style__final_prob_high,balanced_accuracy,third_adapt72_only,0,0.48999999999999994,0.6111111111111112,0.6298701298701299,0.631578947368421,20,8,20,24,0.5454545454545454,0.7142857142857143,0.6006493506493507,0.48999999999999994,0.7435897435897436,0.7090494092373791,0.45454545454545453,149,47,13,25,0.6578947368421053,0.7602040816326531,0.7360365198711063
single__04_whole_crop_64style__final_prob_high,accuracy,third_adapt72_only,0,0.48999999999999994,0.6111111111111112,0.6298701298701299,0.631578947368421,20,8,20,24,0.5454545454545454,0.7142857142857143,0.6006493506493507,0.48999999999999994,0.7435897435897436,0.7090494092373791,0.45454545454545453,149,47,13,25,0.6578947368421053,0.7602040816326531,0.7360365198711063
single__04_whole_crop_64style__base_prob_high,high_sens75,third_adapt72_only,0,0.4799999999999999,0.6111111111111112,0.6168831168831169,0.65,18,10,18,26,0.5909090909090909,0.6428571428571429,0.6006493506493507,0.4799999999999999,0.7094017094017094,0.6992481203007519,0.43333333333333335,140,56,12,26,0.6842105263157895,0.7142857142857143,0.7346938775510203
single__04_whole_crop_64style__final_prob_high,high_sens75,third_adapt72_only,0,0.4799999999999999,0.6111111111111112,0.6168831168831169,0.65,18,10,18,26,0.5909090909090909,0.6428571428571429,0.6006493506493507,0.4799999999999999,0.7094017094017094,0.6992481203007519,0.43333333333333335,140,56,12,26,0.6842105263157895,0.7142857142857143,0.7360365198711063
single__04_whole_crop_64style__reviewer_prob_high,balanced_accuracy,third_adapt72_only,0,0.5349999999999999,0.5277777777777778,0.5876623376623377,0.45161290322580644,24,4,30,14,0.3181818181818182,0.8571428571428571,0.5616883116883118,0.5349999999999999,0.7948717948717948,0.6760204081632653,0.4418604651162791,167,29,19,19,0.5,0.8520408163265306,0.6981740064446832
median__all_signals,balanced_accuracy,third_adapt72_only,0,0.49999999999999994,0.5416666666666666,0.586038961038961,0.5074626865671642,22,6,27,17,0.38636363636363635,0.7857142857142857,0.5827922077922078,0.49999999999999994,0.7777777777777778,0.6658163265306123,0.4222222222222222,163,33,19,19,0.5,0.8316326530612245,0.7046186895810956
single__06_rawtop_whole_crop__extra_d3_l8__acc,balanced_accuracy,third_adapt72_only,0,0.49999999999999994,0.5694444444444444,0.6022727272727273,0.5633802816901409,21,7,24,20,0.45454545454545453,0.75,0.5714285714285714,0.49999999999999994,0.7564102564102564,0.6636680988184747,0.41237113402061853,157,39,18,20,0.5263157894736842,0.8010204081632653,0.7043501611170784
single__06_rawtop_whole_crop__extra_d3_l8__bacc,balanced_accuracy,third_adapt72_only,0,0.49999999999999994,0.5694444444444444,0.6022727272727273,0.5633802816901409,21,7,24,20,0.45454545454545453,0.75,0.5714285714285714,0.49999999999999994,0.7564102564102564,0.6636680988184747,0.41237113402061853,157,39,18,20,0.5263157894736842,0.8010204081632653,0.7043501611170784
single__06_rawtop_whole_crop__extra_d3_l8__sens90,balanced_accuracy,third_adapt72_only,0,0.49999999999999994,0.5694444444444444,0.6022727272727273,0.5633802816901409,21,7,24,20,0.45454545454545453,0.75,0.5714285714285714,0.49999999999999994,0.7564102564102564,0.6636680988184747,0.41237113402061853,157,39,18,20,0.5263157894736842,0.8010204081632653,0.7043501611170784
single__03_crop_64style__base_prob_high,balanced_accuracy,third_adapt72_only,0,0.5299999999999999,0.5416666666666666,0.586038961038961,0.5074626865671642,22,6,27,17,0.38636363636363635,0.7857142857142857,0.5369318181818181,0.5299999999999999,0.7564102564102564,0.6636680988184747,0.41237113402061853,157,39,18,20,0.5263157894736842,0.8010204081632653,0.7125402792696025
single__08_bgnorm085_whole_crop_64style__reviewer_prob_high,balanced_accuracy,third_adapt72_only,0,0.4699999999999999,0.625,0.6152597402597402,0.6823529411764706,16,12,15,29,0.6590909090909091,0.5714285714285714,0.6266233766233766,0.4699999999999999,0.6965811965811965,0.6597744360902256,0.39316239316239315,140,56,15,23,0.6052631578947368,0.7142857142857143,0.7255639097744362
mean_top12_by_adapt_bacc,balanced_accuracy,third_adapt72_only,0,0.36999999999999994,0.6944444444444444,0.6655844155844155,0.7608695652173914,15,13,9,35,0.7954545454545454,0.5357142857142857,0.6469155844155844,0.36999999999999994,0.5641025641025641,0.6549409237379162,0.37037037037037035,102,94,8,30,0.7894736842105263,0.5204081632653061,0.7005907626208377
mean_top12_by_adapt_bacc,accuracy,third_adapt72_only,0,0.36999999999999994,0.6944444444444444,0.6655844155844155,0.7608695652173914,15,13,9,35,0.7954545454545454,0.5357142857142857,0.6469155844155844,0.36999999999999994,0.5641025641025641,0.6549409237379162,0.37037037037037035,102,94,8,30,0.7894736842105263,0.5204081632653061,0.7005907626208377
mean_top12_by_adapt_bacc,high_sens75,third_adapt72_only,0,0.36999999999999994,0.6944444444444444,0.6655844155844155,0.7608695652173914,15,13,9,35,0.7954545454545454,0.5357142857142857,0.6469155844155844,0.36999999999999994,0.5641025641025641,0.6549409237379162,0.37037037037037035,102,94,8,30,0.7894736842105263,0.5204081632653061,0.7005907626208377
mean_top12_by_adapt_bacc,high_sens85,third_adapt72_only,0,0.36999999999999994,0.6944444444444444,0.6655844155844155,0.7608695652173914,15,13,9,35,0.7954545454545454,0.5357142857142857,0.6469155844155844,0.36999999999999994,0.5641025641025641,0.6549409237379162,0.37037037037037035,102,94,8,30,0.7894736842105263,0.5204081632653061,0.7005907626208377
single__03_crop_64style__final_prob_high,balanced_accuracy,third_adapt72_only,0,0.5299999999999999,0.5555555555555556,0.5974025974025974,0.5294117647058824,22,6,26,18,0.4090909090909091,0.7857142857142857,0.5340909090909092,0.5299999999999999,0.7393162393162394,0.6534640171858217,0.39603960396039606,153,43,18,20,0.5263157894736842,0.7806122448979592,0.7095193340494093
mean_top16_by_adapt_bacc,balanced_accuracy,third_adapt72_only,0,0.36499999999999994,0.6527777777777778,0.6314935064935066,0.7191011235955056,15,13,12,32,0.7272727272727273,0.5357142857142857,0.6290584415584415,0.36499999999999994,0.5769230769230769,0.6519871106337272,0.36942675159235666,106,90,9,29,0.7631578947368421,0.5408163265306123,0.6979054779806659
mean_top16_by_adapt_bacc,high_sens75,third_adapt72_only,0,0.36499999999999994,0.6527777777777778,0.6314935064935066,0.7191011235955056,15,13,12,32,0.7272727272727273,0.5357142857142857,0.6290584415584415,0.36499999999999994,0.5769230769230769,0.6519871106337272,0.36942675159235666,106,90,9,29,0.7631578947368421,0.5408163265306123,0.6979054779806659
single__06_rawtop_whole_crop__rf_d3_l8__acc,balanced_accuracy,third_adapt72_only,0,0.5049999999999999,0.5555555555555556,0.5909090909090909,0.5428571428571428,21,7,25,19,0.4318181818181818,0.75,0.577922077922078,0.5049999999999999,0.7521367521367521,0.6505102040816326,0.3958333333333333,157,39,19,19,0.5,0.8010204081632653,0.7050214822771214
