estimator,weight_mode,threshold,all_acc,all_bacc,all_f1,all_tn,all_fp,all_fn,all_tp,all_sens,all_spec,all_auc,old_acc,old_bacc,old_f1,old_tn,old_fp,old_fn,old_tp,old_sens,old_spec,old_auc,third_acc,third_bacc,third_f1,third_tn,third_fp,third_fn,third_tp,third_sens,third_spec,third_auc,score
logreg_c0.003,none,0.5249999999999999,0.6937394247038917,0.6975348508481185,0.6372745490981964,251,117,64,159,0.7130044843049327,0.6820652173913043,0.7453085396763502,0.7017543859649122,0.7024231678486997,0.717607973421927,92,52,33,108,0.7659574468085106,0.6388888888888888,0.7453703703703705,0.6862745098039216,0.6658863240418118,0.5151515151515151,159,65,31,51,0.6219512195121951,0.7098214285714286,0.7210910278745645,0.6861266863330879
logreg_c0.003,label,0.5249999999999999,0.6937394247038917,0.6975348508481185,0.6372745490981964,251,117,64,159,0.7130044843049327,0.6820652173913043,0.7453085396763502,0.7017543859649122,0.7024231678486997,0.717607973421927,92,52,33,108,0.7659574468085106,0.6388888888888888,0.7453703703703705,0.6862745098039216,0.6658863240418118,0.5151515151515151,159,65,31,51,0.6219512195121951,0.7098214285714286,0.7210910278745645,0.6861266863330879
logreg_c0.003,domain_label,0.5249999999999999,0.6920473773265652,0.6952926983817509,0.6345381526104418,251,117,65,158,0.7085201793721974,0.6820652173913043,0.745491323844804,0.6947368421052632,0.6953309692671394,0.7090301003344481,92,52,35,106,0.75177304964539,0.6388888888888888,0.7455181245074862,0.6895424836601307,0.6719838850174216,0.5226130653266332,159,65,30,52,0.6341463414634146,0.7098214285714286,0.7205466027874565,0.6853538742903638
logreg_c0.03,none,0.585,0.7021996615905245,0.6848922791967245,0.6088888888888889,278,90,86,137,0.6143497757847534,0.7554347826086957,0.7266279976603627,0.6982456140350877,0.6978427895981087,0.6838235294117647,106,38,48,93,0.6595744680851063,0.7361111111111112,0.734879826635146,0.7058823529411765,0.6522212543554007,0.4943820224719101,172,52,38,44,0.5365853658536586,0.7678571428571429,0.6945230836236934,0.6804384142790302
logreg_c0.03,label,0.585,0.7021996615905245,0.6848922791967245,0.6088888888888889,278,90,86,137,0.6143497757847534,0.7554347826086957,0.7266279976603627,0.6982456140350877,0.6978427895981087,0.6838235294117647,106,38,48,93,0.6595744680851063,0.7361111111111112,0.734879826635146,0.7058823529411765,0.6522212543554007,0.4943820224719101,172,52,38,44,0.5365853658536586,0.7678571428571429,0.6945230836236934,0.6804384142790302
logreg_c0.03,domain_label,0.585,0.7021996615905245,0.6840088223825307,0.6071428571428571,279,89,87,136,0.6098654708520179,0.7581521739130435,0.7265426983817508,0.6982456140350877,0.6977689125295509,0.6814814814814815,107,37,49,92,0.6524822695035462,0.7430555555555556,0.735470843183609,0.7058823529411765,0.6522212543554007,0.4943820224719101,172,52,38,44,0.5365853658536586,0.7678571428571429,0.6936520034843207,0.6804088634516071
logreg_c0.01,domain_label,0.605,0.7072758037225042,0.6836676252680834,0.6022988505747127,287,81,92,131,0.5874439461883408,0.779891304347826,0.7375706765451355,0.6947368421052632,0.6940750591016549,0.6716981132075471,109,35,52,89,0.6312056737588653,0.7569444444444444,0.7412332545311269,0.7189542483660131,0.6534189895470384,0.49411764705882355,178,46,40,42,0.5121951219512195,0.7946428571428571,0.7085692508710801,0.680366728506605
logreg_c0.01,none,0.57,0.6988155668358714,0.6848252583349581,0.611353711790393,273,95,83,140,0.6278026905829597,0.7418478260869565,0.7374488204328329,0.6877192982456141,0.6875738770685579,0.6810035842293907,101,43,46,95,0.6737588652482269,0.7013888888888888,0.7406914893617021,0.7091503267973857,0.6583188153310104,0.5027932960893855,172,52,37,45,0.5487804878048781,0.7678571428571429,0.7083514808362369,0.6780440394641273
logreg_c0.01,label,0.57,0.6988155668358714,0.6848252583349581,0.611353711790393,273,95,83,140,0.6278026905829597,0.7418478260869565,0.7374488204328329,0.6877192982456141,0.6875738770685579,0.6810035842293907,101,43,46,95,0.6737588652482269,0.7013888888888888,0.7406914893617021,0.7091503267973857,0.6583188153310104,0.5027932960893855,172,52,37,45,0.5487804878048781,0.7678571428571429,0.7083514808362369,0.6780440394641273
logreg_c0.01,domain_label_third_up,0.605,0.700507614213198,0.6808832131019692,0.6022471910112359,280,88,89,134,0.600896860986547,0.7608695652173914,0.7344146032364983,0.6807017543859649,0.6802600472813238,0.6642066420664207,104,40,51,90,0.6382978723404256,0.7222222222222222,0.7360618597320725,0.7189542483660131,0.6611498257839721,0.5057471264367817,176,48,38,44,0.5365853658536586,0.7857142857142857,0.7085692508710801,0.6765295495013162
