feature_model,global_pool,input_variant,image_size,estimator,weight_mode,objective,all_threshold,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_sensitivity_high,all_specificity_low,all_auc,old_threshold,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_sensitivity_high,old_specificity_low,old_auc,third_threshold,third_accuracy,third_balanced_accuracy,third_f1,third_tn,third_fp,third_fn,third_tp,third_sensitivity_high,third_specificity_low,third_auc,selection_score,old_guard_090,old_guard_092
vit_so400m_patch14_siglip_378.v2_webli,avg,whole_plus_crop,378,logreg_plain_c0.1,domain_label,high_sensitivity,0.33499999999999996,0.676818950930626,0.6892486352115422,0.6333973128598849,235,133,58,165,0.7399103139013453,0.6385869565217391,0.7507676935075063,0.33499999999999996,0.6736842105263158,0.6745715130023641,0.6970684039087948,85,59,34,107,0.7588652482269503,0.5902777777777778,0.7296591804570528,0.33499999999999996,0.6797385620915033,0.6884799651567943,0.5420560747663551,150,74,24,58,0.7073170731707317,0.6696428571428571,0.7543009581881533,0.45328420849762696,False,False
vit_so400m_patch14_siglip_378.v2_webli,avg,whole_plus_crop,378,logreg_bal_c0.1,none,balanced_accuracy,0.37999999999999995,0.6869712351945855,0.6938669818678105,0.6351084812623274,245,123,62,161,0.7219730941704036,0.6657608695652174,0.751267303567947,0.37999999999999995,0.6807017543859649,0.6813682033096926,0.6976744186046512,89,55,36,105,0.7446808510638298,0.6180555555555556,0.7298069345941687,0.37999999999999995,0.6928104575163399,0.689677700348432,0.5436893203883495,156,68,26,56,0.6829268292682927,0.6964285714285714,0.7547909407665504,0.4496447971321561,False,False
vit_so400m_patch14_siglip_378.v2_webli,avg,whole_plus_crop,378,logreg_bal_c0.1,none,high_sensitivity,0.37999999999999995,0.6869712351945855,0.6938669818678105,0.6351084812623274,245,123,62,161,0.7219730941704036,0.6657608695652174,0.751267303567947,0.37999999999999995,0.6807017543859649,0.6813682033096926,0.6976744186046512,89,55,36,105,0.7446808510638298,0.6180555555555556,0.7298069345941687,0.37999999999999995,0.6928104575163399,0.689677700348432,0.5436893203883495,156,68,26,56,0.6829268292682927,0.6964285714285714,0.7547909407665504,0.4496447971321561,False,False
vit_so400m_patch14_siglip_378.v2_webli,avg,whole_plus_crop,378,logreg_bal_c0.1,label,balanced_accuracy,0.37999999999999995,0.6869712351945855,0.6938669818678105,0.6351084812623274,245,123,62,161,0.7219730941704036,0.6657608695652174,0.751267303567947,0.37999999999999995,0.6807017543859649,0.6813682033096926,0.6976744186046512,89,55,36,105,0.7446808510638298,0.6180555555555556,0.7298069345941687,0.37999999999999995,0.6928104575163399,0.689677700348432,0.5436893203883495,156,68,26,56,0.6829268292682927,0.6964285714285714,0.7547909407665504,0.4496447971321561,False,False
vit_so400m_patch14_siglip_378.v2_webli,avg,whole_plus_crop,378,logreg_bal_c0.1,label,high_sensitivity,0.37999999999999995,0.6869712351945855,0.6938669818678105,0.6351084812623274,245,123,62,161,0.7219730941704036,0.6657608695652174,0.751267303567947,0.37999999999999995,0.6807017543859649,0.6813682033096926,0.6976744186046512,89,55,36,105,0.7446808510638298,0.6180555555555556,0.7298069345941687,0.37999999999999995,0.6928104575163399,0.689677700348432,0.5436893203883495,156,68,26,56,0.6829268292682927,0.6964285714285714,0.7547909407665504,0.4496447971321561,False,False
vit_so400m_patch14_siglip_378.v2_webli,avg,whole_plus_crop,378,logreg_plain_c0.1,label,balanced_accuracy,0.37999999999999995,0.6869712351945855,0.6938669818678105,0.6351084812623274,245,123,62,161,0.7219730941704036,0.6657608695652174,0.751267303567947,0.37999999999999995,0.6807017543859649,0.6813682033096926,0.6976744186046512,89,55,36,105,0.7446808510638298,0.6180555555555556,0.7298069345941687,0.37999999999999995,0.6928104575163399,0.689677700348432,0.5436893203883495,156,68,26,56,0.6829268292682927,0.6964285714285714,0.7547909407665504,0.4496447971321561,False,False
vit_so400m_patch14_siglip_378.v2_webli,avg,whole_plus_crop,378,logreg_plain_c0.1,label,high_sensitivity,0.37999999999999995,0.6869712351945855,0.6938669818678105,0.6351084812623274,245,123,62,161,0.7219730941704036,0.6657608695652174,0.751267303567947,0.37999999999999995,0.6807017543859649,0.6813682033096926,0.6976744186046512,89,55,36,105,0.7446808510638298,0.6180555555555556,0.7298069345941687,0.37999999999999995,0.6928104575163399,0.689677700348432,0.5436893203883495,156,68,26,56,0.6829268292682927,0.6964285714285714,0.7547909407665504,0.4496447971321561,False,False
vit_so400m_patch14_siglip_378.v2_webli,avg,whole_plus_crop,378,logreg_bal_c0.1,domain_label,high_sensitivity,0.32499999999999996,0.6751269035532995,0.6878899395593683,0.632183908045977,234,134,58,165,0.7399103139013453,0.6358695652173914,0.7507676935075063,0.32499999999999996,0.6701754385964912,0.6710992907801419,0.6948051948051948,84,60,34,107,0.7588652482269503,0.5833333333333334,0.7298069345941687,0.32499999999999996,0.6797385620915033,0.6884799651567943,0.5420560747663551,150,74,24,58,0.7073170731707317,0.6696428571428571,0.7539743031358884,0.4480320155151709,False,False
vit_so400m_patch14_siglip_378.v2_webli,avg,whole_plus_crop,378,logreg_plain_c0.1,none,balanced_accuracy,0.3,0.688663282571912,0.6952256775199843,0.6363636363636364,246,122,62,161,0.7219730941704036,0.6684782608695652,0.7530829596412557,0.3,0.6842105263157895,0.6849143026004728,0.7019867549668874,89,55,35,106,0.75177304964539,0.6180555555555556,0.7342395587076438,0.3,0.6928104575163399,0.6858122822299652,0.5392156862745098,157,67,27,55,0.6707317073170732,0.7008928571428571,0.7537020905923345,0.44156440584841994,False,False
vit_so400m_patch14_siglip_378.v2_webli,avg,whole_plus_crop,378,logreg_bal_c0.1,domain_label,balanced_accuracy,0.3999999999999999,0.6937394247038917,0.6966513940339247,0.635814889336016,252,116,65,158,0.7085201793721974,0.6847826086956522,0.7507676935075063,0.3999999999999999,0.6842105263157895,0.6847665484633569,0.697986577181208,91,53,37,104,0.7375886524822695,0.6319444444444444,0.7298069345941687,0.3999999999999999,0.7026143790849673,0.6886432926829269,0.542713567839196,161,63,28,54,0.6585365853658537,0.71875,0.7539743031358884,0.4321350451056797,False,False
vit_so400m_patch14_siglip_378.v2_webli,avg,whole_plus_crop,378,logreg_plain_c0.1,domain_label,balanced_accuracy,0.4049999999999999,0.6937394247038917,0.6966513940339247,0.635814889336016,252,116,65,158,0.7085201793721974,0.6847826086956522,0.7507676935075063,0.4049999999999999,0.6842105263157895,0.6847665484633569,0.697986577181208,91,53,37,104,0.7375886524822695,0.6319444444444444,0.7296591804570528,0.4049999999999999,0.7026143790849673,0.6886432926829269,0.542713567839196,161,63,28,54,0.6585365853658537,0.71875,0.7543009581881533,0.4321350451056797,False,False
vit_so400m_patch14_siglip_378.v2_webli,avg,whole_plus_crop,378,logreg_plain_c0.003,domain_label_third_up,high_sensitivity,0.4599999999999999,0.6734348561759729,0.688298157535582,0.6337760910815939,231,137,56,167,0.7488789237668162,0.6277173913043478,0.7548437804640281,0.4599999999999999,0.656140350877193,0.6573581560283688,0.689873417721519,78,66,32,109,0.7730496453900709,0.5416666666666666,0.7183313632781718,0.4599999999999999,0.6895424836601307,0.6951763937282229,0.5497630331753555,153,71,24,58,0.7073170731707317,0.6830357142857143,0.7692726480836236,0.4310372827116352,False,False
