model,source_csv,domain,n,accuracy,balanced_accuracy,f1,tn,fp,fn,tp,high_risk_recall,low_risk_specificity,auc
v195_reconstructed_final_pred_forced,/workspace/thymic_project/experiments/risk_control_rejection_20260621/outputs/v195_reconstructed_case_outputs.csv,old_data,285,0.9964912280701754,0.9965277777777778,0.9964664310954063,143,1,0,141,1.0,0.9930555555555556,0.8737687155240348
v195_reconstructed_final_pred_forced,/workspace/thymic_project/experiments/risk_control_rejection_20260621/outputs/v195_reconstructed_case_outputs.csv,strict_external,108,1.0,1.0,1.0,61,0,0,47,1.0,1.0,0.67317753749564
v195_reconstructed_final_pred_forced,/workspace/thymic_project/experiments/risk_control_rejection_20260621/outputs/v195_reconstructed_case_outputs.csv,third_batch,306,0.9705882352941176,0.9528527874564461,0.9433962264150944,222,2,7,75,0.9146341463414634,0.9910714285714286,0.818270905923345
v195_reconstructed_final_pred_forced,/workspace/thymic_project/experiments/risk_control_rejection_20260621/outputs/v195_reconstructed_case_outputs.csv,all_rows,699,0.9856938483547926,0.9835405335405336,0.9813432835820896,426,3,7,263,0.9740740740740741,0.993006993006993,0.8353017353017353
candidate_policy_final_pred_forced,/workspace/thymic_project/experiments/risk_control_rejection_20260621/outputs/candidate_policy_case_outputs.csv,old_data,285,0.9964912280701754,0.9965277777777778,0.9964664310954063,143,1,0,141,1.0,0.9930555555555556,0.8737687155240348
candidate_policy_final_pred_forced,/workspace/thymic_project/experiments/risk_control_rejection_20260621/outputs/candidate_policy_case_outputs.csv,strict_external,108,1.0,1.0,1.0,61,0,0,47,1.0,1.0,0.67317753749564
candidate_policy_final_pred_forced,/workspace/thymic_project/experiments/risk_control_rejection_20260621/outputs/candidate_policy_case_outputs.csv,third_batch,306,0.9705882352941176,0.9528527874564461,0.9433962264150944,222,2,7,75,0.9146341463414634,0.9910714285714286,0.818270905923345
candidate_policy_final_pred_forced,/workspace/thymic_project/experiments/risk_control_rejection_20260621/outputs/candidate_policy_case_outputs.csv,all_rows,699,0.9856938483547926,0.9835405335405336,0.9813432835820896,426,3,7,263,0.9740740740740741,0.993006993006993,0.8353017353017353
v185_unlabeled_shift_final_pred_forced,/workspace/thymic_project/outputs/grosspath_rc_v185_unlabeled_shift_adaptive_policy_20260527/v185_unlabeled_shift_adaptive_cases.csv,old_data,285,0.9964912280701754,0.9965277777777778,0.9964664310954063,143,1,0,141,1.0,0.9930555555555556,0.8737687155240348
v185_unlabeled_shift_final_pred_forced,/workspace/thymic_project/outputs/grosspath_rc_v185_unlabeled_shift_adaptive_policy_20260527/v185_unlabeled_shift_adaptive_cases.csv,strict_external,108,1.0,1.0,1.0,61,0,0,47,1.0,1.0,0.67317753749564
v185_unlabeled_shift_final_pred_forced,/workspace/thymic_project/outputs/grosspath_rc_v185_unlabeled_shift_adaptive_policy_20260527/v185_unlabeled_shift_adaptive_cases.csv,third_batch,306,0.9705882352941176,0.9528527874564461,0.9433962264150944,222,2,7,75,0.9146341463414634,0.9910714285714286,0.818270905923345
v185_unlabeled_shift_final_pred_forced,/workspace/thymic_project/outputs/grosspath_rc_v185_unlabeled_shift_adaptive_policy_20260527/v185_unlabeled_shift_adaptive_cases.csv,all_rows,699,0.9856938483547926,0.9835405335405336,0.9813432835820896,426,3,7,263,0.9740740740740741,0.993006993006993,0.8353017353017353
