group,n,auc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp
overall,108,0.6431810254621555,0.6018518518518519,0.6182420648761772,0.7446808510638298,0.4918032786885246,0.5303030303030303,0.6194690265486725,30,31,12,35
subtype:A,8,,0.5,0.5,0.0,0.5,0.0,0.0,4,4,0,0
subtype:AB,39,,0.5641025641025641,0.5641025641025641,0.0,0.5641025641025641,0.0,0.0,22,17,0,0
subtype:B1,11,,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,2,9,0,0
subtype:B1_B2_mixed,1,,1.0,1.0,1.0,,1.0,1.0,0,0,0,1
subtype:B2,28,,0.6785714285714286,0.6785714285714286,0.6785714285714286,,1.0,0.8085106382978723,0,0,9,19
subtype:B2_B3_mixed,3,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,1.0,0.5,0,0,2,1
subtype:B3,10,,1.0,1.0,1.0,,1.0,1.0,0,0,0,10
subtype:MNT_assumed_low,3,,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,2,1,0,0
subtype:TC,5,,0.8,0.8,0.8,,1.0,0.8888888888888888,0,0,1,4
domain:strict_external,108,0.6431810254621555,0.6018518518518519,0.6182420648761772,0.7446808510638298,0.4918032786885246,0.5303030303030303,0.6194690265486725,30,31,12,35
