group,n,auc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp
overall,108,0.65364492500872,0.5648148148148148,0.5927799093128705,0.8085106382978723,0.3770491803278688,0.5,0.6178861788617886,23,38,9,38
subtype:A,8,,0.375,0.375,0.0,0.375,0.0,0.0,3,5,0,0
subtype:AB,39,,0.4358974358974359,0.4358974358974359,0.0,0.4358974358974359,0.0,0.0,17,22,0,0
subtype:B1,11,,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,1,10,0,0
subtype:B1_B2_mixed,1,,1.0,1.0,1.0,,1.0,1.0,0,0,0,1
subtype:B2,28,,0.7142857142857143,0.7142857142857143,0.7142857142857143,,1.0,0.8333333333333334,0,0,8,20
subtype:B2_B3_mixed,3,,1.0,1.0,1.0,,1.0,1.0,0,0,0,3
subtype:B3,10,,1.0,1.0,1.0,,1.0,1.0,0,0,0,10
subtype:MNT_assumed_low,3,,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,2,1,0,0
subtype:TC,5,,0.8,0.8,0.8,,1.0,0.8888888888888888,0,0,1,4
domain:strict_external,108,0.65364492500872,0.5648148148148148,0.5927799093128705,0.8085106382978723,0.3770491803278688,0.5,0.6178861788617886,23,38,9,38
