group,n,auc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp
overall,108,0.6442274154168119,0.5740740740740741,0.5936519009417509,0.7446808510638298,0.4426229508196721,0.5072463768115942,0.603448275862069,27,34,12,35
subtype:A,8,,0.5,0.5,0.0,0.5,0.0,0.0,4,4,0,0
subtype:AB,39,,0.48717948717948717,0.48717948717948717,0.0,0.48717948717948717,0.0,0.0,19,20,0,0
subtype:B1,11,,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,2,9,0,0
subtype:B1_B2_mixed,1,,1.0,1.0,1.0,,1.0,1.0,0,0,0,1
subtype:B2,28,,0.6428571428571429,0.6428571428571429,0.6428571428571429,,1.0,0.782608695652174,0,0,10,18
subtype:B2_B3_mixed,3,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,1.0,0.8,0,0,1,2
subtype:B3,10,,1.0,1.0,1.0,,1.0,1.0,0,0,0,10
subtype:MNT_assumed_low,3,,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,2,1,0,0
subtype:TC,5,,0.8,0.8,0.8,,1.0,0.8888888888888888,0,0,1,4
domain:strict_external,108,0.6442274154168119,0.5740740740740741,0.5936519009417509,0.7446808510638298,0.4426229508196721,0.5072463768115942,0.603448275862069,27,34,12,35
