tag,n_tables,best_all_bacc,best_third_bacc,best_external_bacc
aimv2,1,0.6689413140963151,0.6253810975609756,
blend,5,0.8637100311951648,0.7718314459930313,0.627485176142309
class_sampler,1,0.854132140768181,0.7617051393728222,
clip,7,0.6656755702866056,0.6639263937282229,
convnext,14,0.8605174010528368,0.7854965156794425,0.5472619462853157
crop,28,0.8533157048157536,0.7507077526132404,0.7550236406619385
dino,100,0.8623513355429908,0.7859320557491289,1.0
dinov3,94,0.8623513355429908,0.7859320557491289,1.0
domain_label,2,0.6660318784207441,,
domain_robust,6,0.85902466367713,0.7816310975609756,
eva,7,0.6656755702866056,0.6856489547038327,1.0
external_mimic,5,0.8446212712029635,0.7460801393728222,0.5831880013951866
full_finetune,2,0.6966591944078371,,
headonly,3,0.8560330961201014,0.7551720383275261,
last2blocks,8,0.8551496393059076,0.7513066202090593,
meta_stack,42,0.8623513355429908,0.7859320557491289,
qkvb,63,0.8623513355429908,0.7816310975609756,0.627485176142309
sampler,5,0.854132140768181,0.7617051393728222,
siglip,17,0.8637100311951648,0.7701981707317074,0.627485176142309
stacking,47,0.8623513355429908,0.7859320557491289,0.6495535714285714
style_aug,42,0.8546073796061611,0.7600718641114983,0.7582003546099291
tta,26,0.8637100311951648,0.7755335365853658,0.7550236406619385
unclassified,7,0.6363794907568887,,1.0
vitamin,2,0.8478809222070579,0.741779181184669,
whole,59,0.8581412068629362,0.7777656794425087,0.7550236406619385
whole_plus_crop,44,0.8533157048157536,0.7550087108013938,0.7449024822695036
