n,threshold,accuracy,balanced_accuracy,auc,f1,high_recall,low_specificity,tn,fp,fn,tp,domain,model_tag,feature_set,base_model,threshold_source,n_features
162,0.5,0.691358024691358,0.6881588999236058,0.7246753246753247,0.7191011235955056,0.7529411764705882,0.6233766233766234,48,29,21,64,new_external_160,qkvb_only__logreg_balanced_l2,qkvb_only,logreg_balanced_l2,fixed_0.5,15
162,0.5,0.691358024691358,0.6881588999236058,0.7271199388846447,0.7191011235955056,0.7529411764705882,0.6233766233766234,48,29,21,64,new_external_160,qkvb_only__logreg_balanced_l1,qkvb_only,logreg_balanced_l1,fixed_0.5,15
162,0.5,0.691358024691358,0.6875477463712758,0.722994652406417,0.7222222222222222,0.7647058823529411,0.6103896103896104,47,30,20,65,new_external_160,qkvb_only__extra_trees_balanced,qkvb_only,extra_trees_balanced,fixed_0.5,15
162,0.5,0.6851851851851852,0.6816653934300994,0.7168831168831169,0.7150837988826816,0.7529411764705882,0.6103896103896104,47,30,21,64,new_external_160,qkvb_only__random_forest_balanced,qkvb_only,random_forest_balanced,fixed_0.5,15
162,0.39581059832336696,0.6851851851851852,0.6810542398777693,0.7168831168831169,0.7182320441988951,0.7647058823529411,0.5974025974025974,46,31,20,65,new_external_160,qkvb_only__random_forest_balanced,qkvb_only,random_forest_balanced,old_third_meta_oof_selected,15
162,0.46686913158087384,0.6851851851851852,0.6804430863254393,0.7271199388846447,0.7213114754098361,0.7764705882352941,0.5844155844155844,45,32,19,66,new_external_160,qkvb_only__logreg_balanced_l1,qkvb_only,logreg_balanced_l1,old_third_meta_oof_selected,15
162,0.5027552360726585,0.6790123456790124,0.679449961802903,0.7176470588235293,0.6867469879518072,0.6705882352941176,0.6883116883116883,53,24,28,57,new_external_160,qkvb_roi__extra_trees_balanced,qkvb_roi,extra_trees_balanced,old_third_meta_oof_selected,190
162,0.46147240449904026,0.6790123456790124,0.6745607333842627,0.7246753246753247,0.7142857142857143,0.7647058823529411,0.5844155844155844,45,32,20,65,new_external_160,qkvb_only__logreg_balanced_l2,qkvb_only,logreg_balanced_l2,old_third_meta_oof_selected,15
162,0.5,0.6728395061728395,0.6729564553093965,0.7176470588235293,0.6826347305389222,0.6705882352941176,0.6753246753246753,52,25,28,57,new_external_160,qkvb_roi__extra_trees_balanced,qkvb_roi,extra_trees_balanced,fixed_0.5,190
162,0.45200356990885804,0.6728395061728395,0.6680672268907563,0.722994652406417,0.7103825136612022,0.7647058823529411,0.5714285714285714,44,33,20,65,new_external_160,qkvb_only__extra_trees_balanced,qkvb_only,extra_trees_balanced,old_third_meta_oof_selected,15
162,0.447492121869548,0.6604938271604939,0.6618029029793735,0.7067990832696716,0.6625766871165644,0.6352941176470588,0.6883116883116883,53,24,31,54,new_external_160,qkvb_roi__random_forest_balanced,qkvb_roi,random_forest_balanced,old_third_meta_oof_selected,190
