"relative_path","bytes","last_write_time"
"GPTPRO_PROMPT.md","11630","2026-07-06T22:42:46"
"MANIFEST.csv","0","2026-07-06T22:44:06"
"README.md","5224","2026-07-06T22:44:48"
"01_local_reports_md_csv\2026-05-15_服务器新增实验检查与Task6折叠Task7分析.md","6017","2026-05-15T14:58:01"
"01_local_reports_md_csv\2026-05-16_Task6到Task7_cut_specialist联动计划.md","2877","2026-05-16T11:52:48"
"01_local_reports_md_csv\2026-05-16_Task7_cut_specialist冲刺计划.md","4305","2026-05-16T00:24:45"
"01_local_reports_md_csv\2026-05-16_Task7_cut_specialist模型能力升级计划_v2.md","2621","2026-05-16T12:42:12"
"01_local_reports_md_csv\2026-05-16_Task7_cut_specialist模型升级计划_v3.md","4412","2026-05-16T13:28:14"
"01_local_reports_md_csv\2026-05-16_Task7_DINO两阶段_full_to_cut_refine_计划.md","2724","2026-05-16T15:40:20"
"01_local_reports_md_csv\2026-05-16_Task7_DINO升级路线计划_v4.md","2218","2026-05-16T15:24:43"
"01_local_reports_md_csv\2026-05-16_Task7_DINO双backbone_full_to_cut_refine计划.md","3031","2026-05-16T16:33:45"
"01_local_reports_md_csv\2026-05-16_Task7首次超过基线结果.md","2278","2026-05-16T21:55:33"
"01_local_reports_md_csv\2026-05-18_Task7方案B课程学习融合阶段结果.md","5201","2026-05-18T18:33:35"
"01_local_reports_md_csv\2026-05-18_Task7阶段修补与当前结果汇报.md","10532","2026-05-18T14:05:05"
"01_local_reports_md_csv\2026-05-18_Task7课程学习与经验标签阶段汇报_医生版.md","17457","2026-05-18T23:59:31"
"01_local_reports_md_csv\2026-05-19_Task7核心hard持续错判医生复核清单.md","15867","2026-05-19T14:05:10"
"01_local_reports_md_csv\2026-05-20_4090服务器连接故障排查记录.md","2333","2026-05-20T11:26:36"
"01_local_reports_md_csv\2026-05-20_Task6课程学习增强Task7执行计划.md","8486","2026-05-20T11:17:07"
"01_local_reports_md_csv\2026-05-20_Task7二阶段自动复核模型执行计划.md","9935","2026-05-20T18:58:07"
"01_local_reports_md_csv\2026-05-20_Task7自动复核二阶段新结果_0.807.md","1155","2026-05-20T22:52:20"
"01_local_reports_md_csv\2026-05-21_Task7_third_external_input_variant_record.md","2208","2026-05-21T20:43:20"
"01_local_reports_md_csv\2026-05-21_Task7_third_external_input_variant_summary.csv","2520","2026-05-21T20:40:25"
"01_local_reports_md_csv\2026-05-21_Task7旧数据二阶段模型阶段精华_医生版.md","10971","2026-05-21T16:16:30"
"01_local_reports_md_csv\2026-05-21_第三批外部测试与ROI提升执行计划.md","3412","2026-05-21T16:51:51"
"01_local_reports_md_csv\2026-05-22_Task7第三批数据引入后适配阶段汇报_医生版.md","11591","2026-05-22T18:05:17"
"01_local_reports_md_csv\2026-05-23_胸腺大体图AI论文主线与保守贡献路线报告.md","25093","2026-05-23T13:45:22"
"01_local_reports_md_csv\2026-05-25_Task7第三批与严格外部集后续尝试阶段汇报_医生版.md","13151","2026-05-25T13:45:38"
"01_local_reports_md_csv\2026-05-25_严格外部集GPT质量标签阶段记录.md","3410","2026-05-25T20:04:02"
"01_local_reports_md_csv\2026-05-25_严格外部集质量门控筛查阶段记录.md","5549","2026-05-25T19:58:20"
"01_local_reports_md_csv\2026-05-26_GPTPro转换报告_落地执行版.md","11030","2026-05-26T21:04:17"
"01_local_reports_md_csv\2026-05-26_GrossPath-RC_v0首轮实验结论.md","7613","2026-05-26T21:26:41"
"01_local_reports_md_csv\2026-05-26_GrossPath-RC_v0完整workflow实验报告.md","7264","2026-05-26T21:36:30"
"01_local_reports_md_csv\2026-05-26_GrossPath-RC_v0整轮实验报告.md","9250","2026-05-26T21:38:59"
"01_local_reports_md_csv\2026-05-26_GrossPath-RC_v1冻结式工作流实验报告.md","10296","2026-05-26T22:10:00"
"01_local_reports_md_csv\2026-05-26_GrossPath-RC_v2域泛化诊断与训练清单.md","12409","2026-05-26T22:34:11"
"01_local_reports_md_csv\2026-05-26_胸腺大体图AI项目全景与Nature子刊方向重构_给GPTPro.md","42273","2026-05-26T17:30:53"
"01_local_reports_md_csv\2026-05-27_Task7_clean_cohort_exclusion_analysis.md","1356","2026-05-27T23:04:35"
"01_local_reports_md_csv\2026-05-27_Task7_clean_vs_full_results.csv","7377","2026-05-27T23:04:35"
"01_local_reports_md_csv\2026-05-27_Task7剔除病例当前主流程状态.csv","1195","2026-05-27T23:04:35"
"01_local_reports_md_csv\2026-05-27_Task7医生确认剔除病例清单.csv","910","2026-05-27T23:04:35"
"01_local_reports_md_csv\2026-05-28_Task7医工交叉论文完整成果与完成度总报告.md","562","2026-05-28T15:36:39"
"01_local_reports_md_csv\2026-05-28_Task7医工交叉完整成果与论文完成度详细报告.md","514","2026-05-28T15:54:40"
"01_local_reports_md_csv\2026-05-31_Task7项目进展与论文完成度综合报告_数据增强版_医生导师共读.md","831","2026-05-31T23:49:53"
"01_local_reports_md_csv\2026-05-31_Task7项目进展与论文完成度综合报告_医生导师共读版.md","405","2026-05-31T23:29:31"
"01_local_reports_md_csv\2026-05-31_Task7项目进展与论文完成度综合报告_正式汇报版.md","810","2026-06-01T00:00:21"
"01_local_reports_md_csv\task56_case_review_assets\case_list.csv","2181","2026-05-07T23:37:53"
"01_local_reports_md_csv\task56_case_review_assets\manifest.csv","1039","2026-05-07T23:40:06"
"01_local_reports_md_csv\task56_case_review_assets\Task56医生复核与质量标注模板_2026-05-09.csv","5758","2026-05-09T19:20:59"
"01_local_reports_md_csv\Task56_confusion_report_2026-05-13\Task56混淆矩阵与错误分布简报_2026-05-13.md","3674","2026-05-13T15:30:51"
"01_local_reports_md_csv\Task56高置信错例医生回看清单_2026-05-07.md","22680","2026-05-10T14:22:34"
"01_local_reports_md_csv\Task56经验标签核心集_医生版_2026-05-10.csv","15882","2026-05-10T14:22:36"
"01_local_reports_md_csv\Task56经验标签核心集_医生版_人工修订2026-05-10.csv","13079","2026-05-11T17:37:16"
"01_local_reports_md_csv\Task56经验标签核心集说明_2026-05-10.md","1368","2026-05-10T14:22:36"
"01_local_reports_md_csv\Task56模型问题分析与医生复核要点_2026-05-09.md","6776","2026-05-09T19:20:59"
"01_local_reports_md_csv\Task56全量图像质量初筛标签_病例级_2026-05-10.csv","14903","2026-05-10T14:22:36"
"01_local_reports_md_csv\Task56全量图像质量初筛标签_图像级_2026-05-10.csv","18689","2026-05-10T14:22:36"
"01_local_reports_md_csv\Task56全量图像质量初筛说明_2026-05-10.md","1293","2026-05-10T14:22:36"
"01_local_reports_md_csv\Task56医生复核材料目录_2026-05-10.md","1190","2026-05-10T14:22:36"
"01_local_reports_md_csv\Task6公平重跑医生版_2026-05-13\Task6公平重跑结果与混淆矩阵_2026-05-13.md","2092","2026-05-13T23:26:28"
"01_local_reports_md_csv\Task7_lowhigh_tc_report_2026-05-13\Task7低危高危含TC首轮结果_2026-05-13.md","2268","2026-05-13T16:04:32"
"01_local_reports_md_csv\Task7公平重跑医生版_2026-05-13\Task7公平重跑结果与混淆矩阵_2026-05-13.md","2482","2026-05-13T19:28:50"
"01_local_reports_md_csv\Task7模型升级负结果阶段汇总_2026-05-16.md","17536","2026-05-16T16:55:39"
"01_local_reports_md_csv\Task7视图标签工作包_2026-05-15\2026-05-15_P1多图病例视图初判.md","2176","2026-05-15T16:34:58"
"01_local_reports_md_csv\Task7视图标签工作包_2026-05-15\2026-05-15_P2高危漏诊视图初看.md","2738","2026-05-15T16:41:35"
"01_local_reports_md_csv\Task7视图标签工作包_2026-05-15\2026-05-15_Task7_true_schemeB_logreg_smoke结果.md","1912","2026-05-15T23:20:19"
"01_local_reports_md_csv\Task7视图标签工作包_2026-05-15\2026-05-15_Task7_viewaware_concat_v1结果.md","2202","2026-05-15T17:41:14"
"01_local_reports_md_csv\Task7视图标签工作包_2026-05-15\2026-05-15_Task7_viewspecialist_concat_mlp_v1结果.md","2533","2026-05-15T20:55:18"
"01_local_reports_md_csv\Task7视图标签工作包_2026-05-15\2026-05-15_多图策略Task7对照结果.md","2598","2026-05-15T16:46:41"
"01_local_reports_md_csv\Task7视图标签工作包_2026-05-15\2026-05-15_全量主图视图类型统计.md","1511","2026-05-15T17:22:54"
"01_local_reports_md_csv\Task7视图标签工作包_2026-05-15\task7_viewtype_full_template.csv","151431","2026-05-15T16:09:35"
"01_local_reports_md_csv\Task7视图标签工作包_2026-05-15\task7_viewtype_labeling_plan.md","792","2026-05-15T16:09:35"
"01_local_reports_md_csv\Task7视图标签工作包_2026-05-15\task7_viewtype_overall_counts.csv","115","2026-05-15T17:22:54"
"01_local_reports_md_csv\Task7视图标签工作包_2026-05-15\task7_viewtype_p1_multiview_round1.csv","3149","2026-05-15T16:34:33"
"01_local_reports_md_csv\Task7视图标签工作包_2026-05-15\task7_viewtype_p2_high_risk_fn_round1.csv","5328","2026-05-15T16:41:09"
"01_local_reports_md_csv\Task7视图标签工作包_2026-05-15\task7_viewtype_priority_template.csv","58860","2026-05-15T16:09:35"
